,state.abb,name,year,total_assets,...6,id
1,NM,albuquerque,2020,5617109467,NA,35917
2,NM,albuquerque,2021,5722653309,NA,35917
3,CA,anaheim,2020,5052277000,NA,31819
4,CA,anaheim,2021,5157247000,NA,31819
5,TX,arlington,2020,4642449000,NA,31543
6,TX,arlington,2021,4722784000,NA,31543
7,GA,atlanta,2020,18694499000,NA,42897
8,GA,atlanta,2021,18697030000,NA,42897
9,CO,aurora,2020,6863302347,NA,31994
10,CO,aurora,2021,7496725991,NA,31994
11,TX,austin,2020,18022079000,NA,38712
12,TX,austin,2021,18901919000,NA,38712
13,CA,bakersfield,2020,2785726117,NA,43912
14,CA,bakersfield,2021,2943908516,NA,43912
15,MD,baltimore,2020,12011660000,NA,33980
16,MD,baltimore,2021,12707997000,NA,33980
17,ID,boise,2020,1432669000,NA,32682
18,ID,boise,2021,1659467000,NA,32682
19,MA,boston,2020,4815378000,NA,34032
20,MA,boston,2021,5173319000,NA,34032
21,NY,buffalo,2020,1296635901,NA,149470
22,NY,buffalo,2021,1448270111,NA,149470
23,AZ,chandler,2020,2430590211,NA,31633
24,AZ,chandler,2021,2437704676,NA,31633
25,NC,charlotte,2020,18033989000,NA,36713
26,NC,charlotte,2021,18323912000,NA,36713
27,VA,chesapeake,2020,3110000000,NA,230275
28,VA,chesapeake,2021,3238000000,NA,230275
29,IL,chicago,2020,42486362000,NA,32795
30,IL,chicago,2021,43688854000,NA,32795
31,CA,chula vista,2020,2057229974,NA,31856
32,CA,chula vista,2021,2187021255,NA,31856
33,OH,cincinnati,2020,4154115000,NA,36933
34,OH,cincinnati,2021,4382173000,NA,36933
35,OH,cleveland,2020,6610756000,NA,36922
36,OH,cleveland,2021,6993492000,NA,36922
37,CO,colorado springs,2020,7542959000,NA,31999
38,CO,colorado springs,2021,7963255000,NA,31999
39,OH,columbus,2020,9939955000,NA,44337
40,OH,columbus,2021,10530784000,NA,44337
41,TX,corpus christi,2020,3543052934,NA,38701
42,TX,corpus christi,2021,3654260359,NA,38701
43,TX,dallas,2020,2327500000,NA,38669
44,TX,dallas,2021,2667309000,NA,38669
45,CO,denver county,2020,15522618000,NA,1266289
46,CO,denver county,2021,17112420000,NA,1266289
47,IA,des moines,2020,2085868785,NA,71073
48,IA,des moines,2021,2329944704,NA,71073
49,MI,detroit,2020,6069108155,NA,34317
50,MI,detroit,2021,6916347787,NA,34317
51,NC,durham,2020,967199798,NA,36706
52,NC,durham,2021,1008217544,NA,36706
53,TX,el paso,2020,2850676150,NA,43166
