,state.abb,name, total_assets ,year,,
1,CA,los angeles county," 37,390,440,000 ",2020,,
2,CA,los angeles county," 41,203,426,000 ",2021,,
3,IL,cook county," 4,885,774,017 ",2020,,
4,IL,cook county," 5,642,933,604 ",2021,,
5,TX,harris county," 20,564,102,118 ",2020,,
6,TX,harris county," 21,172,043,513 ",2021,,
7,AZ,maricopa county," 6,308,842,833 ",2020,,
8,AZ,maricopa county," 6,798,224,324 ",2021,,
9,CA,san diego county," 8,897,009,000 ",2020,,
10,CA,san diego county," 9,566,441,000 ",2021,,
11,CA,orange county," 9,724,166,000 ",2020,,
12,CA,orange county," 10,340,300,000 ",2021,,
13,FL,miami-dade county," 29,642,725,000 ",2020,,
14,FL,miami-dade county," 30,916,783,000 ",2021,,
15,TX,dallas county," 2,327,500,000 ",2020,,
16,TX,dallas county," 2,667,309,000 ",2021,,
17,CA,riverside county," 9,090,883,000 ",2020,,
18,CA,riverside county," 9,381,070,000 ",2021,,
19,WA,king county," 14,914,538,000 ",2020,,
20,WA,king county," 17,781,704,000 ",2021,,
21,NV,clark county," 20,823,998,043 ",2020,,
22,NV,clark county," 21,082,714,691 ",2021,,
23,CA,san bernardino county," 7,610,809,000 ",2020,,
24,CA,san bernardino county," 8,000,033,000 ",2021,,
25,TX,tarrant county," 1,108,001,000 ",2020,,
26,TX,tarrant county," 1,315,171,000 ",2021,,
27,TX,bexar county," 3,227,931,573 ",2020,,
28,TX,bexar county," 3,306,816,270 ",2021,,
29,FL,broward county," 12,958,706,000 ",2020,,
30,FL,broward county," 13,464,529,000 ",2021,,
31,CA,santa clara county," 8,396,243,000 ",2020,,
32,CA,santa clara county," 8,801,078,000 ",2021,,
33,MI,wayne county," 2,851,979,979 ",2020,,
34,MI,wayne county," 3,250,602,007 ",2021,,
35,CA,alameda county," 6,519,073,000 ",2020,,
36,CA,alameda county," 6,202,654,000 ",2021,,
37,CA,sacramento county," 6,112,564,000 ",2020,,
38,CA,sacramento county," 6,520,997,000 ",2021,,
39,NY,suffolk county," 5,650,975,783 ",2020,,
40,NY,suffolk county," 5,668,045,488 ",2021,,
41,FL,palm beach county," 6,938,548,797 ",2020,,
42,FL,palm beach county," 7,347,239,518 ",2021,,
43,FL,hillsborough county," 12,562,151,000 ",2020,,
44,FL,hillsborough county," 13,297,672,000 ",2021,,
45,FL,orange county," 9,564,794,868 ",2020,,
46,FL,orange county," 10,138,066,858 ",2021,,
47,NY,nassau county," 5,335,774,000 ",2020,,
48,NY,nassau county," 6,161,833,000 ",2021,,
49,OH,franklin county," 3,085,636,000 ",2020,,
50,OH,franklin county," 3,404,567,000 ",2021,,
51,TX,travis county," 2,937,537,197 ",2020,,
52,TX,travis county," 3,303,103,441 ",2021,,
53,MN,hennepin county," 4,573,737,516 ",2020,,
54,MN,hennepin county," 4,813,753,587 ",2021,,
55,MI,oakland county," 2,364,017,653 ",2020,,
56,MI,oakland county," 2,622,444,274 ",2021,,
57,OH,cuyahoga county," 3,312,805,152 ",2020,,
58,OH,cuyahoga county," 3,568,225,282 ",2021,,
59,PA,allegheny county," 1,432,271,832 ",2020,,
60,PA,allegheny county," 1,602,270,526 ",2021,,
61,UT,salt lake county," 1,898,668,886 ",2020,,
62,UT,salt lake county," 2,088,525,548 ",2021,,
63,CA,contra costa county," 3,764,587,000 ",2020,,
64,CA,contra costa county," 4,119,717,000 ",2021,,
65,VA,fairfax county," 11,114,469,361 ",2020,,
66,VA,fairfax county," 11,680,845,089 ",2021,,
67,NC,wake county," 2,143,000,000 ",2020,,
68,NC,wake county," 2,350,586,980 ",2021,,
69,NC,mecklenburg county," 2,869,838,238 ",2020,,
70,NC,mecklenburg county," 3,156,964,372 ",2021,,
71,GA,fulton county," 3,145,113,000 ",2020,,
72,GA,fulton county," 3,265,319,000 ",2021,,
73,TX,collin county," 1,391,403,083 ",2020,,
