id,state.abb,name,year,total_assets,
35931,NM,Albuquerque Municipal School District No. 12,2020,"2,037,466,457",
35931,NM,Albuquerque Municipal School District No. 12,2021,"2,066,405,273",
38981,TX,Aldine Independent School District,2020,"1,768,391,565",
38981,TX,Aldine Independent School District,2021,"1,792,432,979",
39330,UT,Alpine School District,2020,"1,706,320,468",
39330,UT,Alpine School District,2021,"1,766,448,799",
41282,MD,Anne Arundel County Board of Education,2020,"1,779,032,051",
41282,MD,Anne Arundel County Board of Education,2021,"1,823,887,212",
39189,TX,Arlington Independent School District,2020,"1,429,197,705",
39189,TX,Arlington Independent School District,2021,"1,906,644,544",
39211,TX,Austin Independent School District,2020,"2,718,320,138",
39211,TX,Austin Independent School District,2021,"2,978,013,973",
44313,MD,Baltimore City Public School System,2020,"1,749,100,000",
44313,MD,Baltimore City Public School System,2021,"1,926,747,000",
171323,MD,Board of Education of Baltimore County,2020,"2,243,115,000",
171323,MD,Board of Education of Baltimore County,2021,"2,315,816,000",
87787,TN,Board of Education of Shelby County,2020,"1,548,452,567",
87787,TN,Board of Education of Shelby County,2021,"1,554,560,497",
1267424,MA,Boston City School,2020,,
1267424,MA,Boston City School,2021,,
93779,FL,Brevard District School Board County,2020,"1,149,360,306",
93779,FL,Brevard District School Board County,2021,"1,183,497,512",
43341,SC,Charleston County School District,2020,"2,099,747,035",
43341,SC,Charleston County School District,2021,"2,158,311,968",
36608,NC,Charlotte-Mecklenburg Board of Education,2020,"2,456,316,000",
36608,NC,Charlotte-Mecklenburg Board of Education,2021,"2,711,253,000",
32036,CO,Cherry Creek School District No 5,2020,"1,155,917,605",
32036,CO,Cherry Creek School District No 5,2021,"1,306,870,241",
1267422,VA,Chesterfield County School Board,2020,"174,000,000",need to double check
198265,IL,Chicago Board of Education,2020,"9,604,959,000",
198265,IL,Chicago Board of Education,2021,"9,811,425,000",
1237862,CO,City And County of Denver School District No. 1,2020,"2,454,709,948",
1237862,CO,City And County of Denver School District No. 1,2021,"2,824,656,042",
35528,NV,Clark County School District,2020,"7,030,148,493",
35528,NV,Clark County School District,2021,"7,260,377,355",
48791,GA,Clayton County Board of Education,2020,"1,081,660,841",
70971,GA,Cobb County School District,2020,"2,256,622,000",
70971,GA,Cobb County School District,2021,"2,407,585,000",
32378,FL,Collier County District School Board,2020,"1,335,775,971",
32378,FL,Collier County District School Board,2021,"1,333,777,766",
39105,TX,Conroe Independent School District,2020,"1,771,154,694",
39105,TX,Conroe Independent School District,2021,"1,976,636,745",
146048,CA,Corona-Norco Unified School District,2020,"1,385,029,429",
146048,CA,Corona-Norco Unified School District,2021,"1,425,646,414",
36539,NC,Cumberland County Board of Education,2020,"328,092,055",
36539,NC,Cumberland County Board of Education,2021,"334,873,959",
38984,TX,Cypress-Fairbanks Independent School District,2020,"3,632,272,491",
38984,TX,Cypress-Fairbanks Independent School District,2021,"3,982,041,208",
38892,TX,Dallas Independent School District,2020,"4,902,079,698","only has ""governmental activities"", not ""total government"""
38892,TX,Dallas Independent School District,2021,"5,463,625,265",
39313,UT,Davis School District,2020,"1,323,970,264",
39313,UT,Davis School District,2021,"1,348,366,970",
105280,GA,Dekalb County Board of Education,2020,"2,265,973,000",
105280,GA,Dekalb County Board of Education,2021,"2,388,977,063",
161679,MI,Detroit Community Schools,2020,"48,286,458",
161679,MI,Detroit Community Schools,2021,"58,933,410",
69989,FL,District School Board of Pinellas County,2020,"2,324,325,507",
69989,FL,District School Board of Pinellas County,2021,"2,481,173,811",
32045,CO,Douglas County School District Re.1,2020,"1,186,675,548",
32045,CO,Douglas County School District Re.1,2021,"1,186,188,284",
165645,FL,Duval County Public Schools,2020,"1,356,038,350",
165645,FL,Duval County Public Schools,2021,"1,426,312,027",
38929,TX,El Paso Independent School District,2020,"1,645,134,865",
38929,TX,El Paso Independent School District,2021,"1,640,051,807",decrease
146106,CA,Elk Grove Unified School District,2020,"1,116,520,925",
146106,CA,Elk Grove Unified School District,2021,"1,404,090,619",
1267421,VA,Fairfax County Public Schools,2020,"3,191,956,305",
1267421,VA,Fairfax County Public Schools,2021,"3,446,573,794",
32567,GA,Forsyth County Board of Education,2020,"1,426,665,055",
32567,GA,Forsyth County Board of Education,2021,"1,442,452,593",
38940,TX,Fort Bend Independent School District,2020,"1,678,760,428",
38940,TX,Fort Bend Independent School District,2021,"1,903,266,218",
39194,TX,Fort Worth Independent School District,2020,"2,049,000,000",
39194,TX,Fort Worth Independent School District,2021,"2,287,000,000",
146154,CA,Fresno Unified School District,2020,"1,701,692,842",
146154,CA,Fresno Unified School District,2021,"2,055,791,831",
38875,TX,Frisco Independent School District,2020,"2,305,335,478",
38875,TX,Frisco Independent School District,2021,"2,537,487,963",
70979,GA,Fulton County Board of Education,2020,"2,736,788,000",
70979,GA,Fulton County Board of Education,2021,"2,867,859,000",
38895,TX,Garland Independent School District,2020,"1,327,396,421",
38895,TX,Garland Independent School District,2021,"1,277,851,051",
39321,UT,Granite School District,2020,"1,205,457,435",
39321,UT,Granite School District,2021,"1,278,859,750",
36571,NC,Guilford County Board of Education,2020,"955,169,857",
36571,NC,Guilford County Board of Education,2021,"931,228,104",decrease
70981,GA,Gwinnett County Board of Education,2020,"3,437,438,511",
70981,GA,Gwinnett County Board of Education,2021,"3,632,867,331",
71050,HI,Hawaii Department of Education,2020,"3,455,219,474",
71050,HI,Hawaii Department of Education,2021,"3,722,990,411",
1267423,VA,Henrico County School Board,2020,"393,231,084",
1267423,VA,Henrico County School Board,2021,"384,459,131",decrease
38988,TX,Houston Independent School District,2020,"6,592,207,393",
38988,TX,Houston Independent School District,2021,"6,718,508,279",
41713,MD,Howard County Board of Education,2020,"1,382,725,812",
41713,MD,Howard County Board of Education,2021,"1,487,962,553",
44074,TX,Humble Independent School District,2020,"1,262,462,076",
44074,TX,Humble Independent School District,2021,"1,479,573,171",
33679,KY,Jefferson County Board of Education,2020,"1,188,087,252",
33679,KY,Jefferson County Board of Education,2021,"1,247,747,207",
32057,CO,Jefferson County School District No R-1,2020,"1,676,185,911",
32057,CO,Jefferson County School District No R-1,2021,"1,930,696,330",
76062,LA,Jefferson Parish Public School System,2020,"761,926,059",
76062,LA,Jefferson Parish Public School System,2021,"819,840,853",
39322,UT,Jordan School District,2020,"1,611,091,159",
39322,UT,Jordan School District,2021,"1,617,187,442",
38990,TX,Katy Independent School District,2020,"2,801,085,701",
38990,TX,Katy Independent School District,2021,"2,714,053,319",
38991,TX,Klein Independent School District,2020,"1,676,612,422",
38991,TX,Klein Independent School District,2021,"1,653,012,423",decrease
107065,TN,Knox County Schools,2020,"975,690,620",
