,ncesID,nces_original_name,county_name,city,state,students,id,total_asset,year,total_liabilities,net_pension_liability,net_opeb_liability,expenses,revenues
1,1000080,Appoquinimink School District,New Castle County,Odessa,DE,11737,,16274000,2021,3402000,,,54033000,62858000
2,1001240,Brandywine School District,New Castle County,Wilmington,DE,10548,,35591000,2021,2872000,,,81683000,89501000
3,1000180,Caesar Rodney School District,Kent County,Wyoming,DE,8183,,32522000,2021,1075000,,,15360000,20496000
4,1000170,Cape Henlopen School District,Sussex County,Lewes,DE,5860,,51357000,2021,6799000,,,43388000,55688000
5,1000190,Capital School District,Kent County,Dover,DE,6491,,24549000,2021,1796000,,,20920000,30050000
6,1000200,Christina School District,New Castle County,Wilmington,DE,13370,,60743000,2021,6847000,,,142281000,165112000
7,1000230,Colonial School District,New Castle County,New Castle,DE,9921,,67278000,2021,3741000,,,66316000,71251000
8,1000270,Delmar School District,Sussex County,Delmar,DE,1395,,3307000,2021,55000,,,2133000,2717000
9,1000680,Indian River School District,Sussex County,Selbyville,DE,10942,,32571000,2021,1715000,,,49878000,55231000
10,1000790,Lake Forest School District,Kent County,Felton,DE,3721,,11411000,2021,515000,,,8236000,10024000
11,1000810,Laurel School District,Sussex County,Laurel,DE,2645,,9672000,2021,272000,,,4183000,6294000
12,1001080,Milford School District,Sussex County,Milford,DE,4244,,28658000,2021,263000,,,8664000,13748000
13,1001280,New Castle County Vocational-Technical School District,New Castle County,Wilmington,DE,4615,,24580000,2021,949000,,,30028000,37809000
14,1000750,POLYTECH School District,Kent County,Woodside,DE,1192,,10888000,2021,357000,,,8463000,6931000
15,1001300,Red Clay Consolidated School District,New Castle County,Wilmington,DE,15520,,66869000,2021,7237000,,,110740000,121046000
16,1001530,Seaford School District,Sussex County,Seaford,DE,3465,,11445000,2021,224000,,,7210000,10445000
17,1001620,Smyrna School District,Kent County,Smyrna,DE,5882,,13882000,2021,651000,,,11682000,14312000
18,1001680,Sussex Technical School District,Sussex County,Georgetown,DE,1241,,16125000,2021,242000,,,8855000,11729000
19,1001850,Woodbridge School District,Sussex County,Bridgeville,DE,2594,,6830000,2021,696000,,,5421000,7252000
