"","state.abb.x","state.name.x","id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","url","ncesID","name_nces","state.name.y","state.abb.y","enrollment_20","fte_20","revenue_nces_20","expenditure_nces_20","enrollment_21","fte_21","revenue_nces_21","expenditure_nces_21","county","city","zip","zip4","locale","latitude","longitude","congresstional_code","metro_code","enrollment_22","fte_22"
"1","OH","Ohio","37265",2020,"akron city school district","School District",541155780,110043923,364023183,0,33941669,21362474,0,0,33147005,445906067,406025964,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/OH/Akron%20City%20School%20District/OH%20Akron%20City%20School%20District%202020.pdf","3904348","akron city","Ohio","OH",21298,1444.92,415517000,413224000,20563,1494.37,417772000,434473000,"Summit County","Akron",44308,1911,"12-City: Mid-size",41.085711,-81.516939,3911,"1-Metropolitan Area",20938,1560.53
"2","OH","Ohio","37000",2020,"alexander local school district","School District",0,0,19009638,0,2041987,1068681,0,0,0,21670635,21427007,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/OH/Alexander%20Local%20School%20District/OH%20Alexander%20Local%20School%20District%202020.pdf","3904590","alexander local","Ohio","OH",1456,97,21253000,20047000,1393,90,23634000,20502000,"Athens County","Albany",45710,9492,"42-Rural: Distant",39.2425,-82.186,3915,"2-Micropolitan Area",1433,94
"3","OH","Ohio","82445",2020,"allen east local school district","School District",0,0,10493446,0,914013,627218,0,0,0,12326806,13504756,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/OH/Allen%20East%20Local%20School%20District/OH%20Allen%20East%20Local%20School%20District%202020.pdf","3904575","allen east local","Ohio","OH",1127,56.75,13515000,11519000,1080,59.04,14543000,11756000,"Allen County","Harrod",45850,9485,"41-Rural: Fringe",40.733881,-83.93222,3904,"1-Metropolitan Area",1055,57.95
"4","OH","Ohio","37252",2020,"alliance city school district","School District",60577402,5654905,40913269,0,4025449,2363753,0,0,4093906,47983950,46767659,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/OH/Alliance%20City%20School%20District/OH%20Alliance%20City%20School%20District%202020.pdf","3904349","alliance city","Ohio","OH",3084,186.5,45277000,42520000,2975,178.32,48447000,42285000,"Stark County","Alliance",44601,2946,"31-Town: Fringe",40.91244,-81.109231,3913,"1-Metropolitan Area",3003,164
"5","OH","Ohio","37078",2020,"amanda-clearcreek local school district","School District",21419490,2420354,15411180,0,1673437,864803,0,0,823517,21100827,19156695,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/OH/Amanda-Clearcreek%20Local%20School%20District/OH%20Amanda-Clearcreek%20Local%20School%20District%202020.pdf","3904684","amanda-clearcreek local","Ohio","OH",1412,88.21,18243000,18995000,1413,89.87,21622000,20451000,"Fairfield County","Amanda",43102,9330,"42-Rural: Distant",39.649614,-82.735081,3915,"1-Metropolitan Area",1479,87.37
"6","OH","Ohio","37150",2020,"amherst exempted village school district","School District",79997012,5056566,40553867,0,4143450,2316252,0,0,4445079,42656374,45491118,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/OH/Amherst%20Exempted%20Village%20School%20District/OH%20Amherst%20Exempted%20Village%20School%20District%202020.pdf","3904519","amherst exempted village","Ohio","OH",3534,178.47,44542000,51838000,3500,179.08,46147000,42093000,"Lorain County","Amherst",44001,1605,"22-Suburb: Mid-size",41.395607,-82.235438,3904,"1-Metropolitan Area",3591,186.39
"7","OH","Ohio","82461",2020,"anna local school district","School District",0,0,13712711,0,584802,0,0,0,0,23802716,17638256,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/OH/Anna%20Local%20School%20District/OH%20Anna%20Local%20School%20District%202020.pdf","3910004","anna local","Ohio","OH",1133,63.69,17903000,27657000,1089,63.05,16996000,17232000,"Shelby County","Anna",45302,NA,"42-Rural: Distant",40.396845,-84.175998,3904,"2-Micropolitan Area",1076,62.38
"8","OH","Ohio","82416",2020,"ada exempted village school district","School District",0,0,10509669,0,828658,641792,0,0,0,12241931,12740376,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/OH/Ada%20Exempted%20Village%20School%20District/OH%20Ada%20Exempted%20Village%20School%20District%202020.pdf","3904518","ada exempted village","Ohio","OH",863,56.8,12618000,10967000,839,54.95,12929000,11644000,"Hardin County","Ada",45810,1176,"41-Rural: Fringe",40.77649,-83.835141,3905,"0-New England (NECTA) or not reported",876,53.75
"9","OH","Ohio","82462",2020,"ansonia local school district","School District",0,0,9565338,0,344120,0,0,0,0,13442651,10578184,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/OH/Ansonia%20Local%20School%20District/OH%20Ansonia%20Local%20School%20District%202020.pdf","3904662","ansonia local","Ohio","OH",789,50.85,10559000,13031000,804,51.58,10804000,10704000,"Darke County","Ansonia",45303,279,"42-Rural: Distant",40.21536,-84.628882,3908,"2-Micropolitan Area",797,54.94
"10","OH","Ohio","49868",2020,"adams county-ohio valley local school district","School District",60626397,5270178,46518788,0,4418709,2715177,0,0,0,65911284,62854194,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/OH/Adams%20County-Ohio%20Valley%20Local%20School%20District/OH%20Adams%20County-Ohio%20Valley%20Local%20School%20District%202020.pdf","3906190","adams county ohio valley local","Ohio","OH",3752,214.08,52360000,50969000,3585,224.8,55208000,52967000,"Adams County","West Union",45693,8974,"41-Rural: Fringe",38.811395,-83.584054,3902,"0-New England (NECTA) or not reported",3579,219.33
