"","name","id","ncesID","enrollment_22","total_liabilities","net_pension_liability","net_opeb_liability","bonds_outstanding","notes_outstanding","loans_outstanding","current_liabilities","compensated_absences","url"
"1","columbus city school district","37083","3904380",45547,1221689330,515286933,68866805,449569395,NA,NA,115886544,69042114,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/OH/Columbus%20City%20School%20District/OH%20Columbus%20City%20School%20District%202022.pdf"
"2","cincinnati city school district","44348","3904375",35820,1021090287,348887605,50842411,354843452,620652,0,101354660,29208076,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/OH/Cincinnati%20City%20School%20District/OH%20Cincinnati%20City%20School%20District%202022.pdf"
"3","cleveland municipal school district","37053","3904378",35319,853111276,399590115,55534894,251175000,0,0,86810939,54240781,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/OH/Cleveland%20Municipal%20School%20District/OH%20Cleveland%20Municipal%20School%20District%202022.pdf"
"4","olentangy local school district","43224","3904676",22557,745259064,171615965,19172273,477094749,3902750,0,49556104,17636152,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/OH/Olentangy%20Local%20School%20District/OH%20Olentangy%20Local%20School%20District%202022.pdf"
"5","toledo city school district","37166","3904490",22049,473442476,244385742,30903244,NA,NA,NA,65958440,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/OH/Toledo%20City%20School%20District/OH%20Toledo%20City%20School%20District%202022.pdf"
"6","south-western city school district","42828","3904480",21699,499714432,181155374,19492276,224671320,0,0,57000215,17273544,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/OH/South-Western%20City%20School%20District/OH%20South-Western%20City%20School%20District%202022.pdf"
"7","akron city school district","37265","3904348",20938,379358788,219811265,24908625,0,0,0,93535635,41103263,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/OH/Akron%20City%20School%20District/OH%20Akron%20City%20School%20District%202022.pdf"
"8","lakota local school district","37020","3904611",17096,285392940,127611709,17639299,104540118,0,0,23394962,12206852,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/OH/Lakota%20Local%20School%20District/OH%20Lakota%20Local%20School%20District%202022.pdf"
"9","dublin city school district","37088","3904702",16448,475919071,158714461,17055078,244975144,NA,NA,32034926,23139462,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/OH/Dublin%20City%20School%20District/OH%20Dublin%20City%20School%20District%202022.pdf"
"10","hilliard city school district","37086","3904701",16068,329055812,142850471,14239189,118502409,0,0,36423134,17040609,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/OH/Hilliard%20City%20School%20District/OH%20Hilliard%20City%20School%20District%202022.pdf"
