ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2019-20,Total Students All Grades (Excludes AE) [District] 2019-20,Full-Time Equivalent (FTE) Teachers [District] 2019-20,Total Revenue (TOTALREV) [District Finance] 2019-20,Total Revenue - Local Sources (TLOCREV) [District Finance] 2019-20,Total Revenue - State Sources (TSTREV) [District Finance] 2019-20,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2019-20,Total Expenditures (TOTALEXP) [District Finance] 2019-20
21ST CENTURY CHARTER SCH OF GARY,Indiana,IN ,1800046,7-Independent Charter District,1190,47.01,15027000,215000,10768000,4044000,13306000
21ST CENTURY CYBER CS,Pennsylvania,PA ,4200091,7-Independent Charter District,1270,64.99,20790000,20566000,56000,168000,21385000
21ST CENTURY PUBLIC ACADEMY,NEW MEXICO,NM ,3500187,†,†,†,†,†,†,†,†
A CENTER FOR CREATIVE EDUCATION (79457),Arizona,AZ ,0400328,7-Independent Charter District,67,0.00,591000,38000,548000,5000,617000
A E R O  SPEC EDUC COOP,Illinois,IL ,1700024,9-Specialized public school district,213,69.10,35655000,23202000,6562000,5891000,32806000
A W BEATTIE CAREER CENTER,Pennsylvania,PA ,4280010,9-Specialized public school district,0,31.00,10375000,8336000,1736000,303000,8934000
A W BROWN LEADERSHIP ACADEMY,Texas,TX ,4800095,7-Independent Charter District,1725,92.95,16488000,549000,14619000,1320000,14032000
A+ ACADEMY,Texas,TX ,4800203,7-Independent Charter District,1399,90.23,17531000,107000,15640000,1784000,14821000
A+ ARTS ACADEMY,Ohio,OH ,3900305,7-Independent Charter District,637,28.00,6364000,68000,4934000,1362000,6081000
A+ CHARTER SCHOOLS (1000166),ARIZONA,AZ ,0400998,7-Independent Charter District,†,†,†,†,†,†,†
A+ CHILDREN'S ACADEMY,Ohio,OH ,3901480,7-Independent Charter District,119,9.00,1241000,95000,1046000,100000,1203000
A+ UNLIMITED POTENTIAL,TEXAS,TX ,4801453,7-Independent Charter District,136,4.65,2110000,4000,1768000,338000,2110000
A-C CENTRAL CUSD 262,Illinois,IL ,1700105,1-Regular local school district that is NOT a component of a supervisory union,395,36.20,7112000,3426000,3304000,382000,6815000
A. LINWOOD HOLTON GOVERNOR'S SCHOOL,Virginia,VA ,5100033,9-Specialized public school district,0,†,–,–,–,–,–
A.C.E. ACADEMY,North Carolina,NC ,3700372,7-Independent Charter District,402,26.52,4011000,1337000,2446000,228000,3749000
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2700106,1-Regular local school district that is NOT a component of a supervisory union,865,61.97,19431000,5041000,13777000,613000,28304000
A.E. PHILLIPS LABORATORY SCHOOL,Louisiana,LA ,2200056,8-Other education agencies,410,18.00,–,–,–,–,–
ABBEVILLE 60,South Carolina,SC ,4500690,1-Regular local school district that is NOT a component of a supervisory union,2965,228.10,36324000,9852000,22511000,3961000,36001000
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,WI ,5500030,1-Regular local school district that is NOT a component of a supervisory union,747,59.83,11597000,3223000,7452000,922000,9275000
ABBOTT ISD,Texas,TX ,4807380,1-Regular local school district that is NOT a component of a supervisory union,288,24.25,4131000,1431000,2554000,146000,3676000
ABBOTT UNION FREE SCHOOL DISTRICT,New York,NY ,3602300,1-Regular local school district that is NOT a component of a supervisory union,†,†,†,†,†,†,†
ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),Massachusetts,MA ,2500051,7-Independent Charter District,1425,117.15,24888000,19807000,3760000,1321000,21797000
ABC UNIFIED,California,CA ,0601620,1-Regular local school district that is NOT a component of a supervisory union,20269,0.00,288981000,73730000,200232000,15019000,272123000
ABERDEEN DISTRICT,Idaho,ID ,1600030,1-Regular local school district that is NOT a component of a supervisory union,705,47.13,8172000,1620000,5531000,1021000,7295000
ABERDEEN SCHOOL DIST,Mississippi,MS ,2800360,1-Regular local school district that is NOT a component of a supervisory union,1114,91.50,14761000,5930000,6727000,2104000,14341000
ABERDEEN SCHOOL DISTRICT,Washington,WA ,5300030,1-Regular local school district that is NOT a component of a supervisory union,3500,203.55,55919000,6554000,43635000,5730000,54733000
ABERDEEN SCHOOL DISTRICT 06-1,South Dakota,SD ,4602070,1-Regular local school district that is NOT a component of a supervisory union,4495,301.31,49419000,25542000,20089000,3788000,45648000
ABERNATHY ISD,Texas,TX ,4807410,1-Regular local school district that is NOT a component of a supervisory union,818,67.39,12455000,8065000,3546000,844000,9942000
ABILENE,Kansas,KS ,2003180,1-Regular local school district that is NOT a component of a supervisory union,1532,96.72,20363000,4105000,15111000,1147000,20117000
ABILENE ISD,Texas,TX ,4807440,1-Regular local school district that is NOT a component of a supervisory union,16612,1077.40,187894000,68225000,95098000,24571000,241628000
ABINGDON-AVON CUSD 276,Illinois,IL ,1701413,1-Regular local school district that is NOT a component of a supervisory union,964,71.54,15091000,6483000,7553000,1055000,15293000
ABINGTON,Massachusetts,MA ,2501650,1-Regular local school district that is NOT a component of a supervisory union,2143,126.15,38374000,23582000,13372000,1420000,38771000
ABINGTON HEIGHTS SD,Pennsylvania,PA ,4202010,1-Regular local school district that is NOT a component of a supervisory union,3425,220.50,50310000,33985000,15240000,1085000,47428000
ABINGTON SD,Pennsylvania,PA ,4202040,1-Regular local school district that is NOT a component of a supervisory union,8534,564.15,166320000,127279000,36074000,2967000,190637000
ABQ SCHOOL OF EXCELLENCE,New Mexico,NM ,3500122,7-Independent Charter District,689,44.65,6490000,879000,5115000,496000,6215000
ABQ SIGN LANGUAGE ACADEMY,New Mexico,NM ,3500123,7-Independent Charter District,103,11.01,3584000,177000,2831000,576000,3377000
ABSAROKEE ELEM,Montana,MT ,3001710,1-Regular local school district that is NOT a component of a supervisory union,127,11.70,1941000,1183000,672000,86000,1722000
ABSAROKEE H S,Montana,MT ,3001740,1-Regular local school district that is NOT a component of a supervisory union,80,7.86,1866000,1206000,603000,57000,1655000
ABSECON PUBLIC SCHOOLS DISTRICT,New Jersey,NJ ,3400660,1-Regular local school district that is NOT a component of a supervisory union,908,78.00,20037000,12627000,6519000,891000,19111000
ACADEMIA ANTONIA ALONSO,Delaware,DE ,1000053,7-Independent Charter District,595,39.00,8975000,2785000,5386000,804000,8347000
ACADEMIA AVANCE CHARTER DISTRICT,CALIFORNIA,CA ,0602291,7-Independent Charter District,328,0.00,5157000,268000,4352000,537000,5194000
ACADEMIA CESAR CHAVEZ CHARTER SCH.,Minnesota,MN ,2700185,7-Independent Charter District,568,33.80,8859000,164000,7716000,979000,8877000
ACADEMIA MODERNA DISTRICT,CALIFORNIA,CA ,0602361,7-Independent Charter District,479,0.00,6750000,1734000,4269000,747000,6121000
ACADEMIC AND CAREER EDUCATION ACADEMY,Michigan,MI ,2600330,7-Independent Charter District,93,3.86,948000,70000,829000,49000,960000
ACADEMIC ARTS HIGH SCHOOL,Minnesota,MN ,2700361,7-Independent Charter District,90,7.61,1880000,4000,1809000,67000,1850000
ACADEMIC LEADERSHIP CHARTER SCHOOL,New York,NY ,3601001,7-Independent Charter District,603,21.00,0,0,0,0,4598000
ACADEMICS PLUS CHARTER SCHOOL,Arkansas,AR ,0500059,7-Independent Charter District,1552,109.19,13349000,695000,11857000,797000,12283000
ACADEMIE LAFAYETTE,Missouri,MO ,2900017,7-Independent Charter District,1117,76.75,13541000,4015000,9160000,366000,12638000
ACADEMY CHARTER HIGH SCHOOL,New Jersey,NJ ,3400048,7-Independent Charter District,186,17.00,4191000,3186000,639000,366000,4056000
ACADEMY CHARTER SCHOOL,New York,NY ,3600997,7-Independent Charter District,1717,90.49,0,0,0,0,35988000
ACADEMY CHARTER SCHOOL-UNIONDALE,NEW YORK,NY ,3601169,7-Independent Charter District,250,15.24,0,0,0,0,5410000
ACADEMY DEL SOL INC. (90199),Arizona,AZ ,0400797,7-Independent Charter District,765,0.00,5872000,196000,5353000,323000,6157000
ACADEMY FOR ACADEMIC EXCELLENCE,Texas,TX ,4800093,7-Independent Charter District,493,56.01,7651000,44000,6561000,1046000,8431000
ACADEMY FOR ACADEMIC EXCELLENCE DISTRICT,CALIFORNIA,CA ,0601911,7-Independent Charter District,1433,0.00,15004000,2998000,11564000,442000,13880000
ACADEMY FOR BUSINESS AND TECHNOLOGY,Michigan,MI ,2600166,7-Independent Charter District,560,31.15,5921000,237000,4968000,716000,5899000
ACADEMY FOR INTEGRATED ARTS,Missouri,MO ,2900604,7-Independent Charter District,258,18.10,4110000,1436000,2159000,515000,3250000
ACADEMY FOR MATH ENGINEERING & SCIENCE,Utah,UT ,4900017,7-Independent Charter District,483,22.05,4688000,282000,4258000,148000,4372000
ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL,New Hampshire,NH ,3300040,7-Independent Charter District,535,34.50,–,–,–,–,–
ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL,New Jersey,NJ ,3400741,7-Independent Charter District,549,52.00,10612000,8339000,1312000,961000,11180000
