ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Total Students All Grades (Excludes AE) [District] 2021-22,Full-Time Equivalent (FTE) Teachers [District] 2021-22,Agency Type [District] 2021-22
21ST CENTURY CHARTER SCH OF GARY,Indiana,IN ,1800046,1329,96.00,7-Independent Charter District
21ST CENTURY CYBER CS,Pennsylvania,PA ,4200091,1536,72.22,7-Independent Charter District
21ST CENTURY PUBLIC ACADEMY,NEW MEXICO,NM ,3500187,364,27.30,7-Independent Charter District
A E R O  SPEC EDUC COOP,Illinois,IL ,1700024,0,63.73,9-Specialized public school district
A W BEATTIE CAREER CENTER,Pennsylvania,PA ,4280010,6,31.00,9-Specialized public school district
A W BROWN LEADERSHIP ACADEMY,Texas,TX ,4800095,1067,70.87,7-Independent Charter District
A+ ACADEMY,Texas,TX ,4800203,1551,82.37,7-Independent Charter District
A+ ARTS ACADEMY,Ohio,OH ,3900305,550,39.00,7-Independent Charter District
A+ CHARTER SCHOOLS (1000166),ARIZONA,AZ ,0400998,249,–,7-Independent Charter District
A+ CHILDREN'S ACADEMY,Ohio,OH ,3901480,106,9.00,7-Independent Charter District
A+ UNLIMITED POTENTIAL,TEXAS,TX ,4801453,145,8.88,7-Independent Charter District
A-C CENTRAL CUSD 262,Illinois,IL ,1700105,369,41.50,1-Regular local school district that is NOT a component of a supervisory union
A. LINWOOD HOLTON GOVERNOR'S SCHOOL,Virginia,VA ,5100033,0,†,9-Specialized public school district
A.C.E. ACADEMY,North Carolina,NC ,3700372,402,27.53,7-Independent Charter District
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2700106,889,68.18,1-Regular local school district that is NOT a component of a supervisory union
A.E. PHILLIPS LABORATORY SCHOOL,Louisiana,LA ,2200056,396,17.00,8-Other education agencies
ABBEVILLE 60,South Carolina,SC ,4500690,2946,222.87,1-Regular local school district that is NOT a component of a supervisory union
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,WI ,5500030,772,58.97,1-Regular local school district that is NOT a component of a supervisory union
ABBOTT ISD,Texas,TX ,4807380,283,23.56,1-Regular local school district that is NOT a component of a supervisory union
ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),Massachusetts,MA ,2500051,1426,119.60,7-Independent Charter District
ABC UNIFIED,California,CA ,0601620,18889,842.75,1-Regular local school district that is NOT a component of a supervisory union
ABERDEEN DISTRICT,Idaho,ID ,1600030,690,50.11,1-Regular local school district that is NOT a component of a supervisory union
ABERDEEN SCHOOL DIST,Mississippi,MS ,2800360,1043,79.68,1-Regular local school district that is NOT a component of a supervisory union
ABERDEEN SCHOOL DISTRICT,Washington,WA ,5300030,3262,186.56,1-Regular local school district that is NOT a component of a supervisory union
ABERDEEN SCHOOL DISTRICT 06-1,South Dakota,SD ,4602070,4419,304.55,1-Regular local school district that is NOT a component of a supervisory union
ABERNATHY ISD,Texas,TX ,4807410,825,71.96,1-Regular local school district that is NOT a component of a supervisory union
ABILENE,Kansas,KS ,2003180,1522,93.32,1-Regular local school district that is NOT a component of a supervisory union
ABILENE ISD,Texas,TX ,4807440,15426,1078.47,1-Regular local school district that is NOT a component of a supervisory union
ABINGDON-AVON CUSD 276,Illinois,IL ,1701413,895,74.54,1-Regular local school district that is NOT a component of a supervisory union
ABINGTON,Massachusetts,MA ,2501650,2154,146.68,1-Regular local school district that is NOT a component of a supervisory union
ABINGTON HEIGHTS SD,Pennsylvania,PA ,4202010,3402,222.00,1-Regular local school district that is NOT a component of a supervisory union
ABINGTON SD,Pennsylvania,PA ,4202040,8291,573.55,1-Regular local school district that is NOT a component of a supervisory union
ABQ SCHOOL OF EXCELLENCE,New Mexico,NM ,3500122,855,58.76,7-Independent Charter District
ABQ SIGN LANGUAGE ACADEMY,New Mexico,NM ,3500123,113,13.01,7-Independent Charter District
ABSAROKEE ELEM,Montana,MT ,3001710,112,11.26,1-Regular local school district that is NOT a component of a supervisory union
ABSAROKEE H S,Montana,MT ,3001740,58,7.87,1-Regular local school district that is NOT a component of a supervisory union
ABSECON PUBLIC SCHOOLS DISTRICT,New Jersey,NJ ,3400660,906,87.00,1-Regular local school district that is NOT a component of a supervisory union
ACADEMIA ANTONIA ALONSO,Delaware,DE ,1000053,613,41.00,7-Independent Charter District
ACADEMIA AVANCE CHARTER DISTRICT,CALIFORNIA,CA ,0602291,263,20.00,7-Independent Charter District
ACADEMIA CESAR CHAVEZ CHARTER SCH.,Minnesota,MN ,2700185,547,39.90,7-Independent Charter District
