ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2022-23,Total Students All Grades (Excludes AE) [District] 2022-23,Full-Time Equivalent (FTE) Teachers [District] 2022-23
21ST CENTURY CHARTER SCH OF GARY,Indiana,IN ,1800046,7-Independent Charter District,1337,115.00
21ST CENTURY CYBER CS,Pennsylvania,PA ,4200091,7-Independent Charter District,1239,58.45
21ST CENTURY PUBLIC ACADEMY,NEW MEXICO,NM ,3500187,7-Independent Charter District,393,29.70
A E R O  SPEC EDUC COOP,Illinois,IL ,1700024,9-Specialized public school district,†,63.00
A W BEATTIE CAREER CENTER,Pennsylvania,PA ,4280010,9-Specialized public school district,6,33.00
A W BROWN LEADERSHIP ACADEMY,Texas,TX ,4800095,7-Independent Charter District,975,52.23
A+ ACADEMY,Texas,TX ,4800203,7-Independent Charter District,1588,90.95
A+ ARTS ACADEMY,Ohio,OH ,3900305,7-Independent Charter District,401,28.00
A+ CHARTER SCHOOLS (1000166),ARIZONA,AZ ,0400998,7-Independent Charter District,268,–
A+ CHILDREN'S ACADEMY,Ohio,OH ,3901480,7-Independent Charter District,96,9.00
A+ UNLIMITED POTENTIAL,TEXAS,TX ,4801453,7-Independent Charter District,156,11.00
A-C CENTRAL CUSD 262,Illinois,IL ,1700105,1-Regular local school district that is NOT a component of a supervisory union,344,40.30
A. LINWOOD HOLTON GOVERNOR'S SCHOOL,Virginia,VA ,5100033,9-Specialized public school district,†,†
A.C.E. ACADEMY,North Carolina,NC ,3700372,7-Independent Charter District,419,24.69
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2700106,1-Regular local school district that is NOT a component of a supervisory union,851,68.35
ABBEVILLE 60,South Carolina,SC ,4500690,1-Regular local school district that is NOT a component of a supervisory union,2864,222.30
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,WI ,5500030,1-Regular local school district that is NOT a component of a supervisory union,798,48.88
ABBOTT ISD,Texas,TX ,4807380,1-Regular local school district that is NOT a component of a supervisory union,286,25.39
ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),Massachusetts,MA ,2500051,7-Independent Charter District,1422,119.61
ABC UNIFIED,California,CA ,0601620,1-Regular local school district that is NOT a component of a supervisory union,18354,810.83
ABERDEEN DISTRICT,Idaho,ID ,1600030,1-Regular local school district that is NOT a component of a supervisory union,673,49.17
ABERDEEN SCHOOL DIST,Mississippi,MS ,2800360,1-Regular local school district that is NOT a component of a supervisory union,998,86.14
ABERDEEN SCHOOL DISTRICT,Washington,WA ,5300030,1-Regular local school district that is NOT a component of a supervisory union,3304,204.29
ABERDEEN SCHOOL DISTRICT 06-1,South Dakota,SD ,4602070,1-Regular local school district that is NOT a component of a supervisory union,4326,303.07
ABERNATHY ISD,Texas,TX ,4807410,1-Regular local school district that is NOT a component of a supervisory union,835,71.84
ABILENE,Kansas,KS ,2003180,1-Regular local school district that is NOT a component of a supervisory union,1515,93.82
ABILENE ISD,Texas,TX ,4807440,1-Regular local school district that is NOT a component of a supervisory union,15253,1035.97
ABINGDON-AVON CUSD 276,Illinois,IL ,1701413,1-Regular local school district that is NOT a component of a supervisory union,903,68.50
ABINGTON,Massachusetts,MA ,2501650,1-Regular local school district that is NOT a component of a supervisory union,2177,153.85
ABINGTON HEIGHTS SD,Pennsylvania,PA ,4202010,1-Regular local school district that is NOT a component of a supervisory union,3474,209.00
ABINGTON SD,Pennsylvania,PA ,4202040,1-Regular local school district that is NOT a component of a supervisory union,8543,592.15
ABQ SCHOOL OF EXCELLENCE,New Mexico,NM ,3500122,7-Independent Charter District,910,50.76
ABQ SIGN LANGUAGE ACADEMY,New Mexico,NM ,3500123,7-Independent Charter District,125,18.00
ABSAROKEE ELEM,Montana,MT ,3001710,1-Regular local school district that is NOT a component of a supervisory union,107,9.66
ABSAROKEE H S,Montana,MT ,3001740,1-Regular local school district that is NOT a component of a supervisory union,71,6.67
ABSECON PUBLIC SCHOOLS DISTRICT,New Jersey,NJ ,3400660,1-Regular local school district that is NOT a component of a supervisory union,952,90.25
ACADEMIA ANTONIA ALONSO,Delaware,DE ,1000053,7-Independent Charter District,718,43.00
ACADEMIA AVANCE CHARTER DISTRICT,CALIFORNIA,CA ,0602291,7-Independent Charter District,256,16.40
ACADEMIA CESAR CHAVEZ CHARTER SCH.,Minnesota,MN ,2700185,7-Independent Charter District,547,37.81
ACADEMIA MODERNA DISTRICT,CALIFORNIA,CA ,0602361,7-Independent Charter District,453,20.50
ACADEMIC AND CAREER EDUCATION ACADEMY,Michigan,MI ,2600330,7-Independent Charter District,98,3.85
ACADEMIC ARTS HIGH SCHOOL,Minnesota,MN ,2700361,7-Independent Charter District,104,11.76
ACADEMIC LEADERSHIP CHARTER SCHOOL,New York,NY ,3601001,7-Independent Charter District,455,18.50
ACADEMICS PLUS CHARTER SCHOOL,Arkansas,AR ,0500059,7-Independent Charter District,1825,102.83
ACADEMIE LAFAYETTE,Missouri,MO ,2900017,7-Independent Charter District,1291,90.00
