,state.abb,id,name,ncesID,name_nces,note
1,GA,1268652,thomaston-upson county school system,1305280,,
2,NJ,1268472,city of rahway board of education,,,deleted
3,NJ,1268818,city of rahway school district,3413530,Rahway Public School District,
4,NJ,1268310,hamilton township school district,3406510,Hamilton Township School District,
5,NY,1240646,board of education city of buffalo,3605850,,
6,NJ,197278,passaic county technical-vocational schools,3412630,,
7,MD,1268506,board of education baltimore county,2400120,,
8,MN,1268507,Minneapolis Public Schools Special School District No. 1,2721240,Minneapolis Public School District,"forty_three elementary schools, eight middle schools, two K_ 8 schools, ten high schools, a transition school, and four district administration buildings. D"
9,NJ,225201,red bank borough public school district,3413740,,
10,LA,1267815,lafayette prish school board,2200870,,
11,SC,87674,fort mill school district no. 4,4503900,,
12,MD,1267835,howard county public school system,2400420,,
13,NJ,1268289,cape may county technical school district,3402730,,
14,SD,1268743,corsica-stickney school district no. 21-3,4680445,Corsica-stickney 21-3,
15,PA,151284,School District of the City of Erie,,,deleted
16,PA,168781,the school district of the city of erie,,,deleted
17,VA,1266775,school board of the city of norfolk,5102670,Norfolk City Public Schools,
18,PA,1240910,School District of the City of Erie,4209300,Erie City SD,
19,LA,1238403,tangipahoa parish school system,2201680,,
,,,,,,
21,NJ,225075,borough of lawnside school district,3408340,Lawnside School District,
22,MN,1265981,independent school district no. 194,2717780,Lakeville Area Schools,
23,MN,1265985,independent school district no. 273,2711250,EDINA PUBLIC SCHOOL DISTRICT,
24,PA,1268137,school district of haveford township,4211670,Haverford Township SD,
25,CA,1266103,washington unified school district (yolo county),0641580,Washington Unified,
26,OR,1268254,sherwood school district,4111290,Sherwood SD 88J,
27,OH,1268369,boone county board of education,,,should be KY
28,MN,1266215,independent school district no. 276,2711670,MINNETONKA PUBLIC SCHOOL DISTRICT,
29,ND,81800,board of education of the city of fargo,3806780,FARGO 1,
30,TX,1268187,temple independent school distrist,4842330,TEMPLE ISD,has 2 year 2023
31,CA,67836,santa cruz city schools,,,"Santa Cruz City Schools (the ""District"") is a consolidation of Santa Cruz City High School District and Santa Cruz City Elementary School District."
32,OR,1265982,multnomah county school district no. 7,4180180,Multnomah ESD,
33,NY,1268056,shenendehowa central school district at clifton park,3626670,SHENENDEHOWA CENTRAL SCHOOL DISTRICT,
34,NY,398768,clarkstown central school distrcit,3620340,CLARKSTOWN CENTRAL SCHOOL DISTRICT,
35,PA,228844,quakertown community school distric,4219890,Quakertown Community SD,
36,NJ,1240220,city of elizabeth school district-ein noted,3404590,Elizabeth Public Schools,City of Elizabeth School District
37,MN,1267895,independant school district no. 152,2721420,Moorhead Area Public Schools,misspelling caused new id
38,NY,1268068,warwick valley central school,,,
39,NY,1239058,lakeland central school dirstrict,,,
40,GA,1265826,city of gainesville board of education,,,
41,NY,36240,boces first supervisory district of monroe county,,,
42,MT,1266224,missoula county public school district no.1,,,
43,NY,225511,somers central school dirstrict,,,
44,KS,1267763,unified school district no. 230,,,
45,PA,228591,bucks county intermediate unit no. 22,,,
46,PA,1268130,fox chapel areas school district,,,
47,CA,399401,ocean view school district (orange county),,,
48,MN,81333,independent school district no. 191,2707290,Burnsville-Eagan-Savage Schools,
49,CO,1237850,co durango school district no. 9-r,,,
50,NY,1268024,camden central school distict,,,
51,NY,1239046,hendrick hudson central school distist,,,
52,MN,1266214,independent school district no. 77,2718780,MANKATO PUBLIC SCHOOL DISTRICT ,
53,KY,1268477,oldham county board of education,,,
54,DE,1268447,william penn school district,,,
55,NM,225253,belen consolidated school district no. 2,,,
56,ID,224660,vallivue school disrict no 139,,,
57,NC,224938,nash board of education,,,
58,PA,228796,montgomery intermediate unit county,,,
59,VA,1265768,portsmouth public schools,,,
60,NY,82387,valley stream central high school dictrict,,,
61,MA,224387,acton-boxborough regional school distrct,,,
62,KS,1267756,unified school district no. 497,,,
63,VA,1266555,york county school division,,,
64,NE,35487,lancaster county school district no. 001,,,
65,KS,224315,unified school district no. 265,,,
66,KY,1238328,jefferson davis parish school board,,,
67,SC,41792,school district of edgefield county,,,
68,OR,1268415,canby school district,,,
69,MO,1265815,fort zumwalt school district,,,
70,MI,161813,ottawa area intermediate school district,,,
71,MO,35332,shelby county r-4 school district,,,
72,CA,1266171,lakeside union school district (san diego county),,,
73,NY,190610,city school district of the city of oneida,,,
74,NJ,1240227,lenape regional high school,,,
75,ND,36831,williston public school district no. 1,,,
76,OH,1268280,perrysburg exempted village school districgt,,,
77,SC,1268144,bamberg county school district,,,
78,ID,1239301,north shore schools district no. 112,,,
79,MA,105936,minuteman regional vocational technical school district,,,
80,PA,1268410,greater latrobe school district greater latrobe school district,,,
81,MN,282368,northeast metropolitan intermediate school district no. 916,2702264,NORTHEAST METRO 916,
82,GA,1265487,city of carrollton board of education,,,
83,NJ,225228,township of south brunswick school district,,,
84,OK,1268634,jenks public schools,,,
85,AL,1267565,ocean springs school district,,,
86,NM,1238952,new mexico public schools insurance authority,,,
87,SC,1239427,hampton county school district,,,
88,IL,1268796,glenbrook high school district 225,,,
89,MN,34893,independent school district no. 700,2713920,Hermantown Community Schools,
90,PA,1268129,bermudian spring school district,,,
91,MA,1268504,bristol-plymouth regional school district,,,
92,NY,1239140,valhalla union free school distrcit,,,
93,MA,282215,freetown-lakeville regional school districct,,,
94,NC,81661,board of education of beaufort county schools,,,
95,NC,1267949,marion county school district,,,
96,IL,1240491,north shore schools district no. 112,,,
97,PA,228910,westerm wayne school district,,,
98,NY,1239016,dobbs ferry union free school distrcit,,,
99,WI,1268214,chippewa falls area united school district,,,
100,NJ,1240222,township of montgomery school district,,,
101,NM,225302,west las vegas school district,,,
102,KS,1238297,unified school district no. 202 (kansas),,,
103,NY,40354,board of cooperative educational services first supervisory district of erie county,,,
104,MI,164405,bay-arenac independent school district,,,
105,MT,1268510,belgrade school district,,,
106,PA,1239361,knoch school district,,,
107,MN,196903,independent school district no. 22,2710230,Detroit Lakes Public School District,
108,NH,35574,governor wentworth regional school district,,,
109,MA,165763,cape cod regional technical high school district,,,
110,MA,1268610,greater lowell technical high school,,,
111,IL,1267725,school district of holmen,,,
112,NJ,1267387,township of ewing school district,,,
113,NY,1268070,whitney point central school district whitney point central school district,,,
114,KS,1267753,unified school district no. 308,,,
115,NY,1239014,delaware-chenango-madison-otsego boces,,,
116,NJ,168047,fort lee borough school district,,,
117,PA,87415,eastern lancaster county school distrcit,,,
118,NM,225279,new mexico early childhood education and care department,,,
119,VA,1267153,danville public schools,,,
120,MN,1240157,independent school district no. 115,2708070,Cass Lake-Bena School District,
121,PA,1240909,river valley school district,,,
122,MO,1267914,st. charles r-vi school district,,,
123,OR,1266034,union county school district no. 1,,,
124,ID,32699,kuna school district,,,
125,NY,1238976,alexandria central school,,,
126,FL,1240462,the florida school for the deaf and blind,,,
127,NY,225413,greenwich central school,,,
128,KS,1267773,unified school district no. 204 wyandotte county,,,
129,NY,64983,otsego-northern catskill boces,,,
130,KS,33510,usd 373-newton kansas,,,
131,WI,1239607,fox point/bayside school district,,,
132,SC,1268156,school district of lee county,,,
133,NY,225457,morisville-eaton central school district,,,
134,SC,1268157,saluda county school district saluda,,,
135,AL,1267566,pontotoc county school district,,,
136,NY,1268061,troy area school district,,,
137,CO,400401,wiggins school district re-50j,,,
138,MD,1267834,board of education of garrett county,,,
139,MN,282304,independent school district no. 2397,2718070,LE SUEUR-HENDERSON SCHOOL DISTRICT,
140,MA,1267016,southern berkshire regional school district,,,
141,MA,61623,martha's vineyard regional high school district,,,
142,SC,228963,denmark-olar school district no. 2,,,
143,OR,1268640,klamath falls city school district,,,
144,MN,81349,independent school district no. 829,2741880,Waseca School District,
145,MN,282312,independent school district no. 549,2728230,Perham-Dent School District,
146,KS,1267768,unified school district 368,,,
147,KY,1238344,whtley county school district,,,
148,VA,1265774,city of salem school division,,,
149,AZ,46159,lukachukai community school,,,
150,KS,1267766,unified school district 413,,,
151,MT,35402,whitefish public schools,,,
152,MT,1268515,whitefish school district,,,
153,SC,1268150,greenwood county school district number 52,,,
154,MN,282332,independent school district no. 2180,2700091,MACCRAY Public Schools,other name in acfr 
155,KS,1268686,unified school district 345,,,
156,MO,1267918,fort osage r-i school district,,,
157,KS,1239324,unified school district no. 446,,,
158,MN,1267903,independent school district 2180,2700091,MACCRAY Public Schools,other name in acfr 
159,NH,35582,mascoma valley regional school district,,,
160,NY,82339,orleans-niagara board of cooperative educational services,,,
161,WI,230602,cedar grove-belgium area school district,,,
162,NC,224908,"board of cooperative educational services genesee, livingston, steuben and wyoming counties",,,
163,SD,1268443,mitchell school district,,,
164,PA,87476,northeastern educational intermediate unit,,,
165,CA,1268340,contra costa county special education local plan area,,,
166,NC,1268367,lexington city board of education,,,
167,PA,1239835,the school district of jenkintown,,,
168,MN,282311,independent school district no. 548,2728170,Pelican Rapids School District ,
169,MA,34214,tri-county regional vocational technical school district,,,
170,NJ,1240057,greater egg harbor regional high school,,,
171,NY,1035011,northeast webutuck central school district,,,
172,MA,34204,mohawk trail regional school district,,,
173,MN,290648,independent school district no. 2134,2700005,United South Central School District,
174,WI,1268219,menominee area school district,,,
175,NY,1239247,cherry valley - springfield central school,,,
176,NC,1238755,clinton city board of education,,,
177,NM,82145,loving municipal schools,,,
178,KS,1267757,unified school district no. 418,,,
179,PA,1265786,school district of the borough of morrisville,,,
180,OR,1268128,philomath school district,,,
181,NY,1239072,mount pleasant cottage school union free school district,,,
182,OR,164428,lane educational service district,,,
183,MN,282270,independent school district no. 858,2733450,Saint Charles School District,
184,MN,1238629,independent school district no. 2902,2700294,RTR PUBLIC SCHOOLS,
185,NY,1239041,hartford central school,,,
186,ME,399543,maine school administrative district no. 28,,,
187,IL,398467,the city of lake forest school district no. 67,,,
188,ND,108446,kindred public school district,,,
189,IL,167533,special education district of lake county seja district no. 825,,,
190,CA,1268461,lakeside union school district (kern county),,,
191,MS,1035165,bay st. loius - waveland school district,,,
192,MN,1267874,independent school district no. 252,2707500,Cannon Falls Area Schools ,
193,MN,282264,independent school district no. 146,2703660,Barnesville Public School District,
194,KY,1267799,larue county school district,,,
195,MT,1240703,stevensville public school,,,
196,PA,38130,schuylkill intermediate unit no. 29,,,
197,AZ,44602,east valley institute of technology no. 401,,,
198,MN,1267902,independent school district 116,2713110,Cook County School District,
199,ME,290475,maine school administrative district no. 51,,,
200,MT,1267941,lewiston school district 1,,,
201,SC,1268146,barnwell county consolidated school district,,,
202,MN,282283,independent school district no. 227,2708220,Chatfield School District ,
203,MA,99071,pioneer valley regional school district,,,
204,MO,1267926,mehlville r-ix school district,,,
205,MN,282354,independent school district no. 2889,,,
206,PA,1035961,school district of the city of monessen,,,
207,MO,1267916,dunklin r-vi school district,,,
208,ID,1268296,mindoka joint school district no. 331,,,
209,MN,224836,independent school district no. 2904,2700326,TRACY AREA PUBLIC SCHOOL DISTRICT,
