,sumlev,state,county,place,cousub,concit,funcstat,name_census,state.name,population,state.abb,geo_id,id,name,name_municipality
1,50,2,20,NA,0,0,C,anchorage municipality,Alaska,291244,AK,2020,1266824,anchorage,
2,50,2,110,NA,0,0,C,juneau city and borough,Alaska,32255,AK,2110,91930,juneau city and borough,
3,50,2,220,NA,0,0,C,sitka city and borough,Alaska,8448,AK,2220,95986,sitka city and borough,
4,50,2,275,NA,0,0,C,wrangell city and borough,Alaska,2126,AK,2275,31609,"	
wrangell city and borough",
5,50,6,75,NA,0,0,C,san francisco county,California,873959,CA,6075,54175,city and county of san francisco,
6,50,8,14,NA,0,0,C,broomfield county,Colorado,74105,CO,8014,1266589,city and county of broomfield,
7,50,8,31,NA,0,0,C,denver county,Colorado,715538,CO,8031,1266289,denver county,
8,50,12,31,NA,0,0,C,duval county,Florida,995560,FL,12031,32292,jacksonville,
9,50,13,21,NA,0,0,C,bibb county,Georgia,157347,GA,13021,99786,macon-bibb county,
10,50,13,53,NA,0,0,C,chattahoochee county,Georgia,9568,GA,13053,1266999,cusseta-chattahoochee county,
11,50,13,59,NA,0,0,C,clarke county,Georgia,128671,GA,13059,1266998,athens-clarke county unified government,
12,50,13,101,NA,0,0,C,echols county,Georgia,3703,GA,13101,111293,echols county,
13,50,13,215,NA,0,0,C,muscogee county,Georgia,206922,GA,13215,111473,consolidated government of columbus-muscogee county,
14,50,13,239,NA,0,0,C,quitman county,Georgia,2238,GA,13239,96522,georgetown-quitman county,
15,50,13,245,NA,0,0,C,richmond county,Georgia,206607,GA,13245,148608,augusta-richmond county consolidated government,
16,50,13,307,NA,0,0,C,webster county,Georgia,2349,GA,13307,96555,webster county unified government,
17,50,18,97,NA,0,0,C,marion county,Indiana,977213,IN,18097,170616,marion county,
18,50,20,71,NA,0,0,C,greeley county,Kansas,1282,KS,20071,1267157,greeley county unified government,Tribune city
19,50,20,209,NA,0,0,C,wyandotte county,Kansas,169230,KS,20209,40839,wyandotte county,kansas city
20,50,21,67,NA,0,0,C,fayette county,Kentucky,322567,KY,21067,1267156,lexington-fayette urban county,
21,50,21,111,NA,0,0,C,jefferson county,Kentucky,782956,KY,21111,115965,louisville/jefferson county metro government,
22,50,22,71,NA,0,0,C,orleans parish,Louisiana,383998,LA,22071,1266697,new orleans,
23,50,30,23,NA,0,0,C,deer lodge county,Montana,9424,MT,30023,40777,anaconda-deer lodge county,deer lodge city
24,50,30,93,NA,0,0,C,silver bow county,Montana,35128,MT,30093,81613,city & county of butte silver bow,
25,50,36,5,NA,0,0,C,bronx county,New York,1472656,NY,36005,NA,,
26,50,36,47,NA,0,0,C,kings county,New York,2736075,NY,36047,NA,,
27,50,36,61,NA,0,0,C,new york county,New York,1694250,NY,36061,NA,,
28,50,36,81,NA,0,0,C,queens county,New York,2405464,NY,36081,NA,,
29,50,36,85,NA,0,0,C,richmond county,New York,495749,NY,36085,NA,,
30,50,42,101,NA,0,0,C,philadelphia county,Pennsylvania,1603799,PA,42101,42714,philadelphia,
31,50,47,37,NA,0,0,C,davidson county,Tennessee,715875,TN,47037,1267141,nashville-davidson county,
32,50,47,127,NA,0,0,C,moore county,Tennessee,6469,TN,47127,1268468,"lynchburg, moore county metropolitan government",
33,50,47,169,NA,0,0,C,trousdale county,Tennessee,11610,TN,47169,1268161,hartsville/trousdale county,
