state.abb,name,id,ncesID
MO,knob noster r-8 school district,35250,2916830
CA,pleasant grove joint union elementary school district,146514,630900
OK,bokoshe independent school district no. 26,44406,4004950
OK,canadian independent school district no. 2,146931,4006390
OK,hooker school district no. 23,147183,4015090
OK,kellyville independent school district no. 31,147219,4016170
MI,bay-arenac isd,34351,2680504
OK,silo independent school district no. 1,147593,4027640
NM,taos municipal school district,35958,3502520
NJ,north brunswick board of education,225175,3411490
NJ,ringwood school district,225207,3413860
NY,warrensburg central school,197115,3629910
OK,stillwater public schools i-16,227937,4028680
NE,"neligh-oakdale public schools, district no. 9",190329,3174220
NE,wayne county school district no. 595,190396,3178840
LA,bienville parish school board,75112,2200210
TN,little tennessee valley educational cooperative,198024,
NY,hadley-luzerne central school,190589,3613110
MO,saint charles r-vi school district,167917,2928920
IL,community unit school district no. 1,32892,1727300
ID,payette joint school district no. 371,32743,1602580
WA,kennewick school district no. 17,39597,5303930
KS,unified school district no 202,33566,2012360
SC,florence school district no. 1,38336,4502130
CA,jefferson school district (san benito county),67409,618810
WI,school district of lodi,39949,5508190
NJ,sayreville board of education,82096,3414640
OK,perry independent school district no. 1,84963,4023850
OR,south columbia family school,86926,
OK,keota independent school district no. 43,44104,4016350
MN,burnsville-eagan-savage independent school district 191,42811,2707290
WI,school district of sheboygan falls,45309,5513680
NE,scotts bluff county school district no. 16,93980,3176470
IL,southwest cook county cooperative association for special education,32964,1701392
MO,scott county central school district,282444,2921420
MT,whitehall public schools,296174,3027810
AR,elkins school district no. 10,98679,505760
MO,st. clair r-13 school district,35212,2929100
NJ,harrison town school district,35790,3406870
OK,tonkawa school district no. i-87,37413,4030120
PA,school district of borough of bristol,37902,4204200
IL,cook county school district no. 92,1238209,1713440
,,,
MT,school district no. 23,1265958,
NJ,mountainside school district,1265965,
SC,barnwell school district no. 45,38321,4501080
WA,kalama school district,99195,5303810
IL,cook county school district no. 104,32955,1704050
ID,moscow school district no. 281,32732,1602220
ID,vallivue school district no. 139,32720,1600600
LA,lasalle parish school board,33837,2200960
MN,independent school district no. 316,34850,2709480
MO,lincoln county r-ii school district,35259,2911400
NH,milford new hampshire school district,35586,3304830
NJ,borough of bellmawr school district,35752,3401380
NY,hendrick hudson central school district,36466,3614190
NC,clinton city board of education,36652,3700930
,,,
PA,bermudian springs school district,37827,4203450
PA,fox chapel area school district,37850,4210070
PA,warren county school district,38155,4224820
PA,western wayne school district,38169,4226070
MO,st. clair county r-ii school district of appleton city,1268336,2903120
MA,acton-boxborough regional school district,44424,2501710
WI,school district of mayville,45097,5508880
WV,barbour county board of education,39778,5400030
WI,chippewa falls area unified school district,39946,5502550
WI,campbellsport school district,39974,5502160
NJ,south orange and maplewood school district board of education,35783,3415330
PA,school district of borough of morrisville,50834,4215900
LA,west baton rouge parish school board,42890,2201920
NM,cimarron municipal school district,1238946,3500480
,,,
MN,lake park audubon public schools,282354,2700162
IN,muncie community schools,43699,1807320
FL,florida school for the deaf and the blind,1268771,
IL,bourbonnais elementary school district no. 53,224070,1706750
MO,hickman mills c-1 school district,45483,2914340
NM,bloomfield municipal school district no.6,46641,3500240
NM,west las vegas schools,46788,3501560
MA,freetown-lakeville regional school district,46875,2505070
SD,oelrichs school district no. 23-3,48866,4652770
NJ,lacey township board of education,1268928,3408100
OK,luther school district no. i-3,1269190,4018630
MO,school district of university city,35323,2930660
NJ,river dell regional school district,1239245,3412260
NJ,metuchen board of education,1270501,3409990
OK,grandview dependent school district no. 82,147129,4013260
OK,jones independent school district no. 9,37452,4015840
OK,calera independent school district no. 48,198294,4006180
NY,schenectady city school district,82228,3626010
OK,frederick independent school district no. 158,37494,4012150
NJ,lakehurst school district,82028,3408160
OK,dickson independent school district no. 77,84877,4009910
OK,atoka independent school district no. 15,190726,4003360
WI,school district of grantsburg,48416,5505670
OK,calumet independent school district no. 76,146923,4006240
MA,bristol-plymouth regional technical school district,34198,2503080
NJ,south amboy public school district,42513,3415120
ID,aberdeen school district no. 58,71133,1600030
NJ,town of westfield school district,82103,3417760
WI,school district of north fond du lac,48337,5510740
KY,menifee county school district,33713,2104080
MN,independent school district no. 846,282329,2706150
NC,north east carolina preparatory school,107929,
OK,lone star dependent school district no. 8,147280,4018240
NY,gilbertsville-mount upton central school district,1239034,3604757
NY,south kortright central school,1266585,3627330
MT,school district number no. 8,224898,
KY,magoffin county board of education,33707,2103750
IL,anna community consolidated school district no. 37,197183,1703750
MN,pine river-backus public schools independent school district no. 2174,81335,2728970
NY,dobbs ferry union free school district,168178,3609120
PA,coudersport area school district,168731,4206930
IL,bushnell-prairie city community unit school district no. 170,224075,1707950
KS,unified school district no. 114,224279,2000351
NY,cherry valley-springfield central school district,225364,3600006
NJ,montgomery school district,282515,3410590
NJ,swedesboro-woolwich school district,282523,3415990
MN,independent school district no. 2910,1238621,2700480
MN,independent school district no. 414,1238624,2721270
OK,skiatook independent school district no. 7,1239251,4027750
OK,okeene independent school district no. i-9,1240798,4022650
CA,lakeside union school district (kern county),1268461,620730
CA,pacific union school district (humboldt county),146475,629430
OH,cincinnati city school district,44348,3904375
OH,dayton city school district,37188,3904384
