state,name,id,ncesName,ncesID
AK,Delta/Greely School District,93562,,200100
AK,Matanuska-Susitna Borough School District,31585,,200510
AK,Saint Mary's School District,64746,,NA
AK,Yukon-Koyukuk School District,30414,,200862
AL,Cullman County Commission on Education,163742,,101020
AR,Arkansas River Educational Service Cooperative,188464,,NA
AR,Boston Mountain Educational Cooperative,44870,,NA
AR,Brinkley School District No. 8,1027233,,503630
AR,Cross County School District No. 7,98665,,NA
AR,Crowley's Ridge Education Service Cooperative,30759,,NA
AR,Dawson Educational Cooperative,56143,,NA
AR,Dequeen-Mena Educational Service Cooperative,30778,,NA
AR,Great Rivers Educational Service Cooperative,98693,,NA
AR,Guy Fenter Education Service Cooperative,30709,,NA
AR,Hoxie School District No. 46,1027272,,NA
AR,Kipp Delta Public Schools,50412,,NA
AR,Mulberry School District No. 101,145849,,NA
AR,Northcentral Arkansas Education Service Cooperative,101680,,NA
AR,Northeast Arkansas Educational Cooperative,101681,,NA
AR,Northwest Arkansas Education Service Cooperative,43818,,NA
AR,Ozarks Unlimited Resources Educational Cooperative,229576,,NA
AR,Parkers Chapel School District No. 35,98768,,NA
AR,Searcy Special School District,108526,,NA
AR,South Central Service Cooperative,101689,,NA
AR,South Side School District No. 2,145861,,NA
AR,Southwest Arkansas Educational Cooperative,188490,,NA
AR,Special Procedures on Selected School Districts,108527,,NA
AR,West Side School District No. 4,145868,,NA
AR,Wilbur D. Mills Education Service Cooperative,188500,,NA
AZ,Chilchinbeto Community School Inc,45860,,NA
AZ,Pima County Joint Technical Education District No. 11,223740,,NA
AZ,St. Johns Unified School District No. 1,30515,,NA
AZ,Toltec Elementary School District No. 22,171213,,408550
CA,Alpine County Office of Education,67002,,NA
CA,Amethod Public Schools,171010,,NA
CA,Beardsley Elementary School District,31159,Beardsley School District,604260
CA,Bitterwater-Tully Union School District,145945,Bitterwater-Tully Union Elementary School District,605190
CA,Bolinas-Stinson Union School District,145952,Bolinas-Stinson Union Elementary School District,605520
CA,Community Collaborative Virtual School,169346,,NA
CA,Contra Costa County Special Education Local Plan Area,45569,,NA
CA,Cutler-Orosi Joint Unified School District,108402,Cutler Orosi Joint Unified School District,610350
CA,East San Gabriel Valley Regional Occupational Program,31259,,NA
CA,El Segundo Unified School District,44062,E L Segundo Unified School District,612210
CA,Elkins Elementary School District,146108,,NA
CA,Fresno County Superintendent of Schools,67306,,NA
CA,Greater Anaheim Special Education Local Plan Area,47326,,NA
CA,Hope Elementary School District,146216,,NA
CA,Hospitality Industry Training and Education Fund,188694,,NA
CA,Inyo County Office of Education,93657,,NA
CA,Island Union Elementary School District,146232,,NA
CA,Kings River-Hardwick Union School District,98877,,NA
CA,Latrobe School District,146296,Latrobe Elementary School District,621180
CA,Peninsula Union School District,146497,Peninsula Union Elementary School District,630090
CA,Placerville Union Elementary School District,91072,Placerville Union School District,630780
CA,Point Arena Schools District,167205,,NA
CA,Rio Bravo-Greeley Union Elementary School District,51579,Rio Bravo-Greeley Union School District,632710
CA,San Mateo-Foster City School District,67826,San Mateo Foster City Elementary School District,634920
CA,Sausalito Marin City School District,67849,Sausalito Marin City Elementary School District,636000
CA,South Bay Union Elementary School District,146666,,NA
CA,South Fork Union School District,146667,South Bay Union Elementary School District (Humboldt County),637350
CA,Spreckels Union School District,1140030,Spreckels Union Elementary School District,637710
CA,Sulphur Springs Union School District,67938,Sulphur Springs Union Elementary School District,638220
CA,Tuolumne County Superintendent of Schools,45608,Tuolumne County office of Education,691046
CA,Two Rock Union School District,146729,,NA
