"","state.abb","name","total_assets"
"1","KY","jessamine county",NA
"2","KY","franklin county",NA
"3","KY","barren county",NA
"4","KS","geary county",NA
"5","KS","harvey county",NA
"6","KY","knox county",NA
"7","KY","harlan county",NA
"8","KY","grayson county",NA
"9","KS","pottawatomie county",NA
"10","KY","grant county",NA
"11","KY","rowan county",NA
"12","KY","hart county",NA
"13","KS","dickinson county",NA
"14","KY","russell county",NA
"15","KY","fleming county",NA
"16","KY","todd county",NA
"17","KY","martin county",NA
"18","KY","lyon county",NA
"19","KY","trimble county",NA
"20","KY","bracken county",NA
"21","KS","anderson county",NA
"22","TX","crane county",NA
"23","KS","comanche county",NA
