"","state.abb","id","name","ncesID"
"1","MN","1265814","independent school district no. 625","2733840"
"2","MN","1265983","independent school district no. 181","2706090"
"3","MN","1265984","independent school district no. 272","2714220"
"4","MN","224835","independent school district no. 2909","2700466"
"5","MN","1238591","independent school district no. 727","2705460"
"6","MN","1267891","independent school district no. 2144","2700017"
"7","MN","1238605","independent school district no. 531","2707350"
"8","MN","1268274","independent school district no. 726 - becker","2703870"
"9","MN","1238611","independent school district no. 745","2702930"
"10","MN","1238633","independent school district no. 2135","2700006"
"11","MN","282281","independent school district 531","2707350"
"12","MN","282305","independent school district no. 2805","2745735"
"13","MN","81341","independent school district no. 319","2723310"
"14","MN","1265905","independent school district no. 695","2708910"
"15","MN","1238620","independent school district no. 2884","2700132"
"16","MN","282278","independent school district no. 533","2711010"
"17","MN","1267876","independent school district 544","2711880"
"18","MN","1267898","independent school district 2170","2733900"
"19","MN","282280","independent school district no. 300","2717250"
"20","MN","282323","independent school district no. 712","2700001"
"21","MN","282339","independent school district no. 2580","2711085"
"22","MN","282277","independent school district no. 378","2710090"
"23","MN","34897","independent school district no. 2711","2791450"
"24","MN","1267880","independent school district no. 716 - belle plaine","2704050"
"25","MN","282262","independent school district no. 203","2713590"
"26","MN","282268","independent school district no. 738","2714190"
"27","MN","282344","independent school district no. 463","2711190"
"28","MN","282297","independent school district no. 2172","2717100"
"29","MN","1238625","independent school district no. 2167","2700088"
"30","MN","1238623","independent school district no. 696","2711520"
"31","MN","282287","independent school district no. 150","2713560"
"32","MN","1238622","independent school district no. 314","2706060"
"33","MN","282318","independent school district no. 601","2712300"
"34","MN","282299","independent school district no. 2170","2733900"
"35","MN","282290","independent school district no. 91","2703690"
"36","MN","282330","independent school district no. 99","2738880"
"37","MN","282279","independent school district no. 299","2707380"
"38","MN","1238619","independent school district no. 162","2703570"
"39","MN","282269","independent school district no. 787","2706300"
"40","MN","290647","independent school district no. 2448","2718960"
"41","MN","1238630","independent school district no. 390","2717570"
"42","MN","1238648","independent school district no. 2609","2791449"
"43","MN","1267875","independent school district no. 811","2741060"
"44","MN","282329","independent school district no. 846","2706150"
"45","MN","282348","independent school district no. 2754","2700110"
"46","MN","1238627","independent school district no. 511","2702730"
"47","MN","282346","independent school district no. 891","2707470"
"48","MN","282272","independent school district no. 32","2705730"
"49","MN","1238628","independent school district no. 599","2711910"
"50","MN","1238594","independent school district no. 93","2707590"
"51","MN","1238626","independent school district no. 363","2732700"
"52","MN","1267872","independent school district no. 2311","2700103"
"53","MN","282309","independent school district no. 473","2715510"
"54","MN","1238603","independent school district no. 545","2713860"
