"","ncesID","name","id","state.abb"
"1","0200100","delta-greely school district","93562","AK"
"2","0200510","matanuska susitna borough school district","31585","AK"
"3","0200862","yukon koyukuk school district","30414","AK"
"4","0102370","mobile county board of school commissioners","30371","AL"
"5","0503630","brinkley school district no. b","1027233","AR"
"6","0509480","searcy county school district no. 17","30774","AR"
"7","0514040","west side school district no. 40","145868","AR"
"8","0408080","st. johns unified school district no.1","30515","AZ"
"9","0408550","toltec elementary school districe no. 22","171213","AZ"
"10","0601770","alameda unified school district","145874","CA"
"11","0602070","alpine county unified school district","67003","CA"
"12","0602100","alpine union school district","1036835","CA"
"13","0602630","anaheim union high school district","145892","CA"
"14","0604260","beardsley school district","31159","CA"
"15","0605190","bitterwater-tully union elementary school district","145945","CA"
"16","0605520","bolinas-stinson union elementary school district","145952","CA"
"17","0605790","brawley elementary school district","145958","CA"
"18","0605820","brawley union high school district","145959","CA"
"19","0607230","campbell union high school district","145988","CA"
"20","0607200","campbell union school district","145987","CA"
"21","0607970","central unified school district","146007","CA"
"22","0608010","central union high school district","146009","CA"
"23","0608550","chowchilla union high school district","146020","CA"
"24","0609450","columbia elementary school district","146039","CA"
"25","0609480","columbia union school district","146040","CA"
"26","0609810","corning union high school district","146047","CA"
"27","0610350","cutler orosi joint unified school district","108402","CA"
"28","0612210","e l segundo unified school district","44062","CA"
"29","0611820","eastside union school district","146097","CA"
"30","0691006","el dorado union high school district","146101","CA"
"31","0612090","el monte city school district","31210","CA"
"32","0612910","escondido union high school district","146116","CA"
"33","0613140","evergreen school district","146122","CA"
"34","0613170","evergreen union elementary school district","146123","CA"
"35","0613500","fallbrook union elementary school district","146128","CA"
"36","0613530","fallbrook union high school district","146129","CA"
"37","0601420","fortuna elementary school district","146145","CA"
"38","0614190","fortuna union high school district","146146","CA"
"39","0614400","fremont unified school district","146150","CA"
"40","0614430","fremont union high school district","146151","CA"
"41","0616560","happy valley elementary school district","146198","CA"
"42","0618810","jefferson elementary school district","67412","CA"
"43","0618930","jefferson union high school district","146238","CA"
"44","0619140","julian union school district","146241","CA"
