"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"0300000US1","New England Division","6039316","14715","5.1","0.2","3.7","0.1","6.7","0.2","6.4","0.2","9.2","0.2","14.6","0.3","12.1","0.2","17.9","0.3","10.1","0.2","14.1","0.2","82987","651","115625","810","39.3","(X)","(X)","(X)","(X)","(X)","3796086","24553","2.9","0.2","1.6","0.1","3.8","0.2","4.6","0.2","7.6","0.2","13.6","0.3","13.0","0.3","21.0","0.4","12.8","0.3","19.0","0.3","104939","849","140002","1019","(X)","(X)","41.1","(X)","(X)","(X)","2833385","22494","1.2","0.1","0.8","0.1","2.0","0.2","2.8","0.2","5.8","0.2","12.1","0.3","12.9","0.3","23.3","0.4","15.4","0.4","23.7","0.4","124322","982","161547","1204","(X)","(X)","(X)","(X)","(X)","(X)","2243230","24343","9.7","0.4","7.6","0.3","12.2","0.4","10.0","0.3","12.4","0.4","16.5","0.3","10.7","0.4","11.4","0.4","4.5","0.2","4.9","0.3","47138","684","69158","1043","(X)","(X)","(X)","(X)","34.9","(X)",
"0300000US2","Middle Atlantic Division","16379567","22421","6.2","0.1","4.0","0.1","7.1","0.1","7.0","0.1","10.1","0.1","15.4","0.2","12.3","0.1","16.6","0.2","8.9","0.1","12.4","0.1","75281","419","107907","538","42.1","(X)","(X)","(X)","(X)","(X)","10393633","37727","3.7","0.1","2.0","0.1","4.6","0.1","5.4","0.1","8.9","0.1","14.8","0.2","13.3","0.2","19.7","0.2","11.3","0.2","16.3","0.2","94424","518","128804","781","(X)","(X)","44.6","(X)","(X)","(X)","7482329","33365","1.5","0.1","1.0","0.1","2.8","0.1","3.7","0.1","6.9","0.2","13.4","0.2","13.5","0.2","22.3","0.3","13.8","0.2","20.9","0.2","113488","613","150735","971","(X)","(X)","(X)","(X)","(X)","(X)","5985934","34056","11.4","0.2","7.7","0.2","12.1","0.3","10.5","0.2","12.5","0.2","16.6","0.3","10.3","0.3","10.2","0.2","4.0","0.2","4.6","0.2","44098","473","66604","663","(X)","(X)","(X)","(X)","36.2","(X)",
"0300000US3","East North Central Division","19007025","26406","6.1","0.1","3.8","0.1","7.8","0.1","8.4","0.1","12.1","0.1","17.9","0.1","13.3","0.1","16.1","0.1","7.1","0.1","7.4","0.1","65554","272","89124","320","37.2","(X)","(X)","(X)","(X)","(X)","11903701","35342","3.6","0.1","1.9","0.1","4.6","0.1","6.1","0.1","10.4","0.1","17.8","0.2","15.3","0.2","20.6","0.2","9.5","0.1","10.3","0.1","83454","340","107671","388","(X)","(X)","38.9","(X)","(X)","(X)","8786267","37299","1.4","0.1","0.9","0.1","2.5","0.1","4.0","0.1","8.3","0.2","16.9","0.2","16.6","0.2","24.5","0.2","11.9","0.2","13.1","0.1","99050","463","124638","540","(X)","(X)","(X)","(X)","(X)","(X)","7103324","33590","11.4","0.2","7.4","0.2","13.7","0.2","12.7","0.2","15.6","0.2","17.8","0.2","9.3","0.2","7.6","0.2","2.4","0.1","2.2","0.1","39167","317","54423","467","(X)","(X)","(X)","(X)","33.2","(X)",
"0300000US4","West North Central Division","8674632","19532","5.2","0.1","3.8","0.1","7.5","0.1","8.2","0.1","12.2","0.2","18.1","0.2","13.8","0.2","16.5","0.2","7.4","0.1","7.3","0.1","67426","314","90719","527","34.8","(X)","(X)","(X)","(X)","(X)","5438373","24140","2.8","0.1","1.6","0.1","4.2","0.1","5.7","0.2","10.2","0.2","17.7","0.3","16.0","0.2","21.4","0.2","10.1","0.2","10.3","0.2","86637","533","110354","760","(X)","(X)","35.7","(X)","(X)","(X)","4226443","26191","1.1","0.1","0.8","0.1","2.5","0.1","3.7","0.2","8.1","0.2","16.8","0.3","17.2","0.3","24.9","0.3","12.3","0.3","12.6","0.3","99687","557","124772","915","(X)","(X)","(X)","(X)","(X)","(X)","3236259","22060","10.1","0.3","7.7","0.2","13.6","0.3","13.1","0.3","16.3","0.3","18.5","0.4","9.2","0.3","7.3","0.2","2.2","0.1","1.9","0.1","39700","360","53933","579","(X)","(X)","(X)","(X)","32.0","(X)",
"0300000US5","South Atlantic Division","25920577","41874","6.2","0.1","3.8","0.1","7.9","0.1","8.2","0.1","11.6","0.1","17.2","0.2","12.7","0.1","15.7","0.1","7.5","0.1","9.1","0.1","67025","241","94705","469","40.1","(X)","(X)","(X)","(X)","(X)","16770478","50256","3.8","0.1","2.0","0.1","5.3","0.1","6.7","0.1","10.5","0.1","17.0","0.2","14.1","0.1","18.8","0.2","9.5","0.1","12.0","0.1","82326","342","111518","570","(X)","(X)","41.7","(X)","(X)","(X)","12146096","51333","1.7","0.1","1.0","0.1","3.3","0.1","4.7","0.1","8.6","0.1","16.1","0.2","15.1","0.2","22.1","0.2","11.9","0.2","15.6","0.2","99118","495","130206","743","(X)","(X)","(X)","(X)","(X)","(X)","9150099","45844","11.5","0.2","7.3","0.2","13.1","0.2","11.6","0.2","14.3","0.2","17.4","0.3","9.6","0.2","8.9","0.2","3.1","0.1","3.2","0.1","41196","305","59486","543","(X)","(X)","(X)","(X)","35.7","(X)",
"0300000US6","East South Central Division","7653247","20344","7.6","0.1","5.2","0.1","9.7","0.2","9.5","0.2","13.2","0.2","17.7","0.3","12.5","0.2","13.6","0.2","5.6","0.2","5.4","0.1","55592","395","77676","533","39.7","(X)","(X)","(X)","(X)","(X)","4956579","27645","4.8","0.2","2.7","0.1","6.7","0.2","7.9","0.2","12.0","0.2","18.6","0.3","14.9","0.3","17.6","0.3","7.5","0.2","7.3","0.2","71122","492","93171","721","(X)","(X)","41.3","(X)","(X)","(X)","3557170","29833","1.8","0.1","1.3","0.1","4.0","0.2","5.8","0.2","10.1","0.3","18.7","0.4","17.2","0.4","21.8","0.3","9.8","0.3","9.6","0.3","86451","513","109810","937","(X)","(X)","(X)","(X)","(X)","(X)","2696668","26974","14.1","0.4","10.1","0.3","16.0","0.4","12.8","0.3","15.4","0.4","15.8","0.4","7.4","0.3","5.4","0.3","1.6","0.1","1.4","0.1","32208","304","45884","745","(X)","(X)","(X)","(X)","35.2","(X)",
"0300000US7","West South Central Division","15311813","24612","6.7","0.1","4.2","0.1","8.5","0.2","8.8","0.2","12.2","0.2","17.5","0.2","12.3","0.1","15.2","0.2","6.9","0.1","7.8","0.1","62814","405","88130","425","39.7","(X)","(X)","(X)","(X)","(X)","10288799","40397","4.4","0.1","2.6","0.1","6.1","0.2","7.5","0.2","11.3","0.2","17.4","0.3","13.6","0.2","18.2","0.2","8.8","0.2","10.1","0.2","76405","545","102620","574","(X)","(X)","41.9","(X)","(X)","(X)","7396134","43241","1.8","0.1","1.4","0.1","3.8","0.1","5.4","0.2","9.3","0.2","16.9","0.3","14.9","0.3","22.0","0.3","11.3","0.2","13.3","0.2","93787","643","121090","734","(X)","(X)","(X)","(X)","(X)","(X)","5023014","37641","12.6","0.3","7.9","0.2","14.0","0.3","12.1","0.3","14.5","0.3","17.1","0.3","8.7","0.3","7.9","0.2","2.6","0.2","2.5","0.1","37819","439","54414","609","(X)","(X)","(X)","(X)","33.7","(X)",
"0300000US8","Mountain Division","9643245","16378","5.7","0.1","3.3","0.1","6.8","0.1","7.7","0.1","11.6","0.2","17.7","0.2","13.4","0.2","17.2","0.2","7.9","0.2","8.7","0.1","70882","346","96257","576","37.5","(X)","(X)","(X)","(X)","(X)","6272331","25455","3.5","0.1","1.8","0.1","4.3","0.1","6.0","0.2","10.2","0.2","17.3","0.2","14.9","0.3","20.7","0.3","10.0","0.2","11.2","0.2","85325","597","111762","741","(X)","(X)","39.0","(X)","(X)","(X)","4726837","26480","1.7","0.1","1.1","0.1","2.8","0.1","4.4","0.2","8.3","0.2","16.5","0.3","15.7","0.3","23.6","0.3","12.0","0.3","13.9","0.3","99201","577","126744","937","(X)","(X)","(X)","(X)","(X)","(X)","3370914","25718","10.6","0.3","6.4","0.2","12.1","0.3","11.4","0.3","14.9","0.3","18.2","0.4","10.1","0.3","9.6","0.3","3.4","0.2","3.4","0.2","43928","544","62368","813","(X)","(X)","(X)","(X)","32.9","(X)",
"0300000US9","Pacific Division","18915308","22900","5.3","0.1","3.4","0.1","6.0","0.1","6.2","0.1","9.4","0.1","15.1","0.2","12.5","0.1","17.7","0.2","9.8","0.1","14.5","0.1","83332","427","117409","550","38.8","(X)","(X)","(X)","(X)","(X)","12645006","37086","3.4","0.1","1.7","0.1","4.5","0.1","5.3","0.1","8.6","0.1","14.7","0.2","13.0","0.1","19.7","0.2","11.4","0.1","17.7","0.2","97340","503","133304","628","(X)","(X)","40.9","(X)","(X)","(X)","9205423","37275","1.7","0.1","1.0","0.1","3.0","0.1","3.7","0.1","6.8","0.1","13.4","0.2","12.9","0.2","21.6","0.2","13.6","0.2","22.3","0.2","114958","659","154150","806","(X)","(X)","(X)","(X)","(X)","(X)","6270302","38547","10.1","0.2","7.1","0.2","10.0","0.2","9.0","0.2","11.7","0.2","16.1","0.3","11.0","0.2","12.6","0.3","5.6","0.2","6.8","0.2","52034","343","77736","670","(X)","(X)","(X)","(X)","32.4","(X)",
