"Table 215.30. Enrollment, poverty, and federal funds for the 120 largest school districts, by enrollment size in 2018: 2017-18 and fiscal year 2020",,,,,,,,,,,,,,,,,,,,,
Name of district,State,Rank order,"Enroll-ment, fall 2018","5- to 17-year-olds in poverty, 2018\1\","Poverty rate of 5- to 17-year-olds, 2018\1\","Revenues by source of funds, 2017-18",,,,"  Revenue from selected federal programs (in thousands), 2017-18",,,,,,"Federal Title I allocations (in thousands), 
federal fiscal year 2020\2\",,,,,
,,,,,,Total (in thousands),Federal (in thousands),Federal as a percent of total,Federal revenue per stu- dent\3\,Title I,School lunch,Individuals with Disabilities Education Act (IDEA),Eisen- hower math and science,Voca- tional educa- tion,Drug-free schools,Total,Basic Grants,Concen- tration Grants,Targeted Grants,Education Finance Incentive Grants,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,
New York City ,NY,1,"960,484","277,784",23.1,"$31,738,469","$1,475,819",4.6,"$1,511","$588,124","$492,426","$91,608",$0,"$10,006",$0,"$764,330","$245,883","$60,550","$244,100","$213,797",
Los Angeles Unified ,CA,2,"495,255","156,340",22.4,"10,200,836","1,083,978",10.6,"1,744","360,581","370,298","142,057","31,519","6,130",0,"408,808","116,213","28,728","125,684","138,184",
City of Chicago (SD 299) ,IL,3,"359,476","91,858",23.1,"6,511,721","728,804",11.2,"1,950","269,728","198,303","92,655","26,551","6,858","2,305","273,432","79,120","19,558","82,328","92,426",
Dade ,FL,4,"350,434","85,815",21.5,"3,817,967","484,090",12.7,"1,364","146,668","153,101","81,111","15,316","5,287",0,"153,119","48,751","12,051","50,354","41,963",
Clark County ,NV,5,"330,225","69,084",18.3,"3,508,225","301,545",8.6,916,"92,754","113,917","58,988","10,021","4,030",0,"119,870","39,672","9,807","40,058","30,334",
Broward ,FL,6,"270,978","49,360",16.5,"2,791,010","315,982",11.3,"1,162","79,342","89,511","59,650","5,444","3,047",0,"84,609","28,155","6,960","26,996","22,498",
Hillsborough ,FL,7,"220,252","42,242",18.0,"2,175,639","295,001",13.6,"1,359","63,141","89,965","44,490","6,733","2,415",0,"72,136","24,405","6,033","22,744","18,954",
Houston ISD ,TX,8,"209,772","77,464",30.7,"2,678,729","346,235",12.9,"1,617","102,989","115,159","37,882","11,257","2,644",0,"143,659","44,121","10,907","45,103","43,528",
Orange ,FL,9,"208,203","47,713",21.5,"2,501,267","237,625",9.5,"1,165","62,195","98,209","42,948","5,576","2,390",0,"81,026","27,078","6,694","25,775","21,480",
Palm Beach ,FL,10,"192,533","35,036",16.9,"2,354,794","213,825",9.1,"1,115","57,627","75,214","40,981",0,"1,709",0,"57,533","20,015","4,948","17,765","14,805",
Fairfax County ,VA,11,"187,797","13,005",6.6,"2,934,311","122,948",4.2,652,"24,319","37,836","38,547","3,052","1,301",0,"26,137","8,795","2,174","6,941","8,228",
"Hawaii Department of
   Education ",HI,12,"181,278","22,819",10.6,"3,272,180","270,487",8.3,"1,496","51,681","57,292","42,940",470,"3,598","2,173","21,226","8,641","1,709","5,404","5,472",
Gwinnett County ,GA,13,"179,758","21,636",11.7,"2,076,442","143,164",6.9,799,"38,123","65,992","29,109","2,900","1,137",0,"38,664","13,209","3,233","10,914","11,309",
Montgomery County ,MD,14,"162,680","14,622",8.2,"3,439,735","120,470",3.5,746,"25,736","38,285","31,338","3,849","1,251",0,"35,579","12,578","3,109","10,161","9,732",
