"","state","name","ncesID","acfrs_original_name"
"1","AK","Aleutian Region School District","0200010","aleutian region school district"
"2","AK","City of Saint Mary'S School District","0200680",NA
"3","AK","Delta-Greely School District","0200100",NA
"4","AK","Haines Borough School District","0200270","haines borough school district"
"5","AK","Matanuska Susitna Borough School District","0200510","Matanuska Susitna Borough School District"
"6","AK","Pelican City School District","0200630","pelican city school district"
"7","AK","Skagway City School District","0200690","skagway school district"
"8","AK","Tanana School District","0200715","tanana city school district"
"9","AK","Unalaska City School District","0200720","unalaska city school district"
"10","AK","Wrangell Public School District","0200810","wrangell city school district"
"11","AK","Yakutat School District","0200840","yakutat school district"
"12","AK","Yukon Koyukuk School District","0200862",NA
"13","AL","Cullman County On Education","0101020",NA
"14","AL","Geneva City Board of Education","0101640","Geneva City Board Of Education"
"15","AL","Thomasville City Schools","0103300","thomasville city school district"
"16","AR","Arkansas School For The Blind","0500035","ark. school for the blind"
"17","AR","Arkansas School For The Deaf","0500036","ark. school for the deaf"
"18","AR","Brinkley School District No. B","0503630",NA
"19","AR","Dhs-Divison of Youth Services","0500390","arkansas youth services school system"
"20","AR","Harmony Grove School District No.1","0507290","Harmony Grove School District No.1"
"21","AR","Mulberry/Pleasant View Bi-County School District","0510290",NA
"22","AR","Parkers Chapel School District","0511220","Parkers Chapel School District"
"23","AR","South Side School District (Van Buren)","0512570","South Side School District (Van Buren)"
"24","AR","West Side School District No. 40","0514040","West Side School District No. 40"
"25","AR","Westside Consolidated School District No.5","0514020","Westside Consolidated School District No.5"
"26","AZ","St. Johns Unified School District No.1","0408080","St. Johns Unified School District No.1"
"27","AZ","Toltec Elementary School Districe No. 22","0408550",NA
"28","AZ","Tuba City Unified School District No. 15","0408680","Tuba City Unified School District No. 15"
"29","CA","Alview-Dairyland Union Elementary School District","0602360","alview dairyland union elementary"
"30","CA","Ballico-Cressey Elementary School District","0603750","ballico cressey elem sch dist"
"31","CA","Beardsley School District","0604260","Beardsley School District"
"32","CA","Big Pine Unified School District","0604950","Big Pine Unified School District"
"33","CA","Bitterwater-Tully Union Elementary School District","0605190","Bitterwater-Tully Union Elementary School District"
"34","CA","Bolinas-Stinson Union Elementary School District","0605520","Bolinas-Stinson Union Elementary School District"
"35","CA","Buena Vista Elementary School District","0606420","buena vista ele sch dist"
"36","CA","Clay Joint Elementary School District","0608850","clay joint elem sch dist"
"37","CA","Cutler Orosi Joint Unified School District","0610350","Cutler Orosi Joint Unified School District"
"38","CA","Dehesa School District","0610710","dehesa elementary school district"
"39","CA","E L Segundo Unified School District","0612210","E L Segundo Unified School District"
"40","CA","El Dorado Union High School District","0691006","El Dorado Union High School District"
"41","CA","Flournoy Union Elementary School District","0613860","flournoy union elem sch dist"
"42","CA","Greenfield Union School District","0616050","Greenfield Union School District"
"43","CA","Happy Camp Union Elementary School District","0616530","happy camp union elem sch dist"
"44","CA","Hart Ransom Union Elementary","0616650","hart ransom union elementary school district"
"45","CA","Hughes-Elizabeth Lakes Union Elementary School District","0617880","hughes elizabeth lakes union sch dist"
"46","CA","Igo Ono Platina Union Elementary School District","0618160","igo-ono-plantina union elem school dist"
"47","CA","Jamul Dulzura Union Elementary","0618730","jamul-dulzura union school dist"
