"","state.abb","state.name","acfr_field","County","Place","School District","State","tot_state","County_pct","Place_pct","School District_pct","State_pct"
"1","AK","Alaska","state_NPL",261746594,269578003,876405894,2385726000,3793456491,6.9,7.11,23.1,62.89
"2","AK","Alaska","state_OPEB",0,0,0,0,0,NA,NA,NA,NA
"3","AK","Alaska","state_NPA",0,0,12583284,50916000,63499284,0,0,19.82,80.18
"4","AK","Alaska","state_total_liabilities",1568189994,1155254921,1690337429,12992621000,17406403344,9.01,6.64,9.71,74.64
"5","AL","Alabama","state_NPL",9193496391,2245496670,5355282000,3563587000,20357862061,45.16,11.03,26.31,17.5
"6","AL","Alabama","state_OPEB",5594578904,1194884875,3227326468,847193000,10863983247,51.5,11,29.71,7.8
"7","AL","Alabama","state_NPA",265102822,16432622,0,0,281535444,94.16,5.84,0,0
"8","AL","Alabama","state_total_liabilities",112734306221,12659286442,24481155727,15782655000,165657403390,68.05,7.64,14.78,9.53
"9","AR","Arkansas","state_NPL",107696371,809709028,2165452584,809251000,3892108983,2.77,20.8,55.64,20.79
"10","AR","Arkansas","state_OPEB",0,58345607,0,1556019000,1614364607,0,3.61,0,96.39
"11","AR","Arkansas","state_NPA",0,6531167,0,0,6531167,0,100,0,0
"12","AR","Arkansas","state_total_liabilities",47974245,2459294249,248090852,10589316000,13344675346,0.36,18.43,1.86,79.35
"13","AZ","Arizona","state_NPL",3002016618,9539497062,5888686493,4005498000,22435698173,13.38,42.52,26.25,17.85
"14","AZ","Arizona","state_OPEB",289250,1628468390,199273921,1158418000,2986449561,0.01,54.53,6.67,38.79
"15","AZ","Arizona","state_NPA",25158115,64907270,0,0,90065385,27.93,72.07,0,0
"16","AZ","Arizona","state_total_liabilities",7733569261,35418147283,14310319479,24785156000,82247192023,9.4,43.06,17.4,30.13
"17","CA","California","state_NPL",27285950153,30702294828,40058145856,54169128000,152215518837,17.93,20.17,26.32,35.59
"18","CA","California","state_OPEB",34999104600,8712622384,24564079111,94283183000,162558989095,21.53,5.36,15.11,58
"19","CA","California","state_NPA",3270743495,6990192405,673910,0,10261609810,31.87,68.12,0.01,0
"20","CA","California","state_total_liabilities",157247974296,149314520326,187725404424,498154488000,992442387046,15.84,15.05,18.92,50.19
"21","CO","Colorado","state_NPL",2213813370,218524656,8263389288,8410864000,19106591314,11.59,1.14,43.25,44.02
"22","CO","Colorado","state_OPEB",411851551,165582536,456095806,1567351000,2600880893,15.84,6.37,17.54,60.26
"23","CO","Colorado","state_NPA",239960715,336125990,7675521,0,583762226,41.11,57.58,1.31,0
"24","CO","Colorado","state_total_liabilities",18218229777,10791690737,28173067889,37103515000,94286503403,19.32,11.45,29.88,39.35
"25","CT","Connecticut","state_NPL",1,5926476583,16008455,36132877000,42075362039,0,14.09,0.04,85.88
"26","CT","Connecticut","state_OPEB",1,6723890408,44772427,20916477000,27685139836,0,24.29,0.16,75.55
"27","CT","Connecticut","state_NPA",1,147376730,1024184,0,148400915,0,99.31,0.69,0
"28","CT","Connecticut","state_total_liabilities",1,28994632409,333130758,97471207000,126798970168,0,22.87,0.26,76.87
"29","DC","District of Columbia","state_NPL",1,298308000,1,1,298308003,0,100,0,0
"30","DC","District of Columbia","state_OPEB",1,173193000,1,1,173193003,0,100,0,0
"31","DC","District of Columbia","state_NPA",1,262227000,1,1,262227003,0,100,0,0
"32","DC","District of Columbia","state_total_liabilities",1,20257809000,1,1,20257809003,0,100,0,0
"33","DE","Delaware","state_NPL",251798569,148687715,1,392347000,792833285,31.76,18.75,0,49.49
"34","DE","Delaware","state_OPEB",103290263,50176867,1,9319243000,9472710131,1.09,0.53,0,98.38
"35","DE","Delaware","state_NPA",43901432,71319899,1,1215401000,1330622332,3.3,5.36,0,91.34
"36","DE","Delaware","state_total_liabilities",1539806338,923622544,1,17470769000,19934197883,7.72,4.63,0,87.64
"37","FL","Florida","state_NPL",17262443906,10591554216,7664592217,3506978000,39025568339,44.23,27.14,19.64,8.99
"38","FL","Florida","state_OPEB",4011072905,4513884559,1684915344,7283350000,17493222808,22.93,25.8,9.63,41.64
"39","FL","Florida","state_NPA",10901967,691133265,0,0,702035232,1.55,98.45,0,0
"40","FL","Florida","state_total_liabilities",72921989526,48425849205,55703925992,61828638000,238880402723,30.53,20.27,23.32,25.88
"41","GA","Georgia","state_NPL",4158903375,1392610734,7061092892,3680849000,16293456001,25.52,8.55,43.34,22.59
"42","GA","Georgia","state_OPEB",3260059248,1456009604,10268667673,5284431000,20269167525,16.08,7.18,50.66,26.07
"43","GA","Georgia","state_NPA",17415222,47922997,0,236197000,301535219,5.78,15.89,0,78.33
"44","GA","Georgia","state_total_liabilities",19068925829,17951512159,61151644062,40723358000,138895440050,13.73,12.92,44.03,29.32
"45","HI","Hawaii","state_NPL",3638736561,1,0,6323283000,9962019562,36.53,0,0,63.47
"46","HI","Hawaii","state_OPEB",2069950036,1,0,5415988000,7485938037,27.65,0,0,72.35
"47","HI","Hawaii","state_NPA",0,1,0,0,1,0,100,0,0
"48","HI","Hawaii","state_total_liabilities",16213642200,1,603431402,28246474000,45063547603,35.98,0,1.34,62.68
"49","IA","Iowa","state_NPL",7229076,239945403,133454106,287823000,668451585,1.08,35.9,19.96,43.06
"50","IA","Iowa","state_OPEB",81613675,172611586,460567666,453731000,1168523927,6.98,14.77,39.41,38.83
"51","IA","Iowa","state_NPA",211116087,77913060,487370,128969000,418485517,50.45,18.62,0.12,30.82
"52","IA","Iowa","state_total_liabilities",1941241537,6297585316,6868809069,9689205000,24796840922,7.83,25.4,27.7,39.07
"53","ID","Idaho","state_NPL",415559157,459369961,5958045,23641000,904528163,45.94,50.79,0.66,2.61
"54","ID","Idaho","state_OPEB",3017222,12806764,91658611,108492000,215974597,1.4,5.93,42.44,50.23
"55","ID","Idaho","state_NPA",0,139565127,34968934,0,174534061,0,79.96,20.04,0
"56","ID","Idaho","state_total_liabilities",954159736,1589231091,1930436069,4430518000,8904344896,10.72,17.85,21.68,49.76
