"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","population","median_hh_income_21"
"1","NY","New York",82342,"3656660",2020,"patchogue","General Purpose",15116733,1912911,4032734,0,0,0,0,0,1396088,18026997,19131055,0,12396,NA
"2","VT","Vermont",130478,"5034975",2020,"hyde park","General Purpose",5930440,680580,283336,0,0,0,0,0,0,2778927,2848144,0,432,NA
"3","NY","New York",103158,"3657177",2020,"penn yan","General Purpose",17578243,797882,6353766,0,0,0,0,0,765800,12601124,15114510,0,5121,NA
"4","AR","Arkansas",96307,"0573370",2020,"washington","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,94,NA
"5","NY","New York",36068,"3656979",2020,"peekskill","General Purpose",271600791,3424323,22076585,0,177822425,0,0,0,1714001,60823156,62049160,0,25434,NA
"6","AR","Arkansas",149877,"0516240",2020,"crossett","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4828,NA
"7","AR","Arkansas",31656,"0505320",2020,"bentonville","General Purpose",113641245,18611336,50548958,2059793,7042564,0,0,0,2698229,161735033,202569728,0,54210,NA
"8","OK","Oklahoma",125861,"4035850",2020,"hominy","General Purpose",505107,240357,0,0,0,0,0,0,0,5310912,5639790,1851592,3328,NA
"9","AR","Arkansas",111002,"0512280",2020,"cave","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1926,NA
"10","AR","Arkansas",110968,"0566440",2020,"star city","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2171,NA
"11","AR","Arkansas",96059,"0513450",2020,"cherokee","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4783,NA
"12","AR","Arkansas",103911,"0522240",2020,"eureka springs","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2165,NA
"13","OK","Oklahoma",125963,"4036000",2020,"hooker","General Purpose",396294,248543,0,0,0,0,0,0,0,2368048,2374758,0,1803,NA
"14","KY","Kentucky",115913,"2144686",2020,"leitchfield","General Purpose",20679991,821341,8353815,0,2127620,0,0,0,101893,9551908,9357904,0,6404,NA
"15","NY","New York",122462,"3659223",2020,"port chester","General Purpose",197949107,4327776,19777786,0,114183154,0,0,0,6022632,52027968,45968274,-125494258,31750,NA
