"","state.abb","state.name","id","geo_id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","population","median_hh_income_21"
"1","NY","New York",36068,"3656979",2020,"peekskill",271600791,3424323,22076585,0,177822425,0,0,0,1714001,60823156,62049160,25434,NA
"2","OK","Oklahoma",125861,"4035850",2020,"hominy",505107,240357,0,0,0,0,0,0,0,5310912,5639790,3328,NA
"3","AR","Arkansas",31656,"0505320",2020,"bentonville",113641245,18611336,50548958,2059793,7042564,0,0,0,2698229,161735033,202569728,54210,NA
"4","OK","Oklahoma",125963,"4036000",2020,"hooker",396294,248543,0,0,0,0,0,0,0,2368048,2374758,1803,NA
"5","KY","Kentucky",115913,"2144686",2020,"leitchfield",20679991,821341,8353815,0,2127620,0,0,0,101893,9551908,9357904,6404,NA
"6","NY","New York",36037,"3663000",2020,"rochester",2283161000,192893000,254732000,0,1477364000,0,1501004000,0,0,834480000,717737000,211321,41980
"7","NY","New York",44936,"3663418",2020,"rome",223279763,9960628,25966297,0,107209250,0,0,0,550778,64247616,60334501,32113,NA
"8","AR","Arkansas",59595,"0505560",2020,"berryville",0,0,0,0,0,0,0,0,0,0,0,5680,NA
"9","OK","Oklahoma",37335,"4036300",2020,"hugo",16774344,974976,1992032,0,0,0,0,0,100075,7868524,14319614,5162,NA
"10","WV","West Virginia",89611,"5426452",2020,"fairmont",121871094,1944264,80582346,0,2201795,0,0,0,1909862,28170353,28708381,18417,NA
"11","KY","Kentucky",96873,"2149368",2020,"madisonville",83273457,4856753,55277494,0,12996013,0,0,0,533947,67188733,64839752,19548,NA
"12","AR","Arkansas",196352,"0507330",2020,"blytheville",1170307,1170307,4793645,0,0,0,0,0,719487,19248870,16759131,13408,NA
"13","OK","Oklahoma",125763,"4036750",2020,"idabel",229634,229634,0,0,0,0,0,0,0,10465937,9804005,6967,NA
"14","KY","Kentucky",33601,"2151024",2020,"maysville",42573329,1726162,21557661,0,5287788,0,0,0,0,22599109,20445553,8871,NA
"15","AR","Arkansas",149866,"0509790",2020,"bull shoals",4733579,853813,0,0,0,0,0,0,0,1048672,5523742,1954,NA
"16","AR","Arkansas",103909,"0510300",2020,"cabot",0,0,0,0,0,0,0,0,0,0,0,26571,NA
"17","OK","Oklahoma",125584,"4037650",2020,"jay",3060648,237763,0,0,0,0,0,0,0,4418234,5595102,2422,NA
"18","NY","New York",1035912,"3659388",2020,"port jervis",79204194,3777262,7408043,0,50779062,0,0,0,1853850,23399844,22387791,8767,NA
"19","AR","Arkansas",110980,"0510720",2020,"camden",163251,163251,3695754,0,0,0,0,0,0,10241151,11142897,10618,NA
"20","OK","Oklahoma",125977,"4037800",2020,"jenks",59925680,3267341,3905090,24727,198133,0,0,0,533833,36083585,40942510,25944,NA
"21","KY","Kentucky",93321,"2155884",2020,"newport",68533389,3028477,34962511,0,8747120,0,0,0,1455364,26257606,25081413,14161,NA
"22","KY","Kentucky",116038,"2156136",2020,"nicholasville",90985513,5949125,42911993,0,11070498,0,0,0,821861,53006106,54321444,31104,NA
"23","AR","Arkansas",96056,"0512340",2020,"cave springs",0,0,0,0,0,0,0,0,0,3154838,11264563,5491,NA
"24","NY","New York",1035913,"3665255",2020,"saratoga springs",274497641,5782266,29845366,0,136580430,0,0,0,4488436,68745051,60649663,28488,NA
"25","AR","Arkansas",110995,"0509460",2020,"bryant",69267180,1097083,16284980,0,1108155,0,0,0,0,34763963,31363962,20665,NA
"26","OK","Oklahoma",37336,"4041850",2020,"lawton",220378461,9202025,67593810,216068,13968037,0,0,0,6877021,114466217,129654076,90387,44751
"27","KY","Kentucky",196801,"2158836",2020,"paducah",137516114,4335871,67724130,0,16717331,0,0,0,2268559,59428395,55244874,27119,NA
"28","NE","Nebraska",57490,"3103285",2020,"bayard",4203744,317368,0,0,0,0,0,0,2271,2671523,2847152,1133,NA
"29","AR","Arkansas",110972,"0511500",2020,"carlisle",139324,139324,0,0,0,0,0,0,54420,2671413,2815537,2037,NA
"30","KY","Kentucky",115850,"2154228",2020,"mount washington",40428514,1872193,11230047,0,2856866,0,0,0,214812,20222085,18493334,18098,NA
"31","GA","Georgia",59701,"1335716",2020,"grovetown",24001646,1836712,1269740,0,0,0,0,0,210220,6946151,7016477,15573,NA
"32","GA","Georgia",111378,"1335884",2020,"guyton",9568515,328683,0,101473,0,0,0,0,14817,2627928,3268895,2285,NA
"33","KY","Kentucky",116156,"2170050",2020,"shelbyville",27270993,1123401,15093914,0,3922184,0,0,0,934785,12931943,13389299,17286,NA
"34","OK","Oklahoma",125899,"4040300",2020,"krebs",462122,89491,0,0,0,0,0,0,0,2950129,3066941,2067,NA
"35","KY","Kentucky",115975,"2170284",2020,"shively",27778208,387463,27390745,0,0,0,0,0,0,17286745,12020737,15641,NA
