"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","bonds_outstanding","loans_outstanding","notes_outstanding","population","urban_pop","pct_urban_pop","median_hh_income_21","url"
"1","TX","Texas",1266312,"48255",2020,"karnes county","General Purpose",3781607,2259569,1249212,0,184866,0,0,0,87960,27646589,34342052,0,0,0,0,14707,0,0,48470,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/Karnes%20County/TX%20Karnes%20County%202020.pdf"
"2","WA","Washington",43337,"53005",2020,"benton county","General Purpose",37174091,11154446,11098503,0,5844970,0,0,0,3142060,115963426,141059446,0,0,790993,0,206875,181751,0.878563176441585,77339,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WA/Benton%20County/WA%20Benton%20County%202020.pdf"
"3","WY","Wyoming",132351,"56027",2020,"niobrara county","General Purpose",142702,97555,0,0,0,0,0,0,31095,4875878,5134199,0,0,0,0,2469,0,0,50733,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WY/Niobrara%20County/WY%20Niobrara%20County%202020.pdf"
"4","MN","Minnesota",106073,"27033",2020,"cottonwood county","General Purpose",8435846,818175,3598254,0,314617,0,0,0,745886,19783138,24724049,0,0,1421951,0,11506,0,0,58801,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MN/Cottonwood%20County/MN%20Cottonwood%20County%202020.pdf"
"5","MO","Missouri",46193,"29113",2020,"lincoln county","General Purpose",0,0,0,0,0,0,0,0,0,29020658,30224698,0,798479,0,0,59577,16669,0.279803269882835,76182,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MO/Lincoln%20County/MO%20Lincoln%20County%202020.pdf"
"6","WI","Wisconsin",1266711,"55135",2020,"waupaca county","General Purpose",38255216,5876509,0,4764476,0,0,0,0,2453482,68662263,73026069,16707626,22050225,0,7875000,51811,18838,0.363583725777812,63216,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WI/Waupaca%20County/WI%20Waupaca%20County%202020.pdf"
"7","IL","Illinois",1266714,"17055",2020,"franklin county","General Purpose",23237006,2328989,0,1785506,0,0,0,0,1452159,17202532,23300825,0,18813090,0,642768,37798,15426,0.408052057983282,49510,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IL/Franklin%20County/IL%20Franklin%20County%202020.pdf"
"8","LA","Louisiana",1266773,"22105",2020,"tangipahoa parish","General Purpose",29416817,5806935,663118,0,3474300,0,0,0,0,58199306,65462639,-14215987,13070440,0,0,133149,71922,0.540129321027058,51596,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/LA/Tangipahoa%20Parish/LA%20Tangipahoa%20Parish%202020.pdf"
"9","TX","Texas",1266604,"48239",2020,"jackson county","General Purpose",3406402,524643,544929,0,2144972,0,0,0,156948,14164469,16000117,4480738,0,0,0,14987,5910,0.39431545236189,60666,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/Jackson%20County/TX%20Jackson%20County%202020.pdf"
"10","IL","Illinois",1266615,"17159",2020,"richland county","General Purpose",262,262,325736,21525717,0,0,0,0,0,7236124,7443606,0,0,0,0,15800,8642,0.546512363245431,56852,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IL/Richland%20County/IL%20Richland%20County%202020.pdf"
