"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","bonds_outstanding","loans_outstanding","notes_outstanding","population","urban_pop","pct_urban_pop","median_hh_income_21","url"
"1","MS","Mississippi",119258,"28011",2023,"bolivar county","General Purpose",49123243,8051805,32592087,NA,NA,NA,121565429,45084496,NA,36101897,32327912,-19497355,NA,NA,NA,30973,14346,0.462998224947555,35599,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MS/Bolivar%20County/MS%20Bolivar%20County%202023.pdf"
"2","MS","Mississippi",44827,"28033",2023,"desoto county","General Purpose",215731961,45122993,124750547,NA,NA,NA,544360163,343059902,NA,113440402,122873782,-7397463,NA,NA,NA,185317,144728,0.780987944785607,72890,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MS/Desoto%20County/MS%20Desoto%20County%202023.pdf"
"3","KY","Kentucky",115750,"21075",2023,"fulton county","General Purpose",4410500,1273000,NA,NA,NA,NA,NA,NA,NA,11192855,14141619,NA,NA,NA,NA,6515,2333,0.358096699923254,35630,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/KY/Fulton%20County/KY%20Fulton%20County%202023.pdf"
"4","MS","Mississippi",106149,"28085",2023,"lincoln county","General Purpose",45372435,7265262,20894208,NA,NA,NA,136606991,48721766,NA,28830429,30064685,-11216278,NA,NA,NA,34906,10152,0.290829919500387,45609,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MS/Lincoln%20County/MS%20Lincoln%20County%202023.pdf"
"5","MS","Mississippi",119284,"28093",2023,"marshall county","General Purpose",80414252,8823616,34754849,NA,NA,NA,179235446,67837680,NA,38184652,38175847,-23095415,NA,NA,NA,33755,5559,0.16470135103105,40650,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MS/Marshall%20County/MS%20Marshall%20County%202023.pdf"
"6","MS","Mississippi",119286,"28101",2023,"newton county","General Purpose",NA,NA,NA,NA,NA,NA,10114038,10114038,NA,NA,4904162,2373526,NA,NA,NA,21293,0,0,45278,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MS/Newton%20County/MS%20Newton%20County%202023.pdf"
"7","MS","Mississippi",1266237,"28127",2023,"simpson county","General Purpose",40344896,1607556,20970668,NA,NA,NA,93413065,29266635,NA,26091397,23891802,-10887746,NA,NA,NA,25950,0,0,43757,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MS/Simpson%20County/MS%20Simpson%20County%202023.pdf"
"8","MS","Mississippi",49080,"28131",2023,"stone county","General Purpose",NA,NA,NA,NA,NA,NA,6192306,6192306,NA,NA,9123067,500053,NA,NA,NA,18336,0,0,51353,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MS/Stone%20County/MS%20Stone%20County%202023.pdf"
"9","MS","Mississippi",81581,"28133",2023,"sunflower county","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,25973,9341,0.359670401601787,34017,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MS/Sunflower%20County/MS%20Sunflower%20County%202023.pdf"
"10","OH","Ohio",36872,"39031",2023,"coshocton county","General Purpose",86272783,21398103,34638861,NA,712585,47901,135576032,83472365,NA,50553243,50553243,-2353727,NA,NA,NA,36602,12334,0.33688408172184,50135,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OH/Coshocton%20County/OH%20Coshocton%20County%202023.pdf"
"11","OH","Ohio",44783,"39067",2023,"harrison county","General Purpose",NA,NA,NA,NA,NA,NA,49660612,NA,NA,NA,25702741,9841291,NA,NA,NA,14482,0,0,50691,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OH/Harrison%20County/OH%20Harrison%20County%202023.pdf"
"12","PA","Pennsylvania",37722,"42095",2023,"northampton county","General Purpose",278585664,87157983,62029675,NA,40100432,NA,422003235,215869359,7551730,434627641,440057880,15758582,80369988,NA,NA,312955,260194,0.831420893366693,78768,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/PA/Northampton%20County/PA%20Northampton%20County%202023.pdf"
"13","WA","Washington",44851,"53047",2023,"okanogan county","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,42098,8165,0.193924567737032,55233,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WA/Okanogan%20County/WA%20Okanogan%20County%202023.pdf"
"14","WA","Washington",45279,"53051",2023,"pend oreille county","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,13404,0,0,55060,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WA/Pend%20Oreille%20County/WA%20Pend%20Oreille%20County%202023.pdf"
"15","WA","Washington",45165,"53055",2023,"san juan county","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,17789,3542,0.199123004272543,71678,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WA/San%20Juan%20County/WA%20San%20Juan%20County%202023.pdf"
"16","ID","Idaho",32677,"16043",2023,"fremont county","General Purpose",17111080,15796833,9462158,NA,NA,NA,71654156,39646328,NA,31678495,34011522,13572922,NA,0,NA,13383,0,0,58878,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/ID/Fremont%20County/ID%20Fremont%20County%202023.pdf"
"17","TX","Texas",88333,"48259",2023,"kendall county","General Purpose",56844690,13995972,3687785,NA,NA,NA,135007188,67697259,NA,42809543,55592925,25077505,45198330,NA,NA,44281,19127,0.431965491542266,102832,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/Kendall%20County/TX%20Kendall%20County%202023.pdf"
"18","KY","Kentucky",224748,"21179",2023,"nelson county","General Purpose",0,0,NA,NA,NA,NA,NA,NA,NA,34620119,34982055,NA,NA,NA,NA,46737,17682,0.378321708245967,62036,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/KY/Nelson%20County/KY%20Nelson%20County%202023.pdf"
"19","NC","North Carolina",96333,"37103",2023,"jones county","General Purpose",28654111,3288786,4445250,9330,0,0,91481230,23438062,40099,21577487,27074560,47855020,0,11601868,0,9173,0,0,47616,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NC/Jones%20County/NC%20Jones%20County%202023.pdf"
"20","NH","New Hampshire",121283,"33003",2023,"carroll county","General Purpose",46281941,11023236,18464650,NA,1917202,NA,51701899,22497317,760413,36525075,42490899,-5956647,12381796,NA,NA,50098,5272,0.105214840241882,66874,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NH/Carroll%20County/NH%20Carroll%20County%202023.pdf"
"21","KY","Kentucky",115778,"21149",2023,"mclean county","General Purpose",1733073,237375,NA,NA,NA,NA,NA,NA,NA,10284092,8776733,NA,924207,NA,48866,9152,0,0,53102,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/KY/Mclean%20County/KY%20Mclean%20County%202023.pdf"
"22","KY","Kentucky",115793,"21181",2023,"nicholas county","General Purpose",11397463,620312,NA,NA,NA,NA,NA,NA,NA,6689346,5962271,NA,11075000,NA,NA,7532,0,0,46547,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/KY/Nicholas%20County/KY%20Nicholas%20County%202023.pdf"
"23","KY","Kentucky",115799,"21201",2023,"robertson county","General Purpose",1740000,145000,NA,NA,NA,NA,NA,NA,NA,2550446,2847564,NA,1740000,NA,NA,2192,0,0,51177,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/KY/Robertson%20County/KY%20Robertson%20County%202023.pdf"
"24","NM","New Mexico",121929,"35007",2023,"colfax county","General Purpose",22708043,3481650,6861136,NA,1563743,NA,51042612,16131988,495434,21437029,18164320,-7837497,4425000,6648356,NA,12385,5629,0.454428029385646,42787,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NM/Colfax%20County/NM%20Colfax%20County%202023.pdf"
"25","TN","Tennessee",197447,"47063",2023,"hamblen county","General Purpose",174328030,40210125,0,870430,323451,0,222834297,136014313,0,37706919,45454183,-15802675,132267767,6250541,0,64500,49883,0.773391835532334,48483,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TN/Hamblen%20County/TN%20Hamblen%20County%202023.pdf"
