"","state","id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues"
"1","CA","146712",2020,"Tracy Unified School District",363493650,20979710,165060886,0,18215398,0,0,0,12127,202235881,200200716
"2","TX","39092",2020,"Van Vleck Independent School District",89622141,6897441,3494304,0,4160187,0,0,0,0,18903952,18297852
"3","TX","39091",2020,"Tidehaven Independent School District",48484446,756161,2456014,0,3304413,0,0,0,0,18914807,19896790
"4","IL","32898",2020,"Dolton School District No. 149",50492195,2472726,5911526,0,23627126,0,0,0,55817,57717614,58167199
"5","NE","190378",2020,"Sumner-Eddyville-Miller Public Schools District No. 101",0,0,0,0,0,0,0,0,0,8539521,7777085
"6","NH","35587",2020,"Concord School District",151200638,2739346,63147686,0,24920390,0,0,0,3775292,90500252,90419099
"7","OR","1266628",2020,"Corbett School District No. 39",20065401,1126192,13575346,0,312712,0,0,0,0,15672062,14574065
"8","IN","52823",2020,"Hamilton Heights School Corporation",0,0,0,0,0,0,0,0,0,54106761,43484047
"9","OK","1239823",2020,"Healdton School District No. 1-055",1835513,212267,0,0,0,0,0,0,0,5469276,5073439
"10","VA","1265772",2020,"School Board of the City of Roanoke",189076041,15428772,132418190,1207418,20284000,16443,0,0,2427014,208381291,214342627
"11","OR","1266749",2020,"Gaston School District",21005564,512380,4405641,0,269245,0,0,0,25064,8829629,8166891
"12","FL","148148",2020,"Pasco County District School Board",1220077040,66761812,397711685,220109,98611974,0,1680238811,0,39145831,801681147,823883566
"13","OK","46042",2020,"Tri-County Interlocal Co-Op, School District K001",213257,213257,0,0,0,0,0,0,0,2026514,2069318
"14","IL","150822",2020,"Lockport Township High School District No. 205",18476568,35107,5482742,0,3199982,0,0,0,153737,73186506,82206552
"15","FL","148130",2020,"Manatee County District School Board",651729633,49829053,278088728,0,11302048,0,1196146727,0,34677143,638104506,618558687
"16","OK","57760",2020,"Glenpool School District No. 1-13",25819869,1702169,0,0,0,0,0,0,0,24221015,25097182
"17","OK","147171",2020,"Henryetta School District No. 1-2",0,0,0,0,0,0,0,0,0,12413644,12254556
"18","OK","37475",2020,"McLoud School District No. 1-001",9625737,1498737,0,0,0,0,0,0,0,13926155,13984768
"19","MT","35409",2020,"St. Ignatius School District No. 28",12560844,60992,4806436,0,456108,0,0,0,294422,7541460,7900091
"20","TX","38934",2020,"Bonham Independent School District",56080859,2890069,6873759,0,8890553,0,0,0,0,28161987,29154466
"21","TX","39028",2020,"Granbury Independent School District",166052423,6708047,19723545,0,23685753,0,0,0,0,90545836,91550114
"22","PA","153402",2020,"Central Susquehanna Intermediate Unit No. 16",119048613,16107251,96287139,0,4618228,0,0,0,2035995,71371743,73429979
"23","MI","34650",2020,"Bangor Public Schools",42578377,2992087,22966087,0,4919966,0,0,0,154641,15094189,14381323
"24","KS","33553",2020,"Wichita Public Schools Unified School District No. 259",1076352124,33384709,483304919,0,44383115,0,0,0,11479000,649834377,732000392
"25","MI","34471",2020,"Kalkaska Public Schools",47330629,1842845,27830408,0,6095037,0,0,0,0,22465592,19835074
"26","MN","34832",2020,"Independent School District No. 206",201500554,8778444,32336898,0,8906801,0,0,0,147480,66486078,65060224
"27","MT","42164",2020,"Browning Public Schools",32877586,2293044,24767546,0,0,0,0,0,877034,37182437,41578609
"28","KS","33557",2020,"Topeka Public Schools Unified School District No. 501",470341989,22643007,149484824,0,35217219,0,0,0,2666170,188871331,198406601
"29","MI","34575",2020,"Clawson Public Schools",63639971,2830212,34687747,0,7350242,0,0,0,232690,23332510,23751536
"30","MD","33968",2020,"The Board of Education of Montgomery County",3663139490,261611378,554333453,0,2616173765,0,3671879459,0,156444841,3093834900,3195067624
"31","MI","34486",2020,"Kelloggsville Public Schools",115289744,4219616,50348019,0,11146431,0,0,0,548822,36728670,32819158
"32","MI","34590",2020,"Madison District Public Schools",61651894,1758291,32146446,0,6978608,0,0,0,276806,20564184,17910987
"33","MI","47855",2020,"Portland Public Schools",82467851,5138861,32804510,0,7010903,0,0,0,528949,25874028,25056932
"34","MN","34921",2020,"Independent School District No. 840",40093685,2638323,7886120,0,1721865,0,0,0,55870,17288243,16953600
"35","MI","34410",2020,"Fenton Area Public Schools",109447809,4548053,65017094,0,13908319,0,0,0,499835,43407599,44010188
"36","MI","34481",2020,"Comstock Park Public Schools",99997232,2502589,36641162,0,7851888,0,0,0,408293,26634260,27614325
"37","MN","34920",2020,"Independent School District No. 834",190442924,14685468,62365913,0,11952458,0,0,0,519245,129995493,134674623
"38","NE","109108",2020,"Exeter School District No. 30-0001",0,0,1003550,0,0,0,0,0,0,5272340,5334017
"39","NE","109092",2020,"Douglas County School District No. 10",0,0,0,0,0,0,0,0,0,322406095,287888180
"40","NE","108906",2020,"Central City Public Schools",0,0,2932509,0,0,0,0,0,0,19574138,12959570
"41","NE","108730",2020,"School District No.19-0058 of Clarkson",0,0,1051145,0,0,0,0,0,0,4572789,4321134
"42","NE","108709",2020,"Shelton School District No. 19",0,0,1246704,0,0,0,0,0,0,5021435,4935924
"43","NE","108713",2020,"St. Edward School District No. 6-0017",0,0,892711,0,0,0,0,0,0,3591379,3270299
"44","NE","109612",2020,"Shickley Public Schools",0,0,0,0,0,0,0,0,0,3961223,3962420
"45","OK","37473",2020,"Latta Public Schools",22074164,950714,0,0,0,0,0,0,0,9266887,10270364
"46","OK","147089",2020,"Fort Cobb-Broxton School District No. 1-167",3011206,321915,0,0,0,0,0,0,0,4192043,4297356
"47","OK","147094",2020,"Fox School District No. 1-74",1312837,224985,0,0,0,0,0,0,0,3235793,3021853
"48","OK","147126",2020,"Graham - Dustin School District No. 54",513629,215654,0,0,0,0,0,0,0,2173859,2324632
"49","NE","108890",2020,"Bridgeport Public Schools",0,0,0,0,0,0,0,0,0,11388272,11580160
"50","NE","108954",2020,"Doniphan-Trumbull Public Schools District No. 40-0126",0,0,0,0,0,0,0,0,0,7723205,8489682
"51","NE","46509",2020,"Ogallala Public School District No. 51-0001",14860000,0,3242604,0,0,0,0,0,0,13517330,14937456
"52","FL","148083",2020,"Clay County District School Board",292132510,16946946,198107478,0,5154782,0,0,0,24875788,382221628,369789819
"53","MS","35035",2020,"Lafayette County School District",76651461,0,43683684,0,2843555,0,0,0,346133,32236211,30169827
"54","MS","34991",2020,"Okolona Municipal Separate School District",12344480,141593,9399039,0,692072,0,0,0,27724,7052985,6970556
"55","MO","35207",2020,"Campbell Reorganized School District No. 2",0,0,0,0,0,0,0,0,102878,5958528,5580548
"56","PA","38157",2020,"Charleroi Area School District",72725628,5602537,34439000,0,5619155,0,0,0,249481,25329397,26691446
"57","PA","37828",2020,"Northgate School District",46442585,2281384,34572000,0,7986689,0,0,0,20263,26662925,24719661
"58","FL","102317",2020,"Charlotte District School Board County",169982176,6471531,85125960,0,2619541,0,0,0,10085834,199109927,1774566740
"59","IA","163004",2020,"Hubbard-Radcliffe Community School District",10789231,1511472,2185209,0,678034,0,0,0,42221,7682113,9234956
"60","IA","163005",2020,"Hudson Community School District",10721967,1351824,3916872,0,519070,0,0,0,0,11501687,10708971
"61","NY","190601",2020,"Mcgraw Central School District",31853672,2886093,958185,673868,17554739,0,0,0,409221,14173352,13575943
"62","IA","163002",2020,"Hinton Community School District",11443007,1031445,4033453,0,345015,0,0,0,6750,10509033,10939493
"63","IA","163018",2020,"Iowa Education Benefits Program",290550,290550,0,0,0,0,0,0,0,12021820,12130885
