"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","bonds_outstanding","loans_outstanding","notes_outstanding","population","urban_pop","pct_urban_pop","median_hh_income_21","url"
"1","NY","New York",42220,"36000",2020,"new york","General Purpose",188872000000,42103000000,4237000000,15000000,66006000000,1000000,177327000000,0,1358000000,191143000000,189989000000,0,2266000000,1832000000,0,20201230,17665166,87.4459099038876,74230,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NY/State%20of%20New%20York/NY%20State%20of%20New%20York%202020.pdf"
"2","AR","Arkansas",49082,"05000",2020,"arkansas","General Purpose",13143393000,2375534000,2300436000,0,2914449000,0,30382630000,0,290683000,24808284000,25838329000,0,3479695000,0,164779000,3011555,1670677,55.476131022034,52577,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AR/State%20of%20Arkansas/AR%20State%20of%20Arkansas%202020.pdf"
"3","AZ","Arizona",40623,"04000",2020,"arizona","General Purpose",24362565000,6148699000,5470494000,0,1281292000,36036000,55087793000,0,463129000,47285392000,48198360000,0,6207355000,0,217762000,7151507,6385230,89.2851599566077,68967,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/State%20of%20Arizona/AZ%20State%20of%20Arizona%202020.pdf"
"4","OK","Oklahoma",37320,"40000",2020,"oklahoma","General Purpose",7276923000,4097748000,321161000,38433000,150663000,29752000,29968762000,0,177538000,22793625000,23510595000,0,2265388000,0,59360000,3959346,2558611,64.6219470706451,55829,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OK/State%20of%20Oklahoma/OK%20State%20of%20Oklahoma%202020.pdf"
"5","LA","Louisiana",90240,"22000",2020,"louisiana","General Purpose",31993734000,6912535000,6614130000,0,5780776000,0,35590888000,0,233104000,35858161000,36341565000,-15151177000,8419548000,0,31897000,4657749,3332237,71.5416669439818,52090,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/LA/State%20of%20Louisiana/LA%20State%20of%20Louisiana%202020.pdf"
"6","CA","California",31665,"06000",2020,"california","General Purpose",408305319000,103649199000,92089623000,0,90486960000,0,340835100000,163031521000,4401397000,386953774000,386615995000,-228917134000,109854424000,2417879000,2163863000,39538245,37259490,94.2366327389068,84831,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/State%20of%20California/CA%20State%20of%20California%202020.pdf"
"7","MA","Massachusetts",149462,"25000",2020,"massachusetts","General Purpose",113588290000,5526424000,41643152000,0,17486660000,0,36509273000,0,906461000,80602774000,76583475000,0,41939680000,0,500000000,7029949,6416895,91.2798116962121,89577,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MA/Commonwealth%20of%20Massachusetts/MA%20Commonwealth%20of%20Massachusetts%202020.pdf"
"8","AK","Alaska",31574,"02000",2020,"alaska","General Purpose",14129014000,5911223000,4675738000,18712000,106537000,118886000,89104922000,0,185848000,10237800000,9104519000,0,668042000,672105000,6563000,733378,475967,64.899487449396,78437,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AK/State%20of%20Alaska/AK%20State%20of%20Alaska%202020.pdf"
"9","AL","Alabama",31550,"01000",2020,"alabama","General Purpose",13679635000,2722165000,3664524000,0,1698962000,0,37412554000,0,330270000,28857713000,30108701000,0,4941832000,78034000,0,5024356,2900880,57.7372395123758,53990,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AL/State%20of%20Alabama/AL%20State%20of%20Alabama%202020.pdf"
"10","VT","Vermont",39343,"50000",2020,"vermont","General Purpose",7263223731,1806660294,2387778363,0,2237128790,0,6660063394,0,42012068,7420747690,7162262953,-3992919322,675146062,0,0,643085,225850,35.1202111100226,72415,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/VT/State%20of%20Vermont/VT%20State%20of%20Vermont%202020.pdf"
