"","state.abb","state.name","id","geo_id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","population","urban_pop","pct_urban_pop","median_hh_income_21"
"1","NY","New York",42220,"36000",2020,"new york",188872000000,42103000000,4237000000,15000000,66006000000,1000000,177327000000,0,1358000000,191143000000,189989000000,20201230,17665166,87.4459099038876,74230
"2","AR","Arkansas",49082,"05000",2020,"arkansas",13143393000,2375534000,2300436000,0,2914449000,0,30382630000,0,290683000,24808284000,25838329000,3011555,1670677,55.476131022034,52577
"3","AZ","Arizona",40623,"04000",2020,"arizona",24362565000,6148699000,5470494000,0,1281292000,36036000,55087793000,0,463129000,47285392000,48198360000,7151507,6385230,89.2851599566077,68967
"4","OK","Oklahoma",37320,"40000",2020,"oklahoma",7276923000,4097748000,321161000,38433000,150663000,29752000,29968762000,0,177538000,22793625000,23510595000,3959346,2558611,64.6219470706451,55829
"5","LA","Louisiana",90240,"22000",2020,"louisiana",31993734000,6912535000,6614130000,0,5780776000,0,35590888000,0,233104000,35858161000,36341565000,4657749,3332237,71.5416669439818,52090
"6","CA","California",31665,"06000",2020,"california",408305319000,103649199000,92089623000,0,90486960000,0,340835100000,163031521000,4401397000,386953774000,386615995000,39538245,37259490,94.2366327389068,84831
"7","MA","Massachusetts",149462,"25000",2020,"massachusetts",113588290000,5526424000,41643152000,0,17486660000,0,36509273000,0,906461000,80602774000,76583475000,7029949,6416895,91.2798116962121,89577
"8","AK","Alaska",31574,"02000",2020,"alaska",14129014000,5911223000,4675738000,18712000,106537000,118886000,89104922000,0,185848000,10237800000,9104519000,733378,475967,64.899487449396,78437
"9","AL","Alabama",31550,"01000",2020,"alabama",13679635000,2722165000,3664524000,0,1698962000,0,37412554000,0,330270000,28857713000,30108701000,5024356,2900880,57.7372395123758,53990
"10","VT","Vermont",39343,"50000",2020,"vermont",7263223731,1806660294,2387778363,0,2237128790,0,6660063394,0,42012068,7420747690,7162262953,643085,225850,35.1202111100226,72415
"11","CO","Colorado",31946,"08000",2020,"colorado",28766869000,6879722000,11375438000,0,1085487000,0,45911546000,0,639545000,39237837000,41175254000,5773733,4966936,86.0267065531822,82228
"12","CT","Connecticut",149448,"09000",2020,"connecticut",97821884000,3388016000,39840819000,0,23023169000,0,37879536000,0,728321000,37155281000,35717659000,3605942,3110153,86.2507293513155,83628
"13","MD","Maryland",149463,"24000",2020,"maryland",65583150000,6958216000,18912696000,0,17257184000,0,53228856000,0,353144000,50513435000,50630119000,6177213,5288760,85.6170992018421,90129
"14","DC","District of Columbia",47298,"11000",2020,"district of columbia",17091665000,2362726000,229413000,596347000,0,19048000,23488607000,0,494687000,16554615000,16397733000,689546,689545,100,91072
"15","DE","Delaware",32212,"10000",2020,"delaware",15909284000,1987209000,1835017000,4945000,7347246000,0,14570384000,3812406000,212001100,10343377000,10496375000,989957,817817,82.6121170000849,71636
"16","FL","Florida",32221,"12000",2020,"florida",72860317000,9369672000,8789980000,0,9146494000,0,169933513000,0,805146000,104272398000,105839544000,21538226,19714806,91.534194591216,63054
"17","IA","Iowa",1036991,"19000",2020,"iowa",9758958000,3087152000,1078093000,0,456472000,0,29784820000,0,549822000,25493401000,26729140000,3190372,2014831,63.1535411734505,65645
"18","GA","Georgia",1265711,"13000",2020,"georgia",42898593000,14141466000,7896789000,115550000,5624423000,253962000,67357098000,0,682156000,65496453000,65986964000,10711937,7933986,74.0669729426354,66507
"19","ID","Idaho",32673,"16000",2020,"idaho",4075441000,1895009000,301989000,0,117490000,0,19585991000,0,81981000,10795096000,11883210000,1839092,1273437,69.2421752742909,66318
"20","OR","Oregon",37525,"41000",2020,"oregon",24144226000,5709342000,3852015000,0,127778000,44077000,43587406000,0,298326000,35844029000,35294208000,4237291,3410984,80.4998329107328,71441
"21","HI","Hawaii",71062,"15000",2020,"hawaii",28421578000,2708675000,7226416000,0,6977722000,0,23375459000,0,262056000,15459241000,14507982000,1455273,1252450,86.0630081957244,85547
"22","PA","Pennsylvania",37697,"42000",2020,"pennsylvania",79810308000,24454368000,15342810000,0,17054721000,0,80321348000,0,868402000,110869726000,109336712000,13002689,9941070,76.4538903458512,68931
"23","ME","Maine",33873,"23000",2020,"maine",8836880000,1208211000,2391652000,8502000,2445774000,0,9578288000,0,62720000,10662879000,10625590000,1362341,526309,38.6321813853764,64823
"24","SC","South Carolina",38235,"45000",2020,"south carolina",15642105000,5251471000,4024660000,0,3135126000,0,39092758000,0,211882000,29178232000,31800560000,5118429,3477869,67.948030888408,59447
