state.abb,state.name,id,geo_id,year,name,category,total_liabilities,current_liabilities,total_assets,current_assets,compensated_absences,expenses,revenues,unrestricted,population,urban_pop,pct_urban_pop,median_hh_income_21,url,modified_revenues,net_pension_liability,net_opeb_liability,assets_liab_ratio
AL,Alabama,31550,01000,2020,Alabama,General Purpose,13679635000,2722165000,37412554000,0,330270000,28857713000,30108701000,0,5024356,2900880,57.7372395123758,53990,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AL/State%20of%20Alabama/AL%20State%20of%20Alabama%202020.pdf,-1471177000,3664524000,1698962000,0.36564290692370266
AK,Alaska,31574,02000,2020,Alaska,General Purpose,14129014000,5911223000,89104922000,0,185848000,10237800000,9104519000,0,733378,475967,64.899487449396,78437,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AK/State%20of%20Alaska/AK%20State%20of%20Alaska%202020.pdf,-7044504000,4657026000,-12349000,0.15856603297402583
AZ,Arizona,40623,04000,2020,Arizona,General Purpose,24362565000,6148699000,55087793000,0,463129000,47285392000,48198360000,0,7151507,6385230,89.2851599566077,68967,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/State%20of%20Arizona/AZ%20State%20of%20Arizona%202020.pdf,-5235731000,5470494000,1245256000,0.44224979207281
AR,Arkansas,49082,05000,2020,Arkansas,General Purpose,13143393000,2375534000,30382630000,0,290683000,24808284000,25838329000,0,3011555,1670677,55.476131022034,52577,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AR/State%20of%20Arkansas/AR%20State%20of%20Arkansas%202020.pdf,-1345489000,2300436000,2914449000,0.43259563112212474
CA,California,31665,06000,2020,California,General Purpose,408305319000,103649199000,340835100000,163031521000,4401397000,386953774000,386615995000,-228917134000,39538245,37259490,94.2366327389068,84831,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/State%20of%20California/CA%20State%20of%20California%202020.pdf,-103986978000,92089623000,90486960000,1.1979556066848749
CO,Colorado,31946,08000,2020,Colorado,General Purpose,28766869000,6879722000,45911546000,0,639545000,39237837000,41175254000,0,5773733,4966936,86.0267065531822,82228,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/State%20of%20Colorado/CO%20State%20of%20Colorado%202020.pdf,-4942305000,11375438000,1085487000,0.6265715600167331
CT,Connecticut,149448,09000,2020,Connecticut,General Purpose,97821884000,3388016000,37879536000,0,728321000,37155281000,35717659000,-64317606000,3605942,3110153,86.2507293513155,83628,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CT/State%20of%20Connecticut/CT%20State%20of%20Connecticut%202020.pdf,-4825638000,39840819000,23023169000,2.5824467332440397
DE,Delaware,32212,10000,2020,Delaware,General Purpose,15909284000,1987209000,14570384000,3812406000,212001100,10343377000,10496375000,-8420152000,989957,817817,82.6121170000849,71636,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/DE/State%20of%20Delaware/DE%20State%20of%20Delaware%202020.pdf,-1834211000,1830072000,7347246000,1.0918918815042897
FL,Florida,32221,12000,2020,Florida,General Purpose,72860317000,9369672000,169933513000,0,805146000,104272398000,105839544000,-14704895000,21538226,19714806,91.534194591216007,63054,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/State%20of%20Florida/FL%20State%20of%20Florida%202020.pdf,-7802526000,8789980000,9146494000,0.4287577871705624
GA,Georgia,1265711,13000,2020,Georgia,General Purpose,42898593000,14141466000,67357098000,0,682156000,65496453000,65986964000,-10629743000,10711937,7933986,74.0669729426354,66507,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/GA/State%20of%20Georgia/GA%20State%20of%20Georgia%202020.pdf,-13650955000,7781239000,5370461000,0.6368830349549798
