state.abb,state.name,id_22,geo_id,year_22,name,category_22,total_liabilities_22,current_liabilities_22,total_assets_22,current_assets_22,compensated_absences_22,expenses_22,revenues_22,unrestricted_22,population_22,urban_pop_22,pct_urban_pop_22,median_hh_income_21_22,url_22,modified_revenues_22,net_pension_liability_22,net_opeb_liability_22,assets_liab_ratio_22,state.abb_20,id_20,year_20,category_20,total_liabilities_20,current_liabilities_20,total_assets_20,current_assets_20,compensated_absences_20,expenses_20,revenues_20,unrestricted_20,population_20,urban_pop_20,pct_urban_pop_20,median_hh_income_21_20,url_20,modified_revenues_20,net_pension_liability_20,net_opeb_liability_20,assets_liab_ratio_20,total_liabilities_growth,current_liabilities_growth,expenses_growth,net_opeb_liability_growth,net_pension_liability_growth,revenues_growth,total_assets_growth,assets_liab_ratio_growth,modified_revenues_growth,pct_urban_pop_22_normalized,median_hh_income_normalized
AL,Alabama,1265667,01073,2022,"Jefferson County, AL",General Purpose,3160364524,260293013,3943827673,1268762210,26210958,819402382,798799650,0,674355,593276,0.879290847624426,55210,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AL/Jefferson%20County/AL%20Jefferson%20County%202022.pdf,-280895745,-265102822,117668334,0.801344477000428,AL,1265667,2020,General Purpose,2965742000,191938000,3706359000,0,22339000,803857000,789214000,0,674355,593276,0.879290847624426,55210,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AL/Jefferson%20County/AL%20Jefferson%20County%202020.pdf,-206581000,-142088000,119964000,0.8001766693404497,6.562355188010286,0.3561306932446936,1.933849179642648,-0.01913629088726618,-86.57650329373347,0.012145818497897908,0.06407060756931533,0.0014594372776962263,-0.35973659242621536,30.293735787903316,-38.6998070195354
AZ,Arizona,31617,04013,2022,"Maricopa County, AZ",General Purpose,3610787387,1051665015,8144014585,3942456333,0,2534230280,3045885768,-109817297,4420574,4318689,0.976953414131397,76230,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Maricopa%20County/AZ%20Maricopa%20County%202022.pdf,-540009527,1626366174,-49909693,0.44336700890129854,AZ,31617,2020,General Purpose,2834203888,553067960,6308842833,0,0,2226634981,2499817863,-719229338,4420574,4318689,0.976953414131397,76230,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Maricopa%20County/AZ%20Maricopa%20County%202020.pdf,-279885078,1876917812,-13427999,0.44924306454029556,27.400410474632725,0.9015113712246141,13.814356714267392,-2.716837706049874,-13.349100125647908,0.21844307662665902,0.29088880490106195,-0.013079902847270225,-0.929397347149747,46.237550331723085,-17.0075644214198
AZ,Arizona,31619,04019,2022,"Pima County, AZ",General Purpose,2225697000,365839000,4435380000,1164614000,47073000,1226132000,1349779000,-292722000,1043434,951173,0.911580331463544,60604,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Pima%20County/AZ%20Pima%20County%202022.pdf,-242192000,656632000,-19452000,0.501805256821287,AZ,31619,2020,General Purpose,1970239000,171786000,4066257000,0,40446000,1079855000,1188854000,0,1043434,951173,0.911580331463544,60604,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Pima%20County/AZ%20Pima%20County%202020.pdf,-62787000,776192000,-530000,0.4845338108240576,12.965838154660425,1.1296205744356351,13.545985340624437,-35.70188679245283,-15.403405343007915,0.13536144892476284,0.09077709549593152,0.03564549183442,-2.857359007437845,35.56512645947467,-33.133300997925716
CA,California,31687,06037,2022,"Los Angeles County, CA",General Purpose,54844462000,8634894000,48205324000,7427935000,2307992000,30987889000,33326577000,-33200043000,10014042,9924789,0.991090481344684,77356,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Los%20Angeles%20County/CA%20Los%20Angeles%20County%202022.pdf,-6296206000,7030463000,26997560000,1.1377262395332102,CA,31687,2020,General Purpose,52768946000,5617736000,37390440000,0,2072486000,28398515000,29454082000,-33831196000,10014042,9924789,0.991090481344684,77356,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Los%20Angeles%20County/CA%20Los%20Angeles%20County%202020.pdf,-4562169000,11560668000,25921499000,1.4112951331944743,3.9332148116052954,0.5370772140235853,9.117990852690713,0.04151229834354873,-39.18636016534685,0.13147566439178107,0.2892419559652146,-0.19384244105061105,-0.3800904788928249,48.545484537262055,-15.845553709456048
CA,California,31710,06073,2022,"San Diego County, CA",General Purpose,5680147000,1535468000,10423386000,5470933000,138845000,5340993000,6027232000,-1099216000,3298635,3153671,0.956053627046832,90756,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Diego%20County/CA%20San%20Diego%20County%202022.pdf,-849229000,2246673000,71147000,0.5449425935104005,CA,31710,2020,General Purpose,6570540000,945099000,8897009000,0,128010000,5176994000,5306058000,0,3298635,3153671,0.956053627046832,90756,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Diego%20County/CA%20San%20Diego%20County%202020.pdf,-816035000,3790434000,106033000,0.7385111108688325,-13.551291065878909,0.6246636595742879,3.1678421879569494,-0.3290107796629351,-40.72781639252919,0.13591521238554122,0.17156068966548196,-0.262106438900703,-0.04067717683677784,42.82557437000354,-2.0170070484308766
CA,California,31700,06059,2022,"Orange County, CA",General Purpose,5472509000,994260000,11810759000,6205957000,NA,4260936000,5644596000,-1048893000,3186979,3179027,0.997501717138026,100210,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Orange%20County/CA%20Orange%20County%202022.pdf,389400000,2048680000,233049000,0.463349476523905,CA,31700,2020,General Purpose,7044193000,890891000,9724166000,0,184050000,4484712000,4801992000,0,3186979,3179027,0.997501717138026,100210,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Orange%20County/CA%20Orange%20County%202020.pdf,-573611000,4125372000,328412000,0.7244007352404309,-22.311768005220753,0.11602878466613761,-4.989751850286039,-0.290376112931318,-50.33950877642065,0.17546968008276564,0.2145780933809645,-0.3603685722791021,1.67885727435492,49.59214507611294,7.739342215250623
CA,California,149444,06065,2022,"Riverside County, CA",General Purpose,7049200000,1973941000,10349937000,4161296000,316278000,5323639000,5768086000,0,2418177,2285826,0.945265147207513,78690,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Riverside%20County/CA%20Riverside%20County%202022.pdf,-1529494000,1288258000,192288000,0.681086271346386,CA,149444,2020,General Purpose,8461146000,1486004000,9090883000,0,279952000,5945935000,5091044000,-2706020000,2418177,2285826,0.945265147207513,78690,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Riverside%20County/CA%20Riverside%20County%202020.pdf,-2340895000,3517404000,60207000,0.9307287311914585,-16.68740853780327,0.3283551053698375,-10.465906539509765,2.193781453983756,-63.37475024193979,0.13298686870512216,0.13849633748448859,-0.268222578157114,0.3466199893630428,41.064310787445876,-14.468890929918167
CA,California,31709,06071,2022,"San Bernardino County, CA",General Purpose,3614078000,937837000,8992798000,6021225000,283861000,4578231000,5598444000,0,2181662,2064249,0.94618532544574,74218,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Bernardino%20County/CA%20San%20Bernardino%20County%202022.pdf,82376000,1065771000,0,0.40188582018633134,CA,31709,2020,General Purpose,4697075000,855666000,7610809000,4809570000,244389000,4628342000,5011731000,-297415000,2181662,2064249,0.94618532544574,74218,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Bernardino%20County/CA%20San%20Bernardino%20County%202020.pdf,-472277000,2236518000,8506000,0.617158438741532,-23.056838564425732,0.09603162916371574,-1.0826987288320524,-1,-52.346862399497795,0.11706793521040934,0.1815824047088818,-0.3488125658528952,1.174423061042566,41.21453365893373,-19.083910382761786
CA,California,31546,06085,2022,"Santa Clara County, CA",General Purpose,10216977000,2188366000,10557284000,6440943000,420151000,7232097000,8175440000,0,1936274,1910722,0.98681116524184,141161,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Santa%20Clara%20County/CA%20Santa%20Clara%20County%202022.pdf,-1245023000,2989893000,867326000,0.9677656677607612,CA,31546,2020,General Purpose,10454942000,1698043000,8396243000,0,336638000,6863789000,7052128000,-3604250000,1936274,1910722,0.98681116524184,141161,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Santa%20Clara%20County/CA%20Santa%20Clara%20County%202020.pdf,-1509704000,4369993000,1193745000,1.245192879720132,-2.2761006230354983,0.28875770519356697,5.365957490826132,-0.2734411453032264,-31.58128628581327,0.15928695565366935,0.25738190283439866,-0.22279858524546406,0.1753197977881757,47.84686863192174,50
CA,California,149446,06001,2022,"Alameda County, CA",General Purpose,3481817000,1190054000,7227137000,4245432000,103652000,3392909000,3848856000,1206000000,1682331,1674100,0.995094370800896,108971,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Alameda%20County/CA%20Alameda%20County%202022.pdf,-734107000,542754000,-255953000,0.4817698903452363,CA,149446,2020,General Purpose,4327169000,921772000,6519073000,0,84391000,3251961000,3470053000,485135000,1682331,1674100,0.995094370800896,108971,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Alameda%20County/CA%20Alameda%20County%202020.pdf,-703680000,1785396000,173413000,0.6637706005132938,-19.53591366549354,0.29105028141449296,4.334246320912213,-2.4759735429293075,-69.60035756773287,0.10916346234481145,0.10861421554874442,-0.2741921833044675,-0.04323982492041837,49.19913591288142,16.780528580716407
