state.abb,state.name,id_22,geo_id,year_22,name,category_22,total_liabilities_22,current_liabilities_22,total_assets_22,current_assets_22,compensated_absences_22,expenses_22,revenues_22,unrestricted_22,population_22,median_hh_income_21_22,url_22,modified_revenues_22,net_pension_liability_22,net_opeb_liability_22,assets_liab_ratio_22,name_state,state.abb_20,id_20,year_20,category_20,total_liabilities_20,current_liabilities_20,total_assets_20,current_assets_20,compensated_absences_20,expenses_20,revenues_20,unrestricted_20,population_20,median_hh_income_21_20,url_20,modified_revenues_20,net_pension_liability_20,net_opeb_liability_20,assets_liab_ratio_20,name_state_20,total_liabilities_growth,current_liabilities_growth,expenses_growth,net_opeb_liability_growth,net_pension_liability_growth,revenues_growth,total_assets_growth,assets_liab_ratio_growth,modified_revenues_growth,latitude,longitude,median_hh_income_normalized
AL,Alabama,31569,0137000,2022,"Huntsville, AL",General Purpose,1392121153,101586047,2491943999,541165747,33634200,511722538,628227515,0,215052,70757,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AL/Huntsville/AL%20Huntsville%202022.pdf,14918930,195197117,62796537,0.5586486508359131,"Huntsville, Alabama",AL,31569,2020,General Purpose,1335234757,71574650,2123174696,0,23930976,432807149,444428253,0,215052,70757,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AL/Huntsville/AL%20Huntsville%202020.pdf,-59953546,211600490,66108743,0.6288859600274739,"Huntsville, Alabama",4.260404075146465,0.4193020433910609,18.233383894497546,-0.050102389634000453,-7.7520486838192095,0.4135634059250504,0.17368768744971894,-0.11168528740646773,1.248841494713257,34.729847,-86.5859011,-20.769729083268274
AZ,Arizona,31636,0455000,2022,"Phoenix, AZ",General Purpose,14245771000,1734722000,22002784000,1502403000,175436000,4586960000,5690209000,-1622633000,1608190,68435,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Phoenix/AZ%20Phoenix%202022.pdf,-631473000,4643155000,101505000,0.6474531132060379,"Phoenix, Arizona",AZ,31636,2020,General Purpose,13930794000,770903000,19151463000,0,168066000,4117422000,4219483000,-2474358000,1608190,68435,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Phoenix/AZ%20Phoenix%202020.pdf,-668842000,4963845000,144820000,0.7274010345841464,"Phoenix, Arizona",2.26101254530072,1.2502467885064659,11.403689007344887,-0.2990954288081757,-6.460515991131875,0.3485559723786066,0.14888267282765813,-0.10990900146824031,0.05587119229952665,33.4484367,-112.074141,-22.69820440841819
AZ,Arizona,31644,0477000,2022,"Tucson, AZ",General Purpose,3361849981,299609530,5765719483,1804716249,51854178,1294623454,1421464007,0,542656,50306,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Tucson/AZ%20Tucson%202022.pdf,-172768977,1376887466,187936363,0.5830755365245022,"Tucson, Arizona",AZ,31644,2020,General Purpose,2732347205,229636476,4646345561,0,45516967,1104971593,1303599945,0,542656,50306,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Tucson/AZ%20Tucson%202020.pdf,-31008124,1365520009,202517172,0.5880637092373164,"Tucson, Arizona",23.038901309762352,0.3047122792460898,17.163505578011723,-0.07199788964068686,0.8324635981222008,0.09041428887142212,0.24091490985855238,-0.008482367870113304,-4.571732653029897,32.2228765,-110.974847,-37.75476305167516
AZ,Arizona,31634,0446000,2022,"Mesa, AZ",General Purpose,4226428000,409619000,5212620000,1558911000,39149000,1240528000,1325532000,0,504300,69266,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Mesa/AZ%20Mesa%202022.pdf,-324615000,840814000,987614000,0.8108068495305624,"Mesa, Arizona",AZ,31634,2020,General Purpose,3946213000,316334000,4566939000,0,33980000,1072009000,1110314000,-581039000,504300,69266,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Mesa/AZ%20Mesa%202020.pdf,-278029000,908215779,907417000,0.8640827039730551,"Mesa, Arizona",7.100858468612819,0.2948940044383468,15.71992399317543,0.0883794330500751,-7.421339791543084,0.19383525741366855,0.14138156870499036,-0.061655966723474696,-0.16755806049009275,33.4151005,-111.831455,-22.008039466471768
AZ,Arizona,31633,0412000,2022,"Chandler, AZ",General Purpose,937633085,82806731,2479609065,915513078,14436678,518724748,576771055,0,276010,94613,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Chandler/AZ%20Chandler%202022.pdf,-24760424,212540490,81921795,0.37813746458456343,"Chandler, Arizona",AZ,31633,2020,General Purpose,993301804,38727213,2430590211,0,15199811,507986971,577349614,0,276010,94613,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Chandler/AZ%20Chandler%202020.pdf,30635430,293895280,53112727,0.40866691534618377,"Chandler, Arizona",-5.60441134565784,1.1382052718330131,2.113789843637545,0.5424136478625924,-27.68155718594732,-0.0010020947203750966,0.020167469521665083,-0.07470497271783963,-1.8082283813218878,33.3062031,-111.8411851,-0.9567629520123546
AZ,Arizona,44287,0427820,2022,"Glendale, AZ",General Purpose,1604194000,97002000,2551847000,696027000,31565000,523718000,683981000,0,248374,62910,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Glendale/AZ%20Glendale%202022.pdf,63261000,339191000,-6673000,0.6286403534381175,"Glendale, Arizona",AZ,44287,2020,General Purpose,1364207000,74510000,2171283000,0,34513000,467437000,552856000,0,248374,62910,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Glendale/AZ%20Glendale%202020.pdf,10909000,379276000,1415000,0.6282953442734088,"Glendale, Arizona",17.591685132828083,0.3018655214065226,12.040339125914294,-5.715901060070672,-10.568820595028422,0.23717749287337028,0.17527148695034225,5.491194035628e-4,4.798973324777706,33.5386858,-112.185994,-27.28684617045662
AZ,Arizona,31637,0465000,2022,"Scottsdale, AZ",General Purpose,1533417000,214160000,7613064000,1158017000,37800000,681369000,958854000,416758000,241339,99097,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Scottsdale/AZ%20Scottsdale%202022.pdf,63325000,309646000,831000,0.20141916579185462,"Scottsdale, Arizona",AZ,31637,2020,General Purpose,1672194000,105699000,7014292000,0,31911000,645919000,802015000,325693000,241339,99097,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Scottsdale/AZ%20Scottsdale%202020.pdf,50397000,352019000,2177000,0.2383981163031137,"Scottsdale, Arizona",-8.299096875123341,1.0261308054002403,5.488304261060597,-0.6182820395039045,-12.037134359224929,0.19555619283928605,0.08536456708674232,-0.15511427306850786,0.2565232057463738,33.4942189,-111.926018,2.7673039549524177
CA,California,149487,0644000,2022,"Los Angeles, CA",General Purpose,51289709000,3799884000,87447834000,24517406000,1060408000,16555364000,19952927000,114397000,3898767,70372,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Los%20Angeles/CA%20Los%20Angeles%202022.pdf,-402321000,3580000,387751000,0.5865177746998285,"Los Angeles, California",CA,149487,2020,General Purpose,50943508000,3741504000,72988295000,0,943187000,16549940000,17463553000,-3531929000,3898767,70372,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Los%20Angeles/CA%20Los%20Angeles%202020.pdf,-2827891000,8541000000,2674034000,0.6979681879128702,"Los Angeles, California",0.6795782496957218,0.015603350951916662,0.03277353271371376,-0.8549939903531518,-99.958084533427,0.14254682308920757,0.19810764178009638,-0.15967835661151145,0.8577310794510821,34.0536909,-118.242766,-21.08948059066824
CA,California,44032,0666000,2022,"San Diego, CA",General Purpose,7496904000,825053000,17528167000,3751794000,100273000,3576546000,4030974000,-1938009000,1386960,93042,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Diego/CA%20San%20Diego%202022.pdf,-370625000,2164171000,429719000,0.42770610298270206,"San Diego, California",CA,44032,2020,General Purpose,7466528000,695168000,15727390000,0,91041000,3470006000,3435873000,-1910124000,1386960,93042,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Diego/CA%20San%20Diego%202020.pdf,-729301000,2671000000,462516000,0.47474679524065977,"San Diego, California",0.40682898396684514,0.18683972795065365,3.0703116939855435,-0.07090997933044478,-18.9752527143392,0.17320226911763037,0.11449941789451397,-0.09908585530127008,0.4918079092171819,32.7174202,-117.1627728,-2.261515206883381
CA,California,101868,0668000,2022,"San Jose, CA",General Purpose,6812578000,613669000,11157765000,3369472000,92902000,2816732000,3086802000,-2278855000,1013221,126377,NA,-343599000,2340132000,776346000,0.6105683351459723,"San Jose, California",CA,101868,2020,General Purpose,7622101000,448264000,10853083000,0,93159000,2974619000,2880708000,-2569494000,1013221,126377,NA,-542175000,3383225000,975830000,0.7022982317558983,"San Jose, California",-10.62073304985069,0.3689901486623954,-5.307805806390667,-0.20442495106729655,-30.831322185193123,0.0715428290545241,0.028073313361742465,-0.13061387949188102,0.36625812698851845,37.3361663,-121.890591,25.423982193578397
CA,California,31759,0627000,2022,"Fresno, CA",General Purpose,1588277000,267898000,4869028000,863099000,98003000,927471000,1153001000,0,542252,61250,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Fresno/CA%20Fresno%202022.pdf,-42368000,-805653000,99760000,0.3262000136372188,"Fresno, California",CA,31759,2020,General Purpose,1541934000,207987000,4036592000,0,80002000,802265000,873186000,500142000,542252,61250,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Fresno/CA%20Fresno%202020.pdf,-137066000,-244990000,148672000,0.3819890640421425,"Fresno, California",3.005511260533849,0.288051657074721,15.606563915913071,-0.32899268187688335,-228.85138168904854,0.3204529161026402,0.20622247678239466,-0.1460488156770081,0.6908934381976566,36.7295295,-119.70886126075588,-28.66551500755776
