state.abb,state.name,id_22,year_22,name,category_22,total_liabilities_22,current_liabilities_22,total_assets_22,current_assets_22,compensated_absences_22,expenses_22,revenues_22,unrestricted_22,ncesID,name_nces_22,enrollment_20_22,fte_20_22,revenue_nces_20_22,expenditure_nces_20_22,enrollment_21_22,fte_21_22,revenue_nces_21_22,expenditure_nces_21_22,county_22,city_22,zip_22,zip4_22,locale_22,latitude_22,longitude_22,congresstional_code_22,metro_code_22,enrollment_22_22,fte_22_22,url_22,modified_revenues_22,net_pension_liability_22,net_opeb_liability_22,assets_liab_ratio_22,name_state,state.abb_20,state.name_20,id_20,year_20,name_20,category_20,total_liabilities_20,current_liabilities_20,total_assets_20,current_assets_20,compensated_absences_20,expenses_20,revenues_20,unrestricted_20,name_nces_20,enrollment_20_20,fte_20_20,revenue_nces_20_20,expenditure_nces_20_20,enrollment_21_20,fte_21_20,revenue_nces_21_20,expenditure_nces_21_20,county_20,city_20,zip_20,zip4_20,locale_20,latitude_20,longitude_20,congresstional_code_20,metro_code_20,enrollment_22_20,fte_22_20,url_20,modified_revenues_20,net_pension_liability_20,net_opeb_liability_20,assets_liab_ratio_20,name_state_20,total_liabilities_growth,expenses_growth,net_opeb_liability_growth,net_pension_liability_growth,revenues_growth,total_assets_growth,assets_liab_ratio_growth
AL,Alabama,1017229,2022,Mobile County Board Of School Commissioners,School District,1117729692,66264380,1052498084,517152716,5487894,637702637,767151946,0,0102370,mobile county,53941,2973.4,609296000,582822000,52460,2960.79,675221000,623151000,Mobile County,Mobile,36618,69,12-City: Mid-size,30.718638,-88.219762,101,1-Metropolitan Area,52614,2608.55,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/AL/Mobile%20County%20Board%20of%20School%20Commissioners/AL%20Mobile%20County%20Board%20of%20School%20Commissioners%202022.pdf,63184929,393780000,255091005,1.0619778876481072,"Mobile, AL",AL,Alabama,1017229,2020,Mobile County Board Of School Commissioners,School District,1056213930,43271587,810156898,0,5710548,557351638,613625515,0,mobile county,53941,2973.4,609296000,582822000,52460,2960.79,675221000,623151000,Mobile County,Mobile,36618,69,12-City: Mid-size,30.718638,-88.219762,101,1-Metropolitan Area,52614,2608.55,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/AL/Mobile%20County%20Board%20of%20School%20Commissioners/AL%20Mobile%20County%20Board%20of%20School%20Commissioners%202020.pdf,13002290,481601000,214694867,1.303715283554865,"Mobile, AL",5.824176357908857,14.416571787306742,0.18815604939451114,-18.235219611254962,0.2501956441625476,0.2991287077827238,-0.18542192375593541
AZ,Arizona,30554,2022,Mesa Unified School District No. 4,School District,933067958,74023084,1102147366,479130145,19432204,737710699,770276105,-297714476,0404970,mesa unified district (4235),62703,3274.31,630987000,619835000,57956,3321.27,704867000,681325000,Maricopa County,Mesa,85201,7422,11-City: Large,33.4147,-111.829291,409,1-Metropolitan Area,58859,3476.15,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/AZ/Mesa%20Unified%20School%20District%20No.%204/AZ%20Mesa%20Unified%20School%20District%20No.%204%202022.pdf,-41457678,438021553,0,0.8465909249380722,"Mesa, AZ",AZ,Arizona,30554,2020,Mesa Unified School District No. 4,School District,897959189,70493673,948737617,0,17681562,618205248,644754580,-302081999,mesa unified district (4235),62703,3274.31,630987000,619835000,57956,3321.27,704867000,681325000,Maricopa County,Mesa,85201,7422,11-City: Large,33.4147,-111.829291,409,1-Metropolitan Area,58859,3476.15,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/AZ/Mesa%20Unified%20School%20District%20No.%204/AZ%20Mesa%20Unified%20School%20District%20No.%204%202020.pdf,-43944341,468531459,0,0.9464779016978727,"Mesa, AZ",3.909840160898448,19.331031463518084,0,-6.511815890680673,0.1946810909043872,0.1616988156167945,-0.10553545579945897
CA,California,146329,2022,Los Angeles Unified School District,School District,28683759000,1551385000,24373982000,8961303000,86722000,10824582000,12425358000,0,0622710,los angeles unified,483234,0,9721115000,9632193000,460633,21872.95,11112479000,9900601000,Los Angeles County,Los Angeles,90017,1466,11-City: Large,34.056169,-118.257348,634,1-Metropolitan Area,435958,21893.94,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Los%20Angeles%20Unified%20School%20District/CA%20Los%20Angeles%20Unified%20School%20District%202022.pdf,49391000,4311675000,10186225000,1.1768187487789235,"Los Angeles, CA",CA,California,146329,2020,Los Angeles Unified School District,School District,29653109000,1251049000,21980711000,0,90595000,9320067000,9124800000,-16376450000,los angeles unified,483234,0,9721115000,9632193000,460633,21872.95,11112479000,9900601000,Los Angeles County,Los Angeles,90017,1466,11-City: Large,34.056169,-118.257348,634,1-Metropolitan Area,435958,21893.94,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Los%20Angeles%20Unified%20School%20District/CA%20Los%20Angeles%20Unified%20School%20District%202020.pdf,-1446316000,7446273000,8578152000,1.3490514023863924,"Los Angeles, CA",-3.268965827495525,16.142748759209564,0.18746147188811763,-42.09620034076107,0.36171291425565494,0.10888050891529395,-0.1276694522557106
CA,California,146593,2022,San Diego Unified School District,School District,6939382611,348394080,7680334133,2351335484,39166475,1965428482,2348998159,-1750769338,0634320,san diego unified,102270,0,2101817000,2309589000,97968,4266.88,2239718000,2247111000,San Diego County,San Diego,92103,2682,11-City: Large,32.754564,-117.147475,653,1-Metropolitan Area,95233,4289.35,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/San%20Diego%20Unified%20School%20District/CA%20San%20Diego%20Unified%20School%20District%202022.pdf,35175597,793205000,136132998,0.9035261345185019,"San Diego, CA",CA,California,146593,2020,San Diego Unified School District,School District,6421488110,283424562,5984680571,0,38185704,1875674718,1987911916,-1765970592,san diego unified,102270,0,2101817000,2309589000,97968,4266.88,2239718000,2247111000,San Diego County,San Diego,92103,2682,11-City: Large,32.754564,-117.147475,653,1-Metropolitan Area,95233,4289.35,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/San%20Diego%20Unified%20School%20District/CA%20San%20Diego%20Unified%20School%20District%202020.pdf,-171187364,1449568000,135880213,1.0729876112547494,"San Diego, CA",8.065023124367352,4.785145480646181,0.0018603518085447805,-45.27990408176781,0.1816409671342802,0.28333234194931606,-0.15793423424346864
CA,California,146325,2022,Long Beach Unified School District,School District,2597539043,224468544,2846203810,1072674036,12945941,1114588767,1281497291,0,0622500,long beach unified,71712,0,1173998000,1215628000,69413,2808.82,1266461000,1163778000,Los Angeles County,Long Beach,90810,1839,11-City: Large,33.82892,-118.213761,647,1-Metropolitan Area,67292,2738.24,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Long%20Beach%20Unified%20School%20District/CA%20Long%20Beach%20Unified%20School%20District%202022.pdf,-57560020,480681147,401299005,0.9126328317999125,"Long Beach, CA",CA,California,146325,2020,Long Beach Unified School District,School District,3148525800,182972369,2658431286,0,13045260,1123576999,1136009100,0,long beach unified,71712,0,1173998000,1215628000,69413,2808.82,1266461000,1163778000,Los Angeles County,Long Beach,90810,1839,11-City: Large,33.82892,-118.213761,647,1-Metropolitan Area,67292,2738.24,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Long%20Beach%20Unified%20School%20District/CA%20Long%20Beach%20Unified%20School%20District%202020.pdf,-170540268,922386344,425718817,1.184354779670615,"Long Beach, CA",-17.499833001209645,-0.7999658241490933,-0.05736136394459632,-47.88722208142318,0.12806956475964848,0.07063282958971316,-0.22942614200980563
CA,California,146154,2022,Fresno Unified School District,School District,2557865078,214854312,1920500019,827657672,5065912,1324637810,1515772451,0,0614550,fresno unified,71265,0,1163319000,1160647000,70088,2159.3,1286872000,1219665000,Fresno County,Fresno,93721,2287,11-City: Large,36.73666,-119.787071,616,1-Metropolitan Area,69873,3548.96,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Fresno%20Unified%20School%20District/CA%20Fresno%20Unified%20School%20District%202022.pdf,-23719671,492432000,987304445,1.3318745392837197,"Fresno, CA",CA,California,146154,2020,Fresno Unified School District,School District,3034261964,204081966,1701692842,0,4534280,1233813509,1166709424,0,fresno unified,71265,0,1163319000,1160647000,70088,2159.3,1286872000,1219665000,Fresno County,Fresno,93721,2287,11-City: Large,36.73666,-119.787071,616,1-Metropolitan Area,69873,3548.96,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Fresno%20Unified%20School%20District/CA%20Fresno%20Unified%20School%20District%202020.pdf,-271186051,942203000,1019190619,1.7830844022554806,"Fresno, CA",-15.700585237933002,7.361266539674433,-0.03128578050618812,-47.736103578528194,0.29918591537836076,0.12858206346031043,-0.25305019908256227
CA,California,146106,2022,Elk Grove Unified School District,School District,1075350313,166151615,1561699862,669899052,17183992,850822680,1018154039,-485432687,0612330,elk grove unified,63660,0,838162000,860041000,63157,2722.23,940531000,877050000,Sacramento County,Elk Grove,95624,1801,21-Suburb: Large,38.41158,-121.373061,607,1-Metropolitan Area,62229,2763.54,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Elk%20Grove%20Unified%20School%20District/CA%20Elk%20Grove%20Unified%20School%20District%202022.pdf,1179744,363655000,11624895,0.6885768124630852,"Elk Grove, CA",CA,California,146106,2020,Elk Grove Unified School District,School District,1218599815,0,1116520925,0,16169700,887739046,841645710,0,elk grove unified,63660,0,838162000,860041000,63157,2722.23,940531000,877050000,Sacramento County,Elk Grove,95624,1801,21-Suburb: Large,38.41158,-121.373061,607,1-Metropolitan Area,62229,2763.54,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Elk%20Grove%20Unified%20School%20District/CA%20Elk%20Grove%20Unified%20School%20District%202020.pdf,-46093336,749359000,11770913,1.0914258637830725,"Elk Grove, CA",-11.755253877172137,-4.1584704611494585,-0.012404985067853275,-51.47119071099433,0.20971808791136118,0.39871974365370716,-0.36910344961373937
CA,California,146595,2022,San Francisco Unified School District,School District,2775479417,170520457,3094655414,1138312747,21081425,1219446138,1528126847,0,0634410,san francisco unified,52811,0,1171190000,1189503000,51790,2501.58,1228255000,1161029000,San Francisco County,San Francisco,94102,5207,11-City: Large,37.779253,-122.422153,612,1-Metropolitan Area,49204,2547.13,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/San%20Francisco%20Unified%20School%20District/CA%20San%20Francisco%20Unified%20School%20District%202022.pdf,138160252,285174129,1038791715,0.896862185186735,"San Francisco, CA",CA,California,146595,2020,San Francisco Unified School District,School District,2652780917,90091449,2122669061,0,13646000,1306963214,1290210104,-1395173956,san francisco unified,52811,0,1171190000,1189503000,51790,2501.58,1228255000,1161029000,San Francisco County,San Francisco,94102,5207,11-City: Large,37.779253,-122.422153,612,1-Metropolitan Area,49204,2547.13,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/San%20Francisco%20Unified%20School%20District/CA%20San%20Francisco%20Unified%20School%20District%202020.pdf,-106844559,836406746,782068572,1.2497383439273675,"San Francisco, CA",4.625278296209939,-6.696215705425355,0.3282616795909298,-65.90485067656306,0.18440154999747235,0.4579076271748609,-0.28236003196613213
CA,California,146048,2022,Corona-Norco Unified School District,School District,1202562776,103057486,1476931789,434512184,NA,706726600,829160242,NA,0609850,corona-norco unified,52557,0,695202000,710246000,51318,2062.96,759981000,697555000,Riverside County,Norco,92860,1903,12-City: Mid-size,33.922685,-117.561634,642,1-Metropolitan Area,50889,2076.56,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Corona-Norco%20Unified%20School%20District/CA%20Corona-Norco%20Unified%20School%20District%202022.pdf,19376156,345568234,90317797,0.8142304099326283,"Norco, CA",CA,California,146048,2020,Corona-Norco Unified School District,School District,1511591818,75662863,1385029429,0,5101062,740906139,699973014,0,corona-norco unified,52557,0,695202000,710246000,51318,2062.96,759981000,697555000,Riverside County,Norco,92860,1903,12-City: Mid-size,33.922685,-117.561634,642,1-Metropolitan Area,50889,2076.56,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Corona-Norco%20Unified%20School%20District/CA%20Corona-Norco%20Unified%20School%20District%202020.pdf,-116595988,625815620,76877208,1.0913788446295896,"Norco, CA",-20.443947785380246,-4.613207692695336,0.17483190856775133,-44.78114272699042,0.18456029792028525,0.06635408466833378,-0.253943381861158
CO,Colorado,1237862,2022,City And County Of Denver School District No. 1,School District,3663304330,161782476,3150266611,1286401683,18192456,1406365102,1692905784,-949863107,0803360,school district no. 1 in the county of denver and state of c,92143,6149.47,1588186000,1605362000,89081,6120.67,1615429000,1593940000,Denver County,Denver,80203,2996,11-City: Large,39.74575,-104.985751,801,1-Metropolitan Area,88911,6140.88,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CO/City%20and%20County%20of%20Denver%20School%20District%20No.%201/CO%20City%20and%20County%20of%20Denver%20School%20District%20No.%201%202022.pdf,124758206,4035111,26552730,1.162855333325945,"Denver, CO",CO,Colorado,1237862,2020,City And County Of Denver School District No. 1,School District,3548501249,193615233,2454709948,0,18795396,1413151847,1560645403,0,school district no. 1 in the county of denver and state of c,92143,6149.47,1588186000,1605362000,89081,6120.67,1615429000,1593940000,Denver County,Denver,80203,2996,11-City: Large,39.74575,-104.985751,801,1-Metropolitan Area,88911,6140.88,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CO/City%20and%20County%20of%20Denver%20School%20District%20No.%201/CO%20City%20and%20County%20of%20Denver%20School%20District%20No.%201%202020.pdf,-46121677,400400429,54122079,1.4455888166710602,"Denver, CO",3.235255476727042,-0.48025589142509184,-0.5093919063973873,-98.99223109973241,0.08474723389807723,0.28335594743758297,-0.1955836127704704
