state.abb,state.name,id_22,geo_id,year_22,name,category_22,total_liabilities_22,current_liabilities_22,total_assets_22,current_assets_22,compensated_absences_22,expenses_22,revenues_22,unrestricted_22,population_22,urban_pop_22,pct_urban_pop_22,median_hh_income_21_22,url_22,modified_revenues_22,net_pension_liability_22,net_opeb_liability_22,assets_liab_ratio_22,state.abb_20,id_20,year_20,category_20,total_liabilities_20,current_liabilities_20,total_assets_20,current_assets_20,compensated_absences_20,expenses_20,revenues_20,unrestricted_20,population_20,urban_pop_20,pct_urban_pop_20,median_hh_income_21_20,url_20,modified_revenues_20,net_pension_liability_20,net_opeb_liability_20,assets_liab_ratio_20,total_liabilities_growth,current_liabilities_growth,expenses_growth,net_opeb_liability_growth,net_pension_liability_growth,revenues_growth,total_assets_growth,assets_liab_ratio_growth,modified_revenues_growth,2022,id,partisan_lean,pct_urban_pop_22_normalized,median_hh_income_normalized
AL,Alabama,31550,01,2022,Alabama,General Purpose,15782655000,4026823000,46509637000,15785057000,337147000,31015310000,34258018000,-8367416000,5024356,2900880,57.7372395123758,53990,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AL/State%20of%20Alabama/AL%20State%20of%20Alabama%202022.pdf,-784115000,3563587000,847193000,0.3393416078478531,AL,31550,2020,General Purpose,13679635000,2722165000,37412554000,0,330270000,28857713000,30108701000,0,5024356,2900880,57.7372395123758,53990,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AL/State%20of%20Alabama/AL%20State%20of%20Alabama%202020.pdf,-1471177000,3664524000,1698962000,0.36564290692370266,15.37336339748831,0.47927219694618073,7.476673567305905,-0.5013467046349477,-2.754436865470113,0.13781122606385443,0.24315589360726347,-0.07193165402040123,0.467015185800213,-29.17974,1,-29.17974,-11.741546969239167,-37.59270929274322
AK,Alaska,31574,02,2022,Alaska,General Purpose,12992621000,7970975000,104675321000,92208723000,197205000,9850996000,7917502000,18823743000,733378,475967,64.899487449396,78437,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AK/State%20of%20Alaska/AK%20State%20of%20Alaska%202022.pdf,-9904469000,2334810000,-1978984000,0.12412305857652922,AK,31574,2020,General Purpose,14129014000,5911223000,89104922000,0,185848000,10237800000,9104519000,0,733378,475967,64.899487449396,78437,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AK/State%20of%20Alaska/AK%20State%20of%20Alaska%202020.pdf,-7044504000,4657026000,-12349000,0.15856603297402583,-8.042974548684006,0.3484476900972946,-3.7781945339819103,-159.25459551380678,-49.86478495073895,-0.13037668436959712,0.17474229986980966,-0.21721533768293613,-0.40598529009281564,-14.6111,2,-14.6111,0.3739494354362023,21.661253575064237
AZ,Arizona,40623,04,2022,Arizona,General Purpose,24785156000,7179513000,71928237000,23549222000,513983000,54175737000,62720722000,0,7151507,6385230,89.2851599566077,68967,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/State%20of%20Arizona/AZ%20State%20of%20Arizona%202022.pdf,1365472000,4005498000,1034461000,0.34458172525485364,AZ,40623,2020,General Purpose,24362565000,6148699000,55087793000,0,463129000,47285392000,48198360000,0,7151507,6385230,89.2851599566077,68967,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/State%20of%20Arizona/AZ%20State%20of%20Arizona%202020.pdf,-5235731000,5470494000,1245256000,0.44224979207281,1.7345915752302765,0.16764749746247132,14.571825903441807,-0.1692784455565763,-26.77995808056823,0.3013040692670871,0.3057019183905226,-0.22084366927611068,1.260798730874447,-7.171309,4,-7.171309,41.62420077895949,-1.291870667506906
AR,Arkansas,49082,05,2022,Arkansas,General Purpose,10589316000,2815654000,35503018000,14836593000,480268000,25897732000,29551130000,0,3011555,1670677,55.476131022034,52577,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AR/State%20of%20Arkansas/AR%20State%20of%20Arkansas%202022.pdf,837744000,809251000,1556019000,0.2982652348034187,AR,49082,2020,General Purpose,13143393000,2375534000,30382630000,0,290683000,24808284000,25838329000,0,3011555,1670677,55.476131022034,52577,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AR/State%20of%20Arkansas/AR%20State%20of%20Arkansas%202020.pdf,-1345489000,2300436000,2914449000,0.43259563112212474,-19.432402272381264,0.18527202725787129,4.391468591701062,-0.4661018257653505,-64.82184246812344,0.14369354148250066,0.16853011079027722,-0.3105218514811668,1.6226316231496505,-31.50176,5,-31.50176,-15.566386883495802,-41.017499636434145
CA,California,31665,06,2022,California,General Purpose,498154488000,225501569000,467861788000,280842360000,5701391000,455306389000,477412465000,-255075689000,39538245,37259490,94.2366327389068,84831,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/State%20of%20California/CA%20State%20of%20California%202022.pdf,-203395493000,54169128000,94283183000,1.064747112880268,CA,31665,2020,General Purpose,408305319000,103649199000,340835100000,163031521000,4401397000,386953774000,386615995000,-228917134000,39538245,37259490,94.2366327389068,84831,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/State%20of%20California/CA%20State%20of%20California%202020.pdf,-103986978000,92089623000,90486960000,1.1979556066848749,22.00538783576317,1.175622881562259,17.66428436488127,0.041953260447693236,-41.177815441811504,0.23484923328120452,0.372692507315121,-0.1111965193545338,-0.955970804344367,25.74527,6,25.74527,50,37.15885404042852
CO,Colorado,31946,08,2022,Colorado,General Purpose,37103515000,14785219000,61214825000,30383358000,704550000,45060065000,47079793000,0,5773733,4966936,86.0267065531822,82228,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/State%20of%20Colorado/CO%20State%20of%20Colorado%202022.pdf,-12765491000,8410864000,1567351000,0.6061197593883508,CO,31946,2020,General Purpose,28766869000,6879722000,45911546000,0,639545000,39237837000,41175254000,0,5773733,4966936,86.0267065531822,82228,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/State%20of%20Colorado/CO%20State%20of%20Colorado%202020.pdf,-4942305000,11375438000,1085487000,0.6265715600167331,28.980025598197706,1.1491012282182331,14.838300082647269,0.44391503537122046,-26.061185512153468,0.14340018400372223,0.33332092541601627,-0.032640805828844315,-1.582902309752231,6.750234,8,6.750234,36.11227479690136,30.849774589170593
CT,Connecticut,149448,09,2022,Connecticut,General Purpose,97471207000,7972469000,48109469000,21004440000,721487000,40578862000,44357964000,-64629884000,3605942,3110153,86.2507293513155,83628,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CT/State%20of%20Connecticut/CT%20State%20of%20Connecticut%202022.pdf,-4193367000,36132877000,20916477000,2.0260295743442938,CT,149448,2020,General Purpose,97821884000,3388016000,37879536000,0,728321000,37155281000,35717659000,-64317606000,3605942,3110153,86.2507293513155,83628,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CT/State%20of%20Connecticut/CT%20State%20of%20Connecticut%202020.pdf,-4825638000,39840819000,23023169000,2.5824467332440397,-0.35848522402206034,1.3531379426779566,9.214251400763192,-0.09150312886987887,-9.306892009423802,0.2419056915236242,0.2700648973102522,-0.21546123361885616,0.13102329681588218,12.14592,9,12.14592,36.491226688711805,34.24305589219061
DE,Delaware,32212,10,2022,Delaware,General Purpose,17470769000,2150773500,19049452000,6308650000,226132200,11455407000,13284872000,-6950619000,989957,817817,82.6121170000849,71636,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/DE/State%20of%20Delaware/DE%20State%20of%20Delaware%202022.pdf,-321308500,-823054000,9319243000,0.9171271173574966,DE,32212,2020,General Purpose,15909284000,1987209000,14570384000,3812406000,212001100,10343377000,10496375000,-8420152000,989957,817817,82.6121170000849,71636,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/DE/State%20of%20Delaware/DE%20State%20of%20Delaware%202020.pdf,-1834211000,1830072000,7347246000,1.0918918815042897,9.81492944622775,0.08230865500307215,10.751130892744216,0.2683994792062223,-144.97385895199753,0.2656628597968346,0.30740905661786266,-0.16005683997395534,0.8248246793853051,13.92317,10,13.92317,30.336232440120853,5.177177759464833
FL,Florida,32221,12,2022,Florida,General Purpose,61828638000,11499144000,204321276000,10258964000,811959000,107066144000,132913030000,8890639000,21538226,19714806,91.534194591216007,63054,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/State%20of%20Florida/FL%20State%20of%20Florida%202022.pdf,14347742000,3506978000,7283350000,0.3026049915624059,FL,32221,2020,General Purpose,72860317000,9369672000,169933513000,0,805146000,104272398000,105839544000,-14704895000,21538226,19714806,91.534194591216007,63054,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/State%20of%20Florida/FL%20State%20of%20Florida%202020.pdf,-7802526000,8789980000,9146494000,0.4287577871705624,-15.1408605592534,0.22727284370253303,2.679276638482986,-0.20370034682141594,-60.102548583728286,0.2557974550608419,0.20236010185936662,-0.2942285816909774,2.838858595280554,-7.396878,12,-7.396878,45.42861683229759,-15.62363662804789
GA,Georgia,1265711,13,2022,Georgia,General Purpose,40723358000,15133639000,87837882000,42437008000,728599000,65650334000,77881358000,0,10711937,7933986,74.0669729426354,66507,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/GA/State%20of%20Georgia/GA%20State%20of%20Georgia%202022.pdf,-2902615000,3444652000,4732067000,0.46361953490636304,GA,1265711,2020,General Purpose,42898593000,14141466000,67357098000,0,682156000,65496453000,65986964000,-10629743000,10711937,7933986,74.0669729426354,66507,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/GA/State%20of%20Georgia/GA%20State%20of%20Georgia%202020.pdf,-13650955000,7781239000,5370461000,0.6368830349549798,-5.070644158422632,0.0701605477112486,0.23494554735658738,-0.11887135946057517,-55.73131733905101,0.18025369374472205,0.30406274332068167,-0.2720491684330459,0.7873690888293163,-7.357549,13,-7.357549,15.881460276992584,-7.254350671384948
