"","state","name","id","ncesID","state.abb","enrollment_20","enrollment_21","enrollment_22","government_level"
"1","CA","Tracy Unified School District","146712","0600047","CA",14548,14287,14113,"school district"
"2","NJ","Scotch Plains-Fanwood Regional School District","43466","3414670","NJ",5631,5437,5534,"school district"
"3","CA","San Ysidro School District","146615","0635220","CA",4475,4419,4264,"school district"
"4","CA","Brea Olinda Unified School District","145960","0605880","CA",6085,5990,5866,"school district"
"5","CA","Bass Lake Joint Union Elementary School District","145919","0604080","CA",891,814,846,"school district"
"6","CA","Big Oak Flat-Groveland Unified School District","145938","0691137","CA",298,278,318,"school district"
"7","NH","Hinsdale, New Hampshire School District","81897","3303780","NH",533,531,533,"school district"
"8","AR","Lakeside School District No. 9","98728","0508670","AR",3570,3494,3430,"school district"
"9","CA","Guadalupe Union School District","146190","0616260","CA",1289,1270,1286,"school district"
"10","NH","Salem, New Hampshire School District","48086","3306060","NH",3550,3519,3580,"school district"
"11","NJ","South River Borough Board of Education","35819","3415390","NJ",2361,2325,2399,"school district"
"12","TX","Cleveland Independent School District","39071","4814370","TX",7589,8888,10860,"school district"
"13","PA","The Solanco School District","38037","4221810","PA",3294,3182,3110,"school district"
"14","CA","Santa Barbara Unified School District","146619","0601414","CA",13490,13188,12849,"school district"
"15","NE","Platte County School District No.1 Columbus Public Schools","108922","3105340","NE",4204,4159,4094,"school district"
"16","MI","Battle Creek Public Schools","34367","2600005","MI",3821,3739,3850,"school district"
"17","MI","Forest Hills Public Schools","34477","2614610","MI",9726,9365,9339,"school district"
"18","MI","Garden City Public Schools","34672","2615540","MI",3595,3352,3173,"school district"
"19","MI","Greenville Public Schools","34550","2617160","MI",3657,3553,3630,"school district"
"20","MS","Coahoma County School District","34997","2801110","MS",1173,1121,1057,"school district"
"21","CA","Tehachapi Unified School District","146702","0638880","CA",4236,3971,4134,"school district"
"22","CA","Tahoe Truckee Unified School District","146700","0638770","CA",3981,3945,3953,"school district"
"23","CA","Taft City School District","146698","0638700","CA",2388,2322,2398,"school district"
