"","state.abb","state.name","id","geo_id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","population","median_hh_income_21"
"1","NY","New York",36037,"3663000",2020,"rochester",2283161000,192893000,254732000,0,1477364000,0,1501004000,0,0,834480000,717737000,211321,41980
"2","OK","Oklahoma",125837,"4055000",2020,"oklahoma city",2204253000,125893000,288492000,11458000,425090000,0,4635404000,0,92640000,1009813000,1077290000,681084,59214
"3","AZ","Arizona",31634,"0446000",2020,"mesa",3946213000,316334000,908215779,0,907417000,0,4566939000,0,33980000,1072009000,1110314000,504300,69266
"4","AZ","Arizona",31636,"0455000",2020,"phoenix",13930794000,770903000,4963845000,0,206308000,61488000,19151463000,0,168066000,4117422000,4219483000,1608190,68435
"5","AZ","Arizona",31633,"0412000",2020,"chandler",993301804,38727213,293895280,0,53112727,0,2430590211,0,15199811,507986971,577349614,276010,94613
"6","AZ","Arizona",44287,"0427820",2020,"glendale",1364207000,74510000,379276000,0,3126000,1711000,2171283000,0,34513000,467437000,552856000,248374,62910
"7","AZ","Arizona",31637,"0465000",2020,"scottsdale",1672194000,105699000,352019000,0,2177000,0,7014292000,0,31911000,645919000,802015000,241339,99097
"8","AZ","Arizona",31644,"0477000",2020,"tucson",2732347205,229636476,1365520009,0,202517172,0,4646345561,0,45516967,1104971593,1303599945,542656,50306
"9","NY","New York",122258,"3651000",2020,"new york",305300557000,30607669000,46376874000,0,109456918000,0,115820000000,0,5693120000,99906460000,95921699000,8804194,67997
"10","CA","California",31856,"0613392",2020,"chula vista",596108688,24799864,334945720,0,25079014,0,2057229974,0,11046493,313016568,390392795,275500,91949
"11","CA","California",54175,"0667000",2020,"city and county of san francisco",34557584000,5610057000,4655538000,0,3903016000,0,43647220000,0,332989000,12023583000,12519966000,873959,121826
"12","CA","California",31784,"0643000",2020,"long beach",5018598000,381852000,1205496000,0,9655000,0,11068728000,0,0,1771011000,1908857000,466775,73905
