"","state.abb","state.name","geo_id","id","year","name","total_liabilities","net_pension_liability","net_opeb_liability","current_liabilities","net_pension_assets","net_opeb_assets","expenses","revenues","population","median_hh_income_21"
"1","AL","Alabama","0137000",31569,2022,"huntsville",1392121153,195197117,62796537,101586047,0,0,511722538,628227515,215052,70757
"2","FL","Florida","1245000",398462,2022,"miami",3111775783,1301418710,777314329,228491399,0,0,1213665001,1227856410,442260,48789
"3","OH","Ohio","3915000",36933,2022,"cincinnati",2670728000,955536000,78113000,128421000,0,139255000,739549000,1164707000,309561,42733
"4","TX","Texas","4845000",38693,2022,"lubbock",1921731747,99473975,154946406,142484404,0,0,783128409,943795736,257157,54747
"5","VA","Virginia","5157000",230389,2022,"norfolk",2142201352,38108794,116281900,265062165,0,0,854621404,1077165019,238001,58591
"6","VA","Virginia","5116000",230275,2022,"chesapeake",1015516870,69545639,46144784,64408805,0,101954,881782932,964023667,249415,88815
"7","VA","Virginia","5167000",230420,2022,"richmond",2499202932,257171812,24127873,338178896,0,0,1136065971,1333625718,226618,51770
"8","VA","Virginia","5182000",230476,2022,"virginia beach",2142426048,260062702,99991906,213021020,0,0,1611648398,1778892587,459471,81634
"9","OK","Oklahoma","4075000",37344,2022,"tulsa",1214772000,236765000,3211000,64654000,0,0,595755000,713325000,413123,51008
"10","CA","California","0648354",31888,2022,"modesto",758381147,249803716,29551870,102228811,0,0,351189192,433850844,218467,70469
"11","NC","North Carolina","3775000",36708,2022,"winston-salem",1160941196,89185304,1459209,53162489,0,0,408422629,493591689,249562,54228
"12","KS","Kansas","2079000",33468,2022,"wichita",1642844484,0,35568000,151871867,49328335,0,613313810,742562142,397547,56293
"13","MD","Maryland","2404000",33980,2022,"baltimore",8977765000,1284106000,102595000,1408246000,12630000,0,2753576000,3383352000,585693,54652
"14","NV","Nevada","3251800",35520,2022,"north las vegas",773407052,149081779,86225700,78396333,0,0,416998398,605379828,259520,67035
"15","TN","Tennessee","4748000",38563,2022,"memphis",4889827000,555464000,662704000,647971000,0,0,3063010000,3167317000,631539,44317
"16","OK","Oklahoma","4055000",125837,2022,"oklahoma city",2377773000,173541000,419069000,127420000,230032000,0,921587000,1155865000,681084,59214
"17","FL","Florida","1253000",148141,2022,"orlando",1568238037,130635034,271036950,123244285,0,0,978184721,1158430180,307683,54167
"18","NM","New Mexico","3502000",35917,2022,"albuquerque",2129715209,576889743,257870420,222446271,0,0,1169378012,1248211437,564581,58512
"19","AZ","Arizona","0465000",31637,2022,"scottsdale",1533417000,309646000,831000,214160000,0,0,681369000,958854000,241339,99097
"20","CA","California","0662000",31836,2022,"riverside",2363237000,0,48770000,219146000,140293000,0,874383000,1046226000,315014,76558
"21","CA","California","0669000",31826,2022,"santa ana",1403334770,498809640,54557539,243770826,0,0,547814505,657316282,310555,80265
"22","CA","California","0643000",31784,2022,"long beach",4933926000,1305415000,4165000,372234000,0,0,3682388000,2485542000,466775,73905
"23","CO","Colorado","0816000",31999,2022,"colorado springs",3731698820,56124000,63978000,367653659,80045963,0,1538570279,2177472250,479016,74579
"24","FL","Florida","1271000",32297,2022,"tampa",2035173450,139826968,70312514,213067690,0,0,1072267048,1151864558,384661,63404
"25","IL","Illinois","1714000",32795,2022,"chicago",73965305000,35436606000,1835039000,6226434000,0,0,13358525000,12848126000,2746352,66576
"26","NC","North Carolina","3728000",36710,2022,"greensboro",1236425979,62478040,118633659,167739658,0,0,627276857,665049342,299101,51825
"27","NE","Nebraska","3137000",35443,2022,"omaha",3372148632,975536427,505771438,207219201,0,0,931958486,1218859384,491743,62948
