"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","bonds_outstanding","loans_outstanding","notes_outstanding","population","urban_pop","pct_urban_pop","median_hh_income_21","url"
"1","MO","Missouri",35117,"29189",2020,"st louis county","General Purpose",1099837660,161735874,324443093,0,0,0,2138938727,0,46493765,920256114,870844379,-329679971,412169399,6199946,126172449,1004310,990523,0.986453877754264,72507,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MO/St.%20Louis%20County/MO%20St.%20Louis%20County%202020.pdf"
"2","OK","Oklahoma",37333,"40143",2020,"tulsa county","General Purpose",248720189,16143588,101018575,0,3994591,0,614212270,0,6144609,216565063,329527316,0,103982424,0,585471,669272,634925,0.948670136071803,59232,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OK/Tulsa%20County/OK%20Tulsa%20County%202020.pdf"
"3","GA","Georgia",198256,"13135",2020,"gwinnett county","General Purpose",1455596000,201771000,213317000,0,39204000,0,9184759000,0,37518000,1325535000,1697363000,0,701609000,0,31352000,957027,952537,0.995271988648593,75021,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/GA/Gwinnett%20County/GA%20Gwinnett%20County%202020.pdf"
"4","NY","New York",36008,"36103",2020,"suffolk county","General Purpose",12322349989,614044114,1104493609,0,6901030000,0,5650975783,0,511243404,3579014653,3589705708,0,1674099719,0,717506197,1525936,1495948,0.980358079060501,112681,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NY/Suffolk%20County/NY%20Suffolk%20County%202020.pdf"
"5","NJ","New Jersey",1036493,"34023",2020,"middlesex county","General Purpose",30887865,30887865,177540900,0,1171909109,0,185130805,0,0,670746438,689147555,0,215265000,30485505,36478000,863183,854733,0.990234741566473,98992,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NJ/Middlesex%20County/NJ%20Middlesex%20County%202020.pdf"
"6","AZ","Arizona",31617,"04013",2020,"maricopa county","General Purpose",2834203888,553067960,1876917812,0,3209316,16637315,6308842833,0,0,2226634981,2499817863,-719229338,0,31410428,0,4420574,4318689,0.976953414131397,76230,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Maricopa%20County/AZ%20Maricopa%20County%202020.pdf"
"7","CA","California",149446,"06001",2020,"alameda county","General Purpose",4327169000,921772000,1785396000,0,173413000,0,6519073000,0,84391000,3251961000,3470053000,485135000,1310807000,24201000,0,1682331,1674100,0.995094370800896,108971,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Alameda%20County/CA%20Alameda%20County%202020.pdf"
"8","AZ","Arizona",31619,"04019",2020,"pima county","General Purpose",1970239000,171786000,776192000,0,4058000,4588000,4066257000,0,40446000,1079855000,1188854000,0,722521000,0,2869000,1043434,951173,0.911580331463544,60604,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Pima%20County/AZ%20Pima%20County%202020.pdf"
"9","CA","California",31677,"06019",2020,"fresno county","General Purpose",2161228000,257422000,1054510000,0,0,0,2338527000,0,53630000,1687732000,1757231000,-441765000,356601000,278550000,0,1008650,895029,0.88734987418877,63140,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Fresno%20County/CA%20Fresno%20County%202020.pdf"
"10","CA","California",165557,"06013",2020,"contra costa county","General Purpose",2611861000,556090000,677976000,0,523933000,236000,3764587000,0,92573000,3423666000,3738705000,0,126605000,0,1080000,1165927,1154266,0.989998516202129,110595,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Contra%20Costa%20County/CA%20Contra%20Costa%20County%202020.pdf"
"11","CA","California",146252,"06029",2020,"kern county","General Purpose",2747291000,227726000,1804165000,0,42679000,0,3641175000,0,95105000,1845376000,1848241000,0,232460000,13509000,0,909244,787826,0.866471264304608,57926,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Kern%20County/CA%20Kern%20County%202020.pdf"
"12","CA","California",31687,"06037",2020,"los angeles county","General Purpose",52768946000,5617736000,11560668000,0,25921499000,0,37390440000,0,2072486000,28398515000,29454082000,-33831196000,2737062000,0,384066000,10014042,9924789,0.991090481344684,77356,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Los%20Angeles%20County/CA%20Los%20Angeles%20County%202020.pdf"
