"","state.abb","state.name","id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","ncesID","name_nces","enrollment_20","fte_20","revenue_nces_20","expenditure_nces_20","enrollment_21","fte_21","revenue_nces_21","expenditure_nces_21","county","city","zip","zip4","locale","latitude","longitude","congresstional_code","metro_code","enrollment_22","fte_22","url"
"1","AL","Alabama","1017229",2020,"mobile county board of school commissioners","School District",1056213930,43271587,481601000,0,214694867,0,810156898,0,"5710548",557351638,613625515,0,"0102370","mobile county",53941,2973.4,"609296000","582822000",52460,2960.79,"675221000","623151000","Mobile County","Mobile",36618,"69","12-City: Mid-size",30.718638,-88.219762,101,"1-Metropolitan Area",52614,2608.55,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/AL/Mobile%20County%20Board%20of%20School%20Commissioners/AL%20Mobile%20County%20Board%20of%20School%20Commissioners%202020.pdf"
"2","AL","Alabama","1017229",2021,"mobile county board of school commissioners","School District",1215465785,0,518336000,0,325912829,0,873363316,0,"0",601906067,678544537,0,"0102370","mobile county",53941,2973.4,"609296000","582822000",52460,2960.79,"675221000","623151000","Mobile County","Mobile",36618,"69","12-City: Mid-size",30.718638,-88.219762,101,"1-Metropolitan Area",52614,2608.55,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/AL/Mobile%20County%20Board%20of%20School%20Commissioners/AL%20Mobile%20County%20Board%20of%20School%20Commissioners%202021.pdf"
"3","AL","Alabama","1017229",2022,"mobile county board of school commissioners","School District",1117729692,66264380,393780000,0,255091005,0,1052498084,517152716,"5487894",637702637,767151946,0,"0102370","mobile county",53941,2973.4,"609296000","582822000",52460,2960.79,"675221000","623151000","Mobile County","Mobile",36618,"69","12-City: Mid-size",30.718638,-88.219762,101,"1-Metropolitan Area",52614,2608.55,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/AL/Mobile%20County%20Board%20of%20School%20Commissioners/AL%20Mobile%20County%20Board%20of%20School%20Commissioners%202022.pdf"
"4","AL","Alabama","1017229",2023,"mobile county board of school commissioners","School District",1188580106,96443215,639863000,NA,92606009,NA,1109160175,537040419,"5744957",704914107,799345189,-707695206,"0102370","mobile county",53941,2973.4,"609296000","582822000",52460,2960.79,"675221000","623151000","Mobile County","Mobile",36618,"69","12-City: Mid-size",30.718638,-88.219762,101,"1-Metropolitan Area",52614,2608.55,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/AL/Mobile%20County%20Board%20of%20School%20Commissioners/AL%20Mobile%20County%20Board%20of%20School%20Commissioners%202023.pdf"
"5","AZ","Arizona","30554",2020,"mesa unified school district no. 4","School District",897959189,70493673,468531459,0,0,0,948737617,0,"17681562",618205248,644754580,-302081999,"0404970","mesa unified district (4235)",62703,3274.31,"630987000","619835000",57956,3321.27,"704867000","681325000","Maricopa County","MESA",85201,"7422","11-City: Large",33.4147,-111.829291,409,"1-Metropolitan Area",58859,3476.15,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/AZ/Mesa%20Unified%20School%20District%20No.%204/AZ%20Mesa%20Unified%20School%20District%20No.%204%202020.pdf"
"6","AZ","Arizona","30554",2021,"mesa unified school district no. 4","School District",1014094248,72811015,567135119,0,0,0,1011255254,0,"19761126",667939010,702988195,-293918253,"0404970","mesa unified district (4235)",62703,3274.31,"630987000","619835000",57956,3321.27,"704867000","681325000","Maricopa County","MESA",85201,"7422","11-City: Large",33.4147,-111.829291,409,"1-Metropolitan Area",58859,3476.15,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/AZ/Mesa%20Unified%20School%20District%20No.%204/AZ%20Mesa%20Unified%20School%20District%20No.%204%202021.pdf"
"7","AZ","Arizona","30554",2022,"mesa unified school district no. 4","School District",933067958,74023084,438021553,0,0,0,1102147366,479130145,"19432204",737710699,770276105,-297714476,"0404970","mesa unified district (4235)",62703,3274.31,"630987000","619835000",57956,3321.27,"704867000","681325000","Maricopa County","MESA",85201,"7422","11-City: Large",33.4147,-111.829291,409,"1-Metropolitan Area",58859,3476.15,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/AZ/Mesa%20Unified%20School%20District%20No.%204/AZ%20Mesa%20Unified%20School%20District%20No.%204%202022.pdf"
"8","AZ","Arizona","30554",2023,"mesa unified school district no. 4","School District",972722570,98220494,554121446,NA,NA,NA,1122193486,437939394,"21530846",808399991,887883620,-283710832,"0404970","mesa unified district (4235)",62703,3274.31,"630987000","619835000",57956,3321.27,"704867000","681325000","Maricopa County","MESA",85201,"7422","11-City: Large",33.4147,-111.829291,409,"1-Metropolitan Area",58859,3476.15,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/AZ/Mesa%20Unified%20School%20District%20No.%204/AZ%20Mesa%20Unified%20School%20District%20No.%204%202023.pdf"
"9","CA","California","146048",2020,"corona-norco unified school district","School District",1511591818,75662863,625815620,0,76877208,0,1385029429,0,"5101062",740906139,699973014,0,"0609850","corona-norco unified",52557,0,"695202000","710246000",51318,2062.96,"759981000","697555000","Riverside County","Norco",92860,"1903","12-City: Mid-size",33.922685,-117.561634,642,"1-Metropolitan Area",50889,2076.56,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Corona-Norco%20Unified%20School%20District/CA%20Corona-Norco%20Unified%20School%20District%202020.pdf"
"10","CA","California","146048",2021,"corona-norco unified school district","School District",1563044372,82221053,671097338,0,91005083,0,1425646414,0,"4156266",746641507,755110226,-513588764,"0609850","corona-norco unified",52557,0,"695202000","710246000",51318,2062.96,"759981000","697555000","Riverside County","Norco",92860,"1903","12-City: Mid-size",33.922685,-117.561634,642,"1-Metropolitan Area",50889,2076.56,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/School%20District/CA/Corona-Norco%20Unified%20School%20District/CA%20Corona-Norco%20Unified%20School%20District%202021.pdf"
