"","ncesID","id","year","name","total_liabilities","net_pension_liability","net_opeb_liability","net_pension_assets","net_opeb_assets","expenses","revenues","state.name","state.abb","enrollment_20","fte_20","revenue_nces_20","expenditure_nces_20","enrollment_21","fte_21","revenue_nces_21","expenditure_nces_21","county","city","zip","zip4","locale","latitude","longitude","congresstional_code","metro_code","enrollment_22","fte_22"
"1","1201560","69989",2020,"District School Board of Pinellas County",931076698,608061187,52281715,0,0,1165276481,1129321171,"Florida","FL",99772,7379.84,1112631000,1159835000,96068,6829.44,1203245000,1231545000,"Pinellas County","LARGO",33770,3536,"11-City: Large",27.914041,-82.793562,1213,"1-Metropolitan Area",95446,6007.53
"2","2102990","33679",2020,"Jefferson County Board of Education",1662666688,534348849,431036181,0,0,1591239863,1572818250,"Kentucky","KY",100348,6160.96,1491611000,1564381000,95911,6236.39,1599691000,1603292000,"Jefferson County","Louisville",40218,NA,"11-City: Large",38.1995,-85.6851,2103,"1-Metropolitan Area",94393,6223.52
"3","1201080","32402",2020,"The School District of Lee County",1278007845,486925058,50552528,0,0,1102540344,1150757420,"Florida","FL",95613,5194.6,1161742000,1103854000,94927,5156.15,1185267000,1151329000,"Lee County","FORT MYERS",33966,1012,"21-Suburb: Large",26.5997,-81.8536,1219,"1-Metropolitan Area",97264,5170.54
"4","2400480","33968",2020,"Montgomery County Public Schools",3663139490,554333453,2616173765,0,0,3093834900,3195067624,"Maryland","MD",165267,11289.73,3473558000,3261751000,160564,11510.59,3587838000,3183090000,"Montgomery County","Rockville",20850,NA,"21-Suburb: Large",39.095191,-77.158219,2408,"1-Metropolitan Area",158231,11605.84
"5","1201530","148148",2020,"Pasco County District School Board",1220077040,397711685,98611974,220109,0,801681147,823883566,"Florida","FL",76661,4650.93,819581000,807965000,77125,4790.18,888274000,928434000,"Pasco County","LAND O LAKES",34638,2826,"21-Suburb: Large",28.262694,-82.477158,1212,"1-Metropolitan Area",81157,4711.88
"6","1201230","148130",2020,"Manatee County District School Board",651729633,278088728,11302048,0,0,638104506,618558687,"Florida","FL",50088,2945.63,606069000,604864000,49181,2856.84,642636000,618914000,"Manatee County","BRADENTON",34205,8840,"21-Suburb: Large",27.494847,-82.564795,1216,"1-Metropolitan Area",50248,2928.34
"7","3700011","36539",2020,"Cumberland County Board of Education",746287666,183778157,490843482,0,676022,517377178,508669063,"North Carolina","NC",50750,3421.89,511445000,515721000,49278,3434.3,508036000,532708000,"Cumberland County","Fayetteville",28306,NA,"12-City: Mid-size",35.0142,-78.896331,3709,"1-Metropolitan Area",48860,3516.85
"8","1500030","71050",2020,"Hawaii Department of Education",568157654,0,0,0,0,3261774036,3449583662,"Hawaii","HI",181088,12220.77,3396555000,3214490000,176441,12145.4,3241890000,3115265000,"Honolulu County","Honolulu",96813,NA,"21-Suburb: Large",21.309338,-157.855285,1501,"1-Metropolitan Area",173178,12026.2
"9","2400120","171323",2020,"Board of Education of Baltimore County",2428010000,137969000,2045949000,0,0,2125318000,1955757000,"Maryland","MD",115038,7629.7,2001257000,1948149000,111084,7821.41,2000658000,1930683000,"Baltimore County","Towson",21204,NA,"21-Suburb: Large",39.404025,-76.63021,2403,"1-Metropolitan Area",111136,7684.77
"10","1201740","196483",2020,"St. Johns County School District",510351766,212334986,26203755,0,0,457213491,517943041,"Florida","FL",43628,2427.1,485351000,466766000,44550,2445.77,529241000,545492000,"St. Johns County","ST AUGUSTINE",32084,3633,"41-Rural: Fringe",29.897871,-81.315877,1204,"1-Metropolitan Area",48032,2600.17
"11","2400090","44313",2020,"Baltimore City Public School System",426185000,0,0,0,0,1446826000,1711671000,"Maryland","MD",79187,4932.9,1708612000,1647371000,77856,5063.13,1672842000,1609484000,"Baltimore city","Baltimore",21202,NA,"11-City: Large",39.312016,-76.613209,2407,"1-Metropolitan Area",77807,5109.6
"12","3701500","196971",2020,"Winston-Salem/Forsyth County Schools-Board of Education",895217484,213912827,605527697,0,785188,604705844,604938088,"North Carolina","NC",54566,3765.57,560848000,577002000,51843,3635.2,581315000,624108000,"Forsyth County","Winston Salem",27105,NA,"12-City: Mid-size",36.17996,-80.281211,3705,"1-Metropolitan Area",52681,3593.91
"13","1200390","69706",2020,"The School Board of Miami-Dade County",6325737000,1948945000,201343000,0,0,4314370000,4120010000,"Florida","FL",347307,18373,4055452000,4111909000,334261,16758,4324851000,4158104000,"Miami-Dade County","MIAMI",33132,1308,"21-Suburb: Large",25.78893,-80.190942,1224,"1-Metropolitan Area",328589,17365
"14","0803360","1237862",2020,"City And County of Denver School District No. 1",3548501249,400400429,54122079,0,0,1413151847,1560645403,"Colorado","CO",92143,6149.47,1588186000,1605362000,89081,6120.67,1615429000,1593940000,"Denver County","DENVER",80203,2996,"11-City: Large",39.74575,-104.985751,801,"1-Metropolitan Area",88911,6140.88
"15","1201470","198253",2020,"Osceola County District School Board",629910852,297815602,15687722,0,0,709946823,795253071,"Florida","FL",69925,4045.71,783041000,728329000,68640,3925.91,840959000,743210000,"Osceola County","KISSIMMEE",34744,4492,"21-Suburb: Large",28.298868,-81.361335,1209,"1-Metropolitan Area",72427,3600.57
"16","1709930","198265",2020,"Chicago Board of Education",27536280000,14127342000,2554892000,0,0,8034274000,6953478000,"Illinois","IL",347484,21943.44,6933320000,7130321000,341382,NA,7446508000,7481077000,"Cook County","Chicago",60602,4413,"11-City: Large",41.882233,-87.628809,1707,"1-Metropolitan Area",329836,22797.43
"17","0634320","146593",2020,"San Diego Unified School District",6421488110,1449568000,135880213,0,0,1875674718,1987911916,"California","CA",102270,0,2101817000,2309589000,97968,4266.88,2239718000,2247111000,"San Diego County","San Diego",92103,2682,"11-City: Large",32.754564,-117.147475,653,"1-Metropolitan Area",95233,4289.35
"18","0609850","146048",2020,"Corona-Norco Unified School District",1511591818,625815620,76877208,0,0,740906139,699973014,"California","CA",52557,0,695202000,710246000,51318,2062.96,759981000,697555000,"Riverside County","Norco",92860,1903,"12-City: Mid-size",33.922685,-117.561634,642,"1-Metropolitan Area",50889,2076.56
