"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","population","median_hh_income_21","url"
"1","NY","New York",36037,"3663000",2020,"rochester","General Purpose",2283161000,192893000,254732000,0,1477364000,0,1501004000,0,0,834480000,717737000,0,211321,41980,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NY/Rochester/NY%20Rochester%202020.pdf"
"2","NY","New York",36050,"3673000",2020,"syracuse","General Purpose",1774033514,79798135,190044852,29560359,748954550,0,0,0,15404574,730589004,802986886,0,148608,40076,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NY/Syracuse/NY%20Syracuse%202020.pdf"
"3","AR","Arkansas",43357,"0541000",2020,"little rock","General Purpose",466946359,37505897,239668156,0,14379270,0,0,0,34133594,336455421,327313633,-173592979,202562,53565,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AR/Little%20Rock/AR%20Little%20Rock%202020.pdf"
"4","OK","Oklahoma",125837,"4055000",2020,"oklahoma city","General Purpose",2204253000,125893000,288492000,11458000,425090000,0,4635404000,0,92640000,1009813000,1077290000,0,681084,59214,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OK/Oklahoma%20City/OK%20Oklahoma%20City%202020.pdf"
"5","AZ","Arizona",31634,"0446000",2020,"mesa","General Purpose",3946213000,316334000,908215779,0,907417000,0,4566939000,0,33980000,1072009000,1110314000,-581039000,504300,69266,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Mesa/AZ%20Mesa%202020.pdf"
"6","AZ","Arizona",31635,"0454050",2020,"peoria","General Purpose",560600727,54822565,185813626,0,350360,341781,0,0,14380730,331980642,375677315,112293959,190966,92566,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Peoria/AZ%20Peoria%202020.pdf"
"7","AZ","Arizona",31636,"0455000",2020,"phoenix","General Purpose",13930794000,770903000,4963845000,0,206308000,61488000,19151463000,0,168066000,4117422000,4219483000,-2474358000,1608190,68435,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Phoenix/AZ%20Phoenix%202020.pdf"
"8","AZ","Arizona",31633,"0412000",2020,"chandler","General Purpose",993301804,38727213,293895280,0,53112727,0,2430590211,0,15199811,507986971,577349614,0,276010,94613,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Chandler/AZ%20Chandler%202020.pdf"
"9","AZ","Arizona",44287,"0427820",2020,"glendale","General Purpose",1364207000,74510000,379276000,0,3126000,1711000,2171283000,0,34513000,467437000,552856000,0,248374,62910,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Glendale/AZ%20Glendale%202020.pdf"
"10","AZ","Arizona",31637,"0465000",2020,"scottsdale","General Purpose",1672194000,105699000,352019000,0,2177000,0,7014292000,0,31911000,645919000,802015000,325693000,241339,99097,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Scottsdale/AZ%20Scottsdale%202020.pdf"
"11","CA","California",31831,"0616350",2020,"corona","General Purpose",529427631,46535398,253468550,0,95178856,0,0,0,9508026,273895778,333696880,0,157154,92606,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Corona/CA%20Corona%202020.pdf"
"12","AZ","Arizona",31639,"0471510",2020,"surprise","General Purpose",266262429,35447131,101710680,0,253425,301608,0,0,9486691,225805341,297046106,80497658,143158,78411,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Surprise/AZ%20Surprise%202020.pdf"
