"","state.abb","name","id","year","geo_id","n"
"1","PA","montgomery county",164478,2020,"42091",2
"2","PA","montgomery county",164478,2021,"42091",2
"3","MA","norfolk county",116575,2020,"25021",2
"4","MA","norfolk county",116575,2021,"25021",2
"5","MA","bristol county",1240524,2022,"25005",1
"6","NJ","union county",40886,2021,"34039",2
"7","NJ","union county",40886,2022,"34039",2
"8","IN","lake county",401549,2020,"18089",2
"9","IN","lake county",401549,2021,"18089",2
"10","AL","mobile county",40888,2020,"01097",2
"11","AL","mobile county",40888,2022,"01097",2
