"","state.abb","name_census","population","geo_id","source_year","state.name","name","government_id","id","nces_district_id","year","category","identifier","current_assets","net_pension_assets","non_current_assets","net_opeb_assets","total_assets","net_pension_liability","net_opeb_liability","current_portion_long_term_liabilities","compensated_absences","current_liabilities","total_liabilities","bonds_outstanding","loans_outstanding","notes_outstanding","total_net_position_governmental","total_net_position_business","total_net_position","unrestricted","expenses","charges_for_services","operating_grants","capital_grants","general_revenue","activities_change_in_net_position","cash","receivables","revenues","name_midfile","flg_acfr","flg_muni","flg_county"
"1","NY","new york city",8804194,"3651000","2023","New York","new york","33203100100000",122258,NA,2023,"General Purpose","NY New York 2023",66584833000,NA,90029270000,NA,156614103000,40157827000,95018926000,8976339000,6045283000,52398893000,315864846000,104550889000,NA,NA,-191211382000,891778000,-190319604000,-188634160000,106778311000,5768931000,27934670000,657119000,75889391000,3471800000,14252256000,37157097000,110250111000,"city of new york",1,1,0
"2","CA","los angeles city",3898767,"0644000","2023","California","los angeles","05201902700000",149487,NA,2023,"General Purpose","CA Los Angeles 2023",27011416000,NA,59869230000,18310000,86880646000,8330602000,1160907000,2497520000,1291136,5870547000,58786276000,37366117000,794166000,951165000,6009799000,24578011000,30587810000,971891000,19564849000,12175284000,1976403000,753240000,6728616000,2068694000,12889334000,3032666000,21633543000,"city of los angeles",1,1,0
"3","IL","chicago city",2746352,"1714000","2023","Illinois","chicago","14201601600000",32795,NA,2023,"General Purpose","IL Chicago 2023",18268169000,NA,31570013000,NA,49838182000,37204095000,2015400000,1411168000,NA,8361749000,77011860000,28652170000,450000000,NA,-30832085000,2620415000,-28211670000,-38194153000,15605040000,4414387000,1052792000,162630000,9395226000,-580005000,2944834000,5483370000,15025035000,"city of chicago",1,1,0
"4","TX","houston city",2301572,"4835000","2023","Texas","houston","44210100800000",43770,NA,2023,"General Purpose","TX Houston 2023",6545792000,NA,23571944000,NA,30117736000,2342304000,1773966000,1029561000,610091000,2767502000,21583107000,13129999000,NA,668776000,2405644000,5189326000,7594970000,-4818379000,5136451000,2735790000,874412000,411159000,2829425000,1714335000,1005610000,1849942000,6850786000,"city of houston",1,1,0
"5","AZ","phoenix city",1608190,"0455000","2023","Arizona","phoenix","03200701000000",31636,NA,2023,"General Purpose","AZ Phoenix 2023",4530264000,0,18392516000,64471000,22922780000,5067932000,138344000,456029000,190181000,2281794000,14130475000,680972000,8338000,0,3710286000,5351469000,9061755000,-1021659000,4652701000,2197311000,696127000,454909000,2662358000,1358004000,599666000,634020000,6010705000,"city of phoenix",1,1,0
"6","PA","philadelphia city",1603799,"4260000","2023","Pennsylvania","philadelphia","39205100100000",42714,NA,2023,"General Purpose","PA Philadelphia 2023",9078071000,0,8768172000,0,17846243000,4804626000,1785023000,540676000,208900000,4059965000,20074098000,6589500000,NA,249190000,-4724523000,2446396000,-2278127000,-7026070000,9444341000,1923937000,3102649000,135529000,5687607000,1405381000,63851000,1847753000,10849722000,"city of philadelphia",1,1,1
"7","TX","san antonio city",1434367,"4865000","2023","Texas","san antonio","44201501000000",38656,NA,2023,"General Purpose","TX San Antonio 2023",3338529000,NA,6802601000,NA,10141130000,1595116000,811270000,513206000,262246000,959969000,7286699000,3588359000,NA,368499000,2743037000,439433000,3182470000,-739937000,2985245000,571528000,372578000,110921000,2127869000,197651000,249946000,202428000,3182896000,"city of san antonio",1,1,0
"8","CA","san diego city",1386960,"0666000","2023","California","san diego","05203701000000",44032,NA,2023,"General Purpose","CA San Diego 2023",3910147000,NA,14333269000,NA,18243416000,2681371000,403706000,371903000,55286000,1224151000,8058538000,2729743000,460347000,43400000,4605287000,5271251000,9876538000,-1709967000,3640873000,1830623000,346421000,143985000,1952974000,633130000,2905214000,826558000,4274003000,"city of san diego",1,1,0
"9","TX","dallas city",1304317,"4819000","2023","Texas","dallas","44205700700000",38669,NA,2023,"General Purpose","TX Dallas 2023",4914194000,0,13053837000,0,17968031000,1255415000,57514000,697952000,24170000,1513386000,15378526000,6119502000,NA,70327000,-331824000,4068191000,3736367000,-4600416000,3370793000,1535190000,256178000,123201000,2215295000,759071000,2080370000,384723000,4129864000,"city of dallas",1,1,0
"10","CA","san jose city",1013221,"0668000","2023","California","san jose",NA,101868,NA,2023,"General Purpose","CA San Jose 2023",3598317000,NA,7715390000,1210000,11313707000,3204241000,855320000,196572000,98678000,690483000,7665041000,2753049000,NA,98000,2359266000,1856360000,4215626000,-2082253000,3111442000,1536303000,284894000,131641000,1393779000,235175000,2610359000,396373000,3346617000,NA,1,1,0
"11","TX","austin city",961900,"4805000","2023","Texas","austin","44222700100000",38712,NA,2023,"General Purpose","TX Austin 2023",2969956000,NA,18021667000,NA,20991623000,3959590000,3354718000,771199000,204306000,1540469000,17124297000,7310312000,NA,467581000,-860710000,4954706000,4093996000,-3739384000,5618778000,3455089000,146300000,226707000,1859979000,69297000,1613490000,509777000,5688075000,"city of austin",1,1,0
