"","state.abb","name_nces","ncesID","enrollment_23"
"1","CA","los angeles unified","622710",427795
"2","FL","miami-dade","1200390",334090
"3","IL","city of chicago sd 299","1709930",321666
"4","NV","clark county school district","3200060",309787
"5","FL","broward","1200180",254732
"6","FL","hillsborough","1200870",224538
"7","FL","orange","1201440",207561
"8","TX","houston isd","4823640",189934
"9","FL","palm beach","1201500",188843
"10","GA","gwinnett county","1302550",181814
"11","VA","fairfax county public schools","5101260",179858
"12","HI","hawaii department of education","1500030",170209
"13","MD","montgomery county public schools","2400480",160554
"14","NC","wake county schools","3704720",159778
"15","NC","charlotte-mecklenburg schools","3702970",144197
"16","TX","dallas isd","4816230",141169
"17","MD","prince george's county public schools","2400510",131133
"18","FL","duval","1200480",128657
"19","PA","philadelphia city sd","4218990",118335
"20","TX","cypress-fairbanks isd","4816110",118010
"21","MD","baltimore county public schools","2400120",111082
"22","TN","memphis-shelby county schools","4700148",109797
"23","FL","polk","1201590",109558
"24","GA","cobb county","1301290",106703
"25","TX","northside isd","4833120",102719
"26","FL","lee","1201080",99354
"27","KY","jefferson county","2102990",95230
"28","CA","san diego unified","634320",93893
"29","FL","pinellas","1201560",93702
"30","TX","katy isd","4825170",92667
"31","GA","dekalb county","1301740",92368
"32","VA","prince william county public schools","5103130",91101
"33","GA","fulton county","1302280",89935
"34","CO","school district no. 1 in the county of denver and state of c","803360",87883
"35","UT","alpine district","4900030",87136
"36","MD","anne arundel county public schools","2400060",84452
"37","FL","pasco","1201530",84049
"38","VA","loudoun county public schools","5102250",81678
"39","TN","davidson county","4703180",80651
"40","NM","albuquerque public schools","3500060",79805
"41","TX","fort bend isd","4819650",79660
"42","SC","greenville 01","4502310",77978
"43","MD","baltimore city public schools","2400090",75995
"44","CO","jefferson county school district no. r-1","804800",75327
"45","FL","brevard","1200150",74125
"46","FL","osceola","1201470",73558
"47","UT","davis district","4900210",73459
"48","TX","austin isd","4808940",73384
"49","TX","fort worth isd","4819700",72783
"50","TX","conroe isd","4815000",70783
"51","CA","fresno unified","614550",69668
"52","NC","guilford county schools","3701920",68894
"53","WI","milwaukee school district","5509600",67500
"54","TX","frisco isd","4820010",66916
"55","FL","seminole","1201710",66680
"56","CA","long beach unified","622500",65554
"57","VA","virginia beach city public schools","5103840",65456
"58","NV","washoe county school district","3200480",64443
"59","VA","chesterfield county public schools","5100840",63916
"60","FL","volusia","1201920",63365
"61","CO","douglas county school district no. re 1","803450",62341
"62","CA","elk grove unified","612330",62061
"63","UT","granite district","4900360",61197
"64","TN","knox county","4702220",60609
"65","NY","new york city geographic district #31","3600103",60306
"66","TX","aldine isd","4807710",60074
"67","UT","jordan district","4900420",59421
"68","TX","north east isd","4832940",59007
"69","AZ","mesa unified district (4235)","404970",58343
"70","MD","howard county public schools","2400420",57676
"71","TX","arlington isd","4808700",56167
"72","NY","new york city geographic district # 2","3600077",54995
"73","GA","forsyth county","1302220",54077
"74","TX","klein isd","4825740",53712
"75","TX","garland isd","4820340",52767
"76","NC","winston salem / forsyth county schools","3701500",52717
"77","CO","cherry creek school district no. 5 in the county of arapah","802910",52392
"78","GA","clayton county","1301230",52186
"79","AL","mobile county","102370",51979
"80","NE","omaha public schools","3174820",51754
"81","WA","seattle school district no. 1","5307710",51238
"82","FL","manatee","1201230",51234
"83","NY","new york city geographic district #24","3600098",51074
"84","CA","corona-norco unified","609850",50790
"85","TN","rutherford county","4703690",50707
"86","LA","jefferson parish","2200840",50628
"87","VA","henrico county public schools","5101890",50389
"88","GA","atlanta public schools","1300120",50325
"89","FL","st. johns","1201740",50155
"90","TX","el paso isd","4818300",50031
