year_2022,year_2021,year_2020
st. louis county_MO,st. louis county_MO,st. louis county_MO
tulsa county_OK,tulsa county_OK,tulsa county_OK
gwinnett county_GA,gwinnett county_GA,gwinnett county_GA
suffolk county_NY,suffolk county_NY,suffolk county_NY
middlesex county_NJ,middlesex county_NJ,middlesex county_NJ
maricopa county_AZ,maricopa county_AZ,maricopa county_AZ
alameda county_CA,alameda county_CA,alameda county_CA
pima county_AZ,pima county_AZ,pima county_AZ
contra costa county_CA,contra costa county_CA,contra costa county_CA
city and county of san francisco_CA,city and county of san francisco_CA,city and county of san francisco_CA
fresno county_CA,fresno county_CA,fresno county_CA
los angeles county_CA,los angeles county_CA,los angeles county_CA
kern county_CA,kern county_CA,kern county_CA
cobb county_GA,cobb county_GA,cobb county_GA
essex county_NJ,essex county_NJ,essex county_NJ
oklahoma county_OK,oklahoma county_OK,oklahoma county_OK
dekalb county_GA,dekalb county_GA,dekalb county_GA
ventura county_CA,ventura county_CA,ventura county_CA
jefferson county_AL,jefferson county_AL,jefferson county_AL
orange county_CA,orange county_CA,orange county_CA
arapahoe county_CO,arapahoe county_CO,arapahoe county_CO
denver county_CO,denver county_CO,denver county_CO
el paso county_CO,el paso county_CO,el paso county_CO
riverside county_CA,riverside county_CA,riverside county_CA
sacramento county_CA,sacramento county_CA,sacramento county_CA
san bernardino county_CA,san bernardino county_CA,san bernardino county_CA
san diego county_CA,san diego county_CA,san diego county_CA
san joaquin county_CA,san joaquin county_CA,san joaquin county_CA
san mateo county_CA,san mateo county_CA,san mateo county_CA
santa clara county_CA,santa clara county_CA,santa clara county_CA
NA,norfolk county_MA,norfolk county_MA
montgomery county_MD,montgomery county_MD,montgomery county_MD
prince georges county_MD,prince georges county_MD,prince georges county_MD
orange county_FL,orange county_FL,orange county_FL
palm beach county_FL,palm beach county_FL,palm beach county_FL
pinellas county_FL,pinellas county_FL,pinellas county_FL
polk county_FL,polk county_FL,polk county_FL
multnomah county_OR,multnomah county_OR,multnomah county_OR
fulton county_GA,fulton county_GA,fulton county_GA
allegheny county_PA,allegheny county_PA,allegheny county_PA
brevard county_FL,brevard county_FL,brevard county_FL
broward county_FL,broward county_FL,broward county_FL
baltimore county_MD,baltimore county_MD,baltimore county_MD
bucks county_PA,bucks county_PA,bucks county_PA
city and county of honolulu_HI,city and county of honolulu_HI,city and county of honolulu_HI
cook county_IL,cook county_IL,cook county_IL
hillsborough county_FL,hillsborough county_FL,hillsborough county_FL
jacksonville_FL,jacksonville_FL,jacksonville_FL
dupage county_IL,dupage county_IL,dupage county_IL
lee county_FL,lee county_FL,lee county_FL
NA,montgomery county_PA,montgomery county_PA
philadelphia_PA,philadelphia_PA,philadelphia_PA
miami-dade county_FL,miami-dade county_FL,miami-dade county_FL
lake county_IL,lake county_IL,lake county_IL
will county_IL,will county_IL,will county_IL
kent county_MI,kent county_MI,kent county_MI
oakland county_MI,oakland county_MI,oakland county_MI
johnson county_KS,johnson county_KS,johnson county_KS
shelby county_TN,shelby county_TN,shelby county_TN
collin county_TX,collin county_TX,collin county_TX
macomb county_MI,macomb county_MI,macomb county_MI
dallas county_TX,dallas county_TX,dallas county_TX
mecklenburg county_NC,mecklenburg county_NC,mecklenburg county_NC
denton county_TX,denton county_TX,denton county_TX
bexar county_TX,bexar county_TX,bexar county_TX
wake county_NC,wake county_NC,wake county_NC
westchester county_NY,westchester county_NY,westchester county_NY
el paso county_TX,el paso county_TX,el paso county_TX
marion county_IN,marion county_IN,marion county_IN
fort bend county_TX,fort bend county_TX,fort bend county_TX
montgomery county_TX,montgomery county_TX,montgomery county_TX
hudson county_NJ,hudson county_NJ,hudson county_NJ
monmouth county_NJ,monmouth county_NJ,monmouth county_NJ
ocean county_NJ,ocean county_NJ,ocean county_NJ
harris county_TX,harris county_TX,harris county_TX
hidalgo county_TX,hidalgo county_TX,hidalgo county_TX
bernalillo county_NM,bernalillo county_NM,bernalillo county_NM
clark county_NV,clark county_NV,clark county_NV
hennepin county_MN,hennepin county_MN,hennepin county_MN
erie county_NY,erie county_NY,erie county_NY
tarrant county_TX,tarrant county_TX,tarrant county_TX
travis county_TX,travis county_TX,travis county_TX
monroe county_NY,monroe county_NY,monroe county_NY
nassau county_NY,nassau county_NY,nassau county_NY
williamson county_TX,williamson county_TX,williamson county_TX
bergen county_NJ,bergen county_NJ,bergen county_NJ
fairfax county_VA,fairfax county_VA,fairfax county_VA
cuyahoga county_OH,cuyahoga county_OH,cuyahoga county_OH
franklin county_OH,franklin county_OH,franklin county_OH
hamilton county_OH,hamilton county_OH,hamilton county_OH
salt lake county_UT,salt lake county_UT,salt lake county_UT
utah county_UT,utah county_UT,utah county_UT
jackson county_MO,jackson county_MO,jackson county_MO
the metropolitan government of nashville and davidson county_TN,the metropolitan government of nashville and davidson county_TN,the metropolitan government of nashville and davidson county_TN
pierce county_WA,pierce county_WA,pierce county_WA
snohomish county_WA,snohomish county_WA,snohomish county_WA
milwaukee county_WI,milwaukee county_WI,milwaukee county_WI
king county_WA,king county_WA,king county_WA
